,VNQ_VANGREALEST,EMB_USDEMRGBOND,LQD_CORPBOND,MUB_MUNIBOND,SHY_1-3USTR,VIG_VANGDIV,IVV_SP500,EEM_MSCIEMERGING,XLE_ENERGYSPDR,EFA_MSCIEAFE,TIP_TIPSBOND
0,0.01,0.01,0.01,0.01,0.01,0.01,0.900000015116886,0.01,0.01,0.010000012533897795,0.010000009868087644
1,0.01,0.01,0.01,0.01,0.01,0.01,0.9000000080192788,0.01,0.01,0.010000016958451284,0.010000010877992124
2,0.01,0.01,0.01,0.01,0.01,0.01,0.8999999993235521,0.01,0.01,0.010000022727901394,0.010000012029240167
3,0.01,0.01,0.01,0.01,0.01,0.01,0.899999988724982,0.01,0.01,0.010000030249680986,0.010000013325543473
4,0.01,0.01,0.01,0.01,0.01,0.01,0.8999999760955616,0.01,0.01,0.010000039587233542,0.010000014825529679
5,0.01,0.01,0.01,0.01,0.01,0.01,0.8999999615928298,0.01,0.01,0.010000050719271306,0.010000016430035345
6,0.01,0.01,0.01,0.01,0.01,0.01,0.8999999417284691,0.01,0.01,0.010000067020762999,0.010000018181199135
7,0.01,0.01,0.01,0.01,0.01,0.01,0.8999999058554036,0.01,0.01,0.010000098386940175,0.010000020545649952
8,0.01,0.01,0.01,0.01,0.01,0.01,0.8999998264451805,0.01,0.01,0.010000173302318206,0.01000002306590033
9,0.01,0.01,0.01,0.01,0.01,0.01,0.899999744944897,0.01,0.01,0.010000251261356567,0.010000025119084642
10,0.01,0.01,0.01,0.01,0.01,0.01,0.8999996068228298,0.01,0.01,0.010000386165796023,0.010000026976414432
11,0.01,0.01,0.01,0.01,0.01,0.01,0.8999992778446734,0.01,0.01,0.010000711516496761,0.010000029231724229
12,0.01,0.01,0.01,0.01,0.01,0.01,0.8999992555526469,0.01,0.01,0.010000730816138136,0.01000003108975687
13,0.01,0.01,0.01,0.01,0.01,0.01,0.8999989437081658,0.01,0.01,0.010001039048986209,0.010000033464823695
14,0.01,0.01,0.01,0.01,0.01,0.01,0.8999983341405605,0.01,0.01,0.01000164463631364,0.010000036155018686
15,0.01,0.01,0.01,0.01,0.01,0.01,0.8999983623513587,0.01,0.01,0.010001612828563895,0.010000038516801766
16,0.01,0.01,0.01,0.01,0.01,0.01,0.8999993061080701,0.01,0.01,0.01000066688348888,0.010000039700902262
17,0.01,0.01,0.01,0.01,0.01,0.01,0.8999993178295639,0.01,0.01,0.010000651704371843,0.010000041985906163
18,0.01,0.01,0.01,0.01,0.010000000060398454,0.01,0.89999940369264,0.01,0.01,0.010000562235434118,0.010000044353428182
19,0.01,0.01,0.01,0.01,0.010000000193018164,0.01,0.8999995326714015,0.01,0.01,0.010000429626915028,0.010000046838266273
20,0.01,0.01,0.01,0.01,0.010000000308647014,0.01,0.8999996289025366,0.01,0.01,0.01000033006446765,0.010000049138099022
21,0.01,0.01,0.01,0.01,0.01000000045617263,0.01,0.8999996422225867,0.01,0.01,0.010000312163734319,0.010000052510023347
22,0.01,0.01,0.01,0.01,0.010000000641546675,0.01,0.8999996289197172,0.01,0.01,0.010000318619576887,0.010000057942943688
23,0.01,0.01,0.01,0.01,0.010000000817198445,0.01,0.8999995920666718,0.01,0.01,0.010000348035415434,0.010000064062862747
24,0.01,0.01,0.01,0.01,0.010000000985435444,0.01,0.8999995994296914,0.01,0.01,0.010000331486559686,0.010000071880111549
25,0.01,0.01,0.01,0.01,0.010000001190415211,0.01,0.8999994928669204,0.01,0.01,0.010000425167996372,0.010000083204306256
26,0.01,0.01,0.01,0.01,0.010000001445443496,0.01,0.8999992103762688,0.01,0.01,0.01000068636512417,0.01000010268922685
27,0.01,0.01,0.01,0.01,0.01000000145418639,0.01,0.8999992787543368,0.01,0.01,0.010000620409163458,0.010000100265642742
28,0.01,0.01,0.010000000039671624,0.010000000041621753,0.010000001543881226,0.01,0.8999987762324365,0.01,0.01,0.010001117571647393,0.010000105181694578
29,0.01,0.01,0.01,0.01,0.010000001480968978,0.01,0.8999993312188022,0.01,0.01,0.01000058596771816,0.010000081836632294
30,0.01,0.010000000007984422,0.010000000039081693,0.010000000043810423,0.010000001590824344,0.01,0.8999989597531183,0.01,0.01,0.01000095658590753,0.01000008221937142
31,0.010000000026075408,0.010000000045544055,0.010000000077116475,0.010000000081910187,0.01000000160993003,0.01,0.8999988576264526,0.01,0.01,0.010001055987595783,0.010000084665145176
32,0.010000000040453308,0.010000000060117054,0.010000000092553597,0.010000000097534273,0.010000001651479903,0.01,0.8999984398068944,0.01,0.01,0.010001474786047708,0.010000083546914342
33,0.010000000091311403,0.010000000111955685,0.010000000148710298,0.010000000154551904,0.010000001715247795,0.010000000015498113,0.8999954938348346,0.010000000042642343,0.01,0.010004416113905101,0.010000087785848228
34,0.01,0.01,0.01,0.01,0.01,0.01,0.8999990438919621,0.01,0.01,0.010000983499429232,0.010000022909282306
