Start,11/15/1999
End,11/15/2019
Frequency,D
Name,CH GDP CONN
Code,CHGDP...C
CURRENCY,CH
11/15/1999,46185.9
2/15/2000,36750.3
5/15/2000,41205.3
8/15/2000,44754.7
11/15/2000,49649.9
2/15/2001,40241.6
5/15/2001,44749
8/15/2001,48335.1
11/15/2001,53373.6
2/15/2002,43823.1
5/15/2002,48686.9
8/15/2002,52975.3
11/15/2002,58230.6
2/15/2003,48687.4
5/15/2003,53117.4
8/15/2003,58272.8
11/15/2003,64053.7
2/15/2004,53848.3
5/15/2004,59279
8/15/2004,63983.5
11/15/2004,69690.4
2/15/2005,59825.5
5/15/2005,65859
8/15/2005,70893.7
11/15/2005,78332
2/15/2006,67303.7
5/15/2006,74881.7
8/15/2006,79542.8
11/15/2006,88123.5
2/15/2007,76591.6
5/15/2007,86113.9
8/15/2007,90917.4
11/15/2007,100372.7
2/15/2008,85399.6
5/15/2008,95500.3
8/15/2008,99554.5
11/15/2008,107499.2
2/15/2009,90865.2
5/15/2009,103331.3
8/15/2009,110107.3
11/15/2009,120291.6
2/15/2010,101950.7
5/15/2010,114491.1
8/15/2010,121007.9
11/15/2010,132200.4
2/15/2011,112349.7
5/15/2011,125940.2
8/15/2011,132382.7
11/15/2011,143834.1
2/15/2012,121450
5/15/2012,135637.6
8/15/2012,142311.4
11/15/2012,155484.6
2/15/2013,131044.6
5/15/2013,145946.1
8/15/2013,153554
11/15/2013,167457
2/15/2014,140741.9
5/15/2014,156892.1
8/15/2014,164456.3
11/15/2014,179513.9
2/15/2015,150593.8
5/15/2015,167874.5
8/15/2015,175803.8
11/15/2015,191720.8
2/15/2016,160837.9
5/15/2016,179089.5
8/15/2016,187498.6
11/15/2016,204764.2
2/15/2017,171852.5
5/15/2017,191284.6
8/15/2017,200133.4
11/15/2017,218393.3
2/15/2018,183613
5/15/2018,204077.2
8/15/2018,213043.8
11/15/2018,232264.9
2/15/2019,195422.2
5/15/2019,216685.5
8/15/2019,#N/A
11/15/2019,#N/A
