Start,10/8/1999
End,10/8/2019
Frequency,D
Name,Crude Oil-WTI Spot Cushing U$/BBL
Code,S71926
CURRENCY,U$
10/8/1999,20.9
10/11/1999,21.28
10/12/1999,22.3
10/13/1999,23.08
10/14/1999,22.45
10/15/1999,22.83
10/18/1999,22.53
10/19/1999,22.23
10/20/1999,22.2
10/21/1999,22.33
10/22/1999,22.08
10/25/1999,23.18
10/26/1999,23.18
10/27/1999,22.93
10/28/1999,21.68
10/29/1999,21.75
11/1/1999,22.53
11/2/1999,22.38
11/3/1999,22.58
11/4/1999,23.13
11/5/1999,23
11/8/1999,23.28
11/9/1999,24.03
11/10/1999,24.48
11/11/1999,24.33
11/12/1999,24.93
11/15/1999,25.13
11/16/1999,25.7
11/17/1999,26.6
11/18/1999,25.8
11/19/1999,26.58
11/22/1999,27.98
11/23/1999,26.83
11/24/1999,27.28
11/25/1999,27.28
11/26/1999,27.28
11/29/1999,25.98
11/30/1999,24.58
12/1/1999,25
12/2/1999,25.83
12/3/1999,25.83
12/6/1999,26.66
12/7/1999,26.23
12/8/1999,26.53
12/9/1999,26.18
12/10/1999,25.23
12/13/1999,25.38
12/14/1999,25.73
12/15/1999,26.38
12/16/1999,26.83
12/17/1999,26.73
12/20/1999,26.53
12/21/1999,26.33
12/22/1999,25.43
12/23/1999,25.63
12/24/1999,25.63
12/27/1999,26.38
12/28/1999,26.83
12/29/1999,26.48
12/30/1999,25.6
12/31/1999,25.6
1/3/2000,25.6
1/4/2000,25.55
1/5/2000,24.93
1/6/2000,24.78
1/7/2000,24.23
1/10/2000,24.68
1/11/2000,25.78
1/12/2000,26.28
1/13/2000,26.68
1/14/2000,28.03
1/17/2000,28.03
1/18/2000,28.85
1/19/2000,29.53
1/20/2000,29.68
1/21/2000,29.75
1/24/2000,29.43
1/25/2000,29.88
1/26/2000,27.83
1/27/2000,27.33
1/28/2000,27.23
1/31/2000,27.63
2/1/2000,28.23
2/2/2000,27.55
2/3/2000,28.03
2/4/2000,28.83
2/7/2000,28.45
2/8/2000,28.03
2/9/2000,28.78
2/10/2000,29.43
2/11/2000,29.43
2/14/2000,30.25
2/15/2000,30.08
2/16/2000,30.05
2/17/2000,29.48
2/18/2000,29.53
2/21/2000,29.53
2/22/2000,29.63
2/23/2000,30.28
2/24/2000,30.23
2/25/2000,30.23
2/28/2000,30.13
2/29/2000,30.43
3/1/2000,31.78
3/2/2000,31.68
3/3/2000,31.53
3/6/2000,32.18
3/7/2000,34.13
3/8/2000,31.28
3/9/2000,31.68
3/10/2000,31.78
3/13/2000,32.03
3/14/2000,31.68
3/15/2000,30.73
3/16/2000,31.08
3/17/2000,30.93
3/20/2000,29.43
3/21/2000,28
3/22/2000,27.53
3/23/2000,27.23
3/24/2000,27.93
3/27/2000,27.78
3/28/2000,27.08
3/29/2000,26.45
3/30/2000,26.7
3/31/2000,26.9
4/3/2000,26.43
4/4/2000,25.45
4/5/2000,25.85
4/6/2000,25.68
4/7/2000,25.03
4/10/2000,23.85
4/11/2000,24.13
4/12/2000,25.43
4/13/2000,25.38
4/14/2000,25.58
4/17/2000,25.88
4/18/2000,26.13
4/19/2000,27.35
4/20/2000,27
4/21/2000,27
4/24/2000,27.28
4/25/2000,26.75
4/26/2000,24.65
4/27/2000,25.4
4/28/2000,25.73
5/1/2000,25.88
5/2/2000,26.88
5/3/2000,26.75
5/4/2000,26.98
5/5/2000,27.28
5/8/2000,28.09
5/9/2000,28.65
5/10/2000,28.1
5/11/2000,29.13
5/12/2000,29.63
5/15/2000,29.93
5/16/2000,29.73
5/17/2000,29.33
5/18/2000,30.33
5/19/2000,29.88
5/22/2000,28.63
5/23/2000,28.53
5/24/2000,29.73
5/25/2000,30.33
5/26/2000,30
5/29/2000,30
5/30/2000,30.35
5/31/2000,29.03
6/1/2000,30.13
6/2/2000,30.35
6/5/2000,29.7
6/6/2000,29.75
6/7/2000,29.95
6/8/2000,29.78
6/9/2000,30.2
6/12/2000,31.73
6/13/2000,32.58
6/14/2000,32.85
6/15/2000,32.95
6/16/2000,32.33
6/19/2000,31.68
6/20/2000,33.05
6/21/2000,33.83
6/22/2000,34.55
6/23/2000,34.65
6/26/2000,31.63
6/27/2000,32.08
6/28/2000,31.9
6/29/2000,32.73
6/30/2000,32.5
7/3/2000,32.5
7/4/2000,32.5
7/5/2000,30.68
7/6/2000,29.98
7/7/2000,30.28
7/10/2000,29.68
7/11/2000,29.7
7/12/2000,30.33
7/13/2000,31.48
7/14/2000,31.4
7/17/2000,30.83
7/18/2000,31.93
7/19/2000,31.43
7/20/2000,30.93
7/21/2000,28.53
7/24/2000,28.18
7/25/2000,27.83
7/26/2000,27.83
7/27/2000,28.03
7/28/2000,28.18
7/31/2000,27.43
8/1/2000,27.78
8/2/2000,28.28
8/3/2000,28.68
8/4/2000,29.98
8/7/2000,28.93
8/8/2000,29.13
8/9/2000,30.35
8/10/2000,31.33
8/11/2000,31.03
8/14/2000,31.93
8/15/2000,31.68
8/16/2000,31.8
8/17/2000,31.93
8/18/2000,31.98
8/21/2000,32.48
8/22/2000,31.23
8/23/2000,31.98
8/24/2000,32.63
8/25/2000,32.83
8/28/2000,32.88
8/29/2000,32.73
8/30/2000,33.33
8/31/2000,33.13
9/1/2000,33.38
9/4/2000,33.38
9/5/2000,33.83
9/6/2000,34.9
9/7/2000,35.38
9/8/2000,33.63
9/11/2000,35.13
9/12/2000,34.28
9/13/2000,33.83
9/14/2000,34.08
9/15/2000,35.93
9/18/2000,36.88
9/19/2000,36.53
9/20/2000,37.2
9/21/2000,34.4
9/22/2000,32.73
9/25/2000,31.43
9/26/2000,31.5
9/27/2000,31.48
9/28/2000,30.33
9/29/2000,30.83
10/2/2000,32.18
10/3/2000,32.08
10/4/2000,31.43
10/5/2000,30.53
10/6/2000,30.88
10/9/2000,31.88
10/10/2000,33.18
10/11/2000,33.25
10/12/2000,36.08
10/13/2000,34.98
10/16/2000,32.93
10/17/2000,32.98
10/18/2000,33.48
10/19/2000,32.93
10/20/2000,33.75
10/23/2000,35.08
10/24/2000,34.23
10/25/2000,33.83
10/26/2000,33.73
10/27/2000,32.73
10/30/2000,32.83
10/31/2000,32.68
11/1/2000,33.28
11/2/2000,32.53
11/3/2000,32.73
11/6/2000,32.88
11/7/2000,33.43
11/8/2000,33.23
11/9/2000,33.93
11/10/2000,34.03
11/13/2000,34.48
11/14/2000,34.88
11/15/2000,35.58
11/16/2000,35.13
11/17/2000,35.48
11/20/2000,36.18
11/21/2000,35.98
11/22/2000,36.13
11/23/2000,36.13
11/24/2000,36.13
11/27/2000,35.38
11/28/2000,34.23
11/29/2000,34.63
11/30/2000,33.83
12/1/2000,32.05
12/4/2000,31.23
12/5/2000,29.53
12/6/2000,29.88
12/7/2000,29.33
12/8/2000,28.43
12/11/2000,29.53
12/12/2000,29.68
12/13/2000,28.73
12/14/2000,27.98
12/15/2000,28.88
12/18/2000,29.78
12/19/2000,29.33
12/20/2000,26.03
12/21/2000,26.03
12/22/2000,26.98
12/25/2000,26.98
12/26/2000,26.63
12/27/2000,26.48
12/28/2000,25.83
12/29/2000,26.83
1/1/2001,26.83
1/2/2001,27.23
1/3/2001,28.03
1/4/2001,28.13
1/5/2001,27.93
1/8/2001,27.33
1/9/2001,27.63
1/10/2001,29.48
1/11/2001,29.43
1/12/2001,30.08
1/15/2001,30.08
1/16/2001,30.28
1/17/2001,29.63
1/18/2001,30.48
1/19/2001,32.18
1/22/2001,32.18
1/23/2001,31.63
1/24/2001,31.28
1/25/2001,31.63
1/26/2001,29.78
1/29/2001,29.08
1/30/2001,29.08
1/31/2001,28.68
2/1/2001,29.83
2/2/2001,31.18
2/5/2001,30.53
2/6/2001,30.35
2/7/2001,31.28
2/8/2001,31.58
2/9/2001,31.03
2/12/2001,30.53
2/13/2001,30.38
2/14/2001,29.73
2/15/2001,28.83
2/16/2001,29.13
2/19/2001,29.13
2/20/2001,28.58
2/21/2001,28.23
2/22/2001,28.58
2/23/2001,28.83
2/26/2001,28.43
2/27/2001,28.13
2/28/2001,27.38
3/1/2001,27.63
3/2/2001,27.83
3/5/2001,28.63
3/6/2001,28.33
3/7/2001,29.03
3/8/2001,28.38
3/9/2001,28.03
3/12/2001,28.03
3/13/2001,27.58
3/14/2001,26.43
3/15/2001,26.58
3/16/2001,26.73
3/19/2001,26.15
3/20/2001,25.98
3/21/2001,26.46
3/22/2001,26.38
3/23/2001,26.93
3/26/2001,27.48
3/27/2001,27.78
3/28/2001,26.33
3/29/2001,26.33
3/30/2001,26.28
4/2/2001,25.58
4/3/2001,26.18
4/4/2001,27.13
4/5/2001,27.28
4/6/2001,27.08
4/9/2001,27.28
4/10/2001,28.48
4/11/2001,28.18
4/12/2001,28.28
4/13/2001,28.28
4/16/2001,28.78
4/17/2001,28.23
4/18/2001,27.98
4/19/2001,27.83
4/20/2001,27.28
4/23/2001,27.03
4/24/2001,24.88
4/25/2001,25.58
4/26/2001,28.43
4/27/2001,28.28
4/30/2001,28.48
5/1/2001,28.93
5/2/2001,27.8
5/3/2001,28.45
5/4/2001,28.38
5/7/2001,27.78
5/8/2001,27.38
5/9/2001,28.23
5/10/2001,28.53
5/11/2001,28.58
5/14/2001,28.73
5/15/2001,28.98
5/16/2001,28.88
5/17/2001,28.93
5/18/2001,29.93
5/21/2001,29.98
5/22/2001,29.73
5/23/2001,29.18
5/24/2001,28.08
5/25/2001,27.96
5/28/2001,27.96
5/29/2001,28.68
5/30/2001,28.58
5/31/2001,28.38
6/1/2001,27.93
6/4/2001,28.13
6/5/2001,28.23
6/6/2001,27.73
6/7/2001,27.75
6/8/2001,28.33
6/11/2001,29.03
6/12/2001,29.18
6/13/2001,28.83
6/14/2001,29.03
6/15/2001,28.53
6/18/2001,27.53
6/19/2001,27.48
6/20/2001,26.5
6/21/2001,26.43
6/22/2001,26.63
6/25/2001,27.03
6/26/2001,26.98
6/27/2001,26.53
6/28/2001,25.58
6/29/2001,26.23
7/2/2001,25.95
7/3/2001,26.23
7/4/2001,26.23
7/5/2001,27.03
7/6/2001,28.23
7/9/2001,27.58
7/10/2001,27.48
7/11/2001,27.13
7/12/2001,26.78
7/13/2001,26.58
7/16/2001,26.08
7/17/2001,25.58
7/18/2001,24.88
7/19/2001,24.73
7/20/2001,25.59
7/23/2001,25.98
7/24/2001,26.18
7/25/2001,26.63
7/26/2001,26.73
7/27/2001,27.03
7/30/2001,26.63
7/31/2001,26.33
8/1/2001,26.78
8/2/2001,27.73
8/3/2001,27.63
8/6/2001,27.73
8/7/2001,27.93
8/8/2001,27.53
8/9/2001,27.63
8/10/2001,28.08
8/13/2001,27.83
8/14/2001,28.03
8/15/2001,27.58
8/16/2001,27.38
8/17/2001,26.68
8/20/2001,27.18
8/21/2001,27.93
8/22/2001,27.58
8/23/2001,27.53
8/24/2001,28.25
8/27/2001,26.68
8/28/2001,27.18
8/29/2001,27.08
8/30/2001,26.58
8/31/2001,27.23
9/3/2001,27.23
9/4/2001,26.93
9/5/2001,26.98
9/6/2001,27.58
9/7/2001,28.03
9/10/2001,27.63
9/11/2001,27.63
9/12/2001,27.63
9/13/2001,27.63
9/14/2001,29.78
9/17/2001,28.83
9/18/2001,27.73
9/19/2001,26.73
9/20/2001,26.58
9/21/2001,25.48
9/24/2001,21.45
9/25/2001,21.83
9/26/2001,22.38
9/27/2001,22.73
9/28/2001,23.43
10/1/2001,23.28
10/2/2001,22.78
10/3/2001,22.08
10/4/2001,22.63
10/5/2001,22.38
10/8/2001,22.48
10/9/2001,22.45
10/10/2001,22.53
10/11/2001,23.33
10/12/2001,22.53
10/15/2001,22.28
10/16/2001,22.53
10/17/2001,21.83
10/18/2001,21.33
10/19/2001,21.83
10/22/2001,21.78
10/23/2001,21.58
10/24/2001,22.06
10/25/2001,21.83
10/26/2001,22.08
10/29/2001,22.18
10/30/2001,21.88
10/31/2001,21.18
11/1/2001,20.38
11/2/2001,20.18
11/5/2001,20.03
11/6/2001,19.93
11/7/2001,20.08
11/8/2001,21.18
11/9/2001,22.23
11/12/2001,21.23
11/13/2001,21.68
11/14/2001,19.77
11/15/2001,17.48
11/16/2001,18.03
11/19/2001,18.08
11/20/2001,18.88
11/21/2001,18.73
11/22/2001,18.73
11/23/2001,18.73
11/26/2001,18.68
11/27/2001,19.48
11/28/2001,19.23
11/29/2001,18.63
11/30/2001,19.48
12/3/2001,20.08
12/4/2001,19.65
12/5/2001,19.48
12/6/2001,18.53
12/7/2001,19.03
12/10/2001,18.38
12/11/2001,18.08
12/12/2001,18.38
12/13/2001,18.13
12/14/2001,19.23
12/17/2001,19.23
12/18/2001,19.38
12/19/2001,19.48
12/20/2001,18.68
12/21/2001,19.18
12/24/2001,19.18
12/25/2001,19.18
12/26/2001,21.28
12/27/2001,20.9
12/28/2001,20.43
12/31/2001,19.78
1/1/2002,19.78
1/2/2002,21.03
1/3/2002,20.38
1/4/2002,21.63
1/7/2002,21.48
1/8/2002,21.28
1/9/2002,20.18
1/10/2002,20.38
1/11/2002,19.68
1/14/2002,18.88
1/15/2002,18.88
1/16/2002,18.88
1/17/2002,17.98
1/18/2002,18.03
1/21/2002,18.03
1/22/2002,18.33
1/23/2002,19.28
1/24/2002,19.43
1/25/2002,19.73
1/28/2002,20.03
1/29/2002,19.58
1/30/2002,18.61
1/31/2002,19.48
2/1/2002,20.38
2/4/2002,20.08
2/5/2002,20.08
2/6/2002,19.78
2/7/2002,19.63
2/8/2002,20.28
2/11/2002,21.43
2/12/2002,20.74
2/13/2002,21.18
2/14/2002,21.23
2/15/2002,21.53
2/18/2002,21.53
2/19/2002,20.88
2/20/2002,20.28
2/21/2002,20.68
2/22/2002,21.08
2/25/2002,20.28
2/26/2002,21.43
2/27/2002,21.28
2/28/2002,21.73
3/1/2002,22.4
3/4/2002,22.48
3/5/2002,23.18
3/6/2002,23.18
3/7/2002,23.73
3/8/2002,23.83
3/11/2002,24.33
3/12/2002,24.23
3/13/2002,24.18
3/14/2002,24.58
3/15/2002,24.53
3/18/2002,25.13
3/19/2002,24.88
3/20/2002,24.88
3/21/2002,25.48
3/22/2002,25.2
3/25/2002,24.53
3/26/2002,25.38
3/27/2002,25.88
3/28/2002,26.33
3/29/2002,26.33
4/1/2002,26.88
4/2/2002,27.73
4/3/2002,27.58
4/4/2002,26.58
4/5/2002,26.23
4/8/2002,26.53
4/9/2002,25.83
4/10/2002,26.13
4/11/2002,24.98
4/12/2002,23.48
4/15/2002,24.58
4/16/2002,24.78
4/17/2002,25.93
4/18/2002,26.18
4/19/2002,26.38
4/22/2002,26.28
4/23/2002,26.83
4/24/2002,26.23
4/25/2002,26.73
4/26/2002,27.13
4/29/2002,27.58
4/30/2002,27.28
5/1/2002,26.75
5/2/2002,26.25
5/3/2002,26.63
5/6/2002,26.13
5/7/2002,26.63
5/8/2002,27.85
5/9/2002,27.68
5/10/2002,27.98
5/13/2002,28.38
5/14/2002,29.38
5/15/2002,28.13
5/16/2002,27.95
5/17/2002,28.18
5/20/2002,28.33
5/21/2002,27.33
5/22/2002,26.63
5/23/2002,26.55
5/24/2002,26.63
5/27/2002,26.63
5/28/2002,25.28
5/29/2002,25.78
5/30/2002,24.68
5/31/2002,25.33
6/3/2002,25.08
6/4/2002,25.33
6/5/2002,24.88
6/6/2002,24.78
6/7/2002,24.75
6/10/2002,24.28
6/11/2002,24.13
6/12/2002,24.63
6/13/2002,25.63
6/14/2002,25.93
6/17/2002,26.08
6/18/2002,25.43
6/19/2002,25.33
6/20/2002,25.63
6/21/2002,25.53
6/24/2002,26.13
6/25/2002,26.33
6/26/2002,26.78
6/27/2002,26.88
6/28/2002,26.88
7/1/2002,26.83
7/2/2002,26.78
7/3/2002,26.83
7/4/2002,26.83
7/5/2002,26.83
7/8/2002,26.13
7/9/2002,26.08
7/10/2002,26.78
7/11/2002,26.83
7/12/2002,27.48
7/15/2002,27.08
7/16/2002,27.78
7/17/2002,27.88
7/18/2002,27.58
7/19/2002,27.83
7/22/2002,26.63
7/23/2002,26.28
7/24/2002,26.78
7/25/2002,26.58
7/26/2002,26.58
7/29/2002,26.58
7/30/2002,27.38
7/31/2002,27.03
8/1/2002,26.48
8/2/2002,26.83
8/5/2002,26.58
8/6/2002,27.2
8/7/2002,26.55
8/8/2002,26.68
8/9/2002,26.88
8/12/2002,27.88
8/13/2002,27.93
8/14/2002,28.15
8/15/2002,29.08
8/16/2002,29.33
8/19/2002,29.83
8/20/2002,30.13
8/21/2002,30.41
8/22/2002,30.15
8/23/2002,29.93
8/26/2002,29.28
8/27/2002,28.85
8/28/2002,28.33
8/29/2002,28.93
8/30/2002,28.98
9/2/2002,28.98
9/3/2002,27.78
9/4/2002,28.28
9/5/2002,28.98
9/6/2002,29.63
9/9/2002,29.73
9/10/2002,29.73
9/11/2002,29.78
9/12/2002,28.85
9/13/2002,29.83
9/16/2002,29.68
9/17/2002,29.08
9/18/2002,29.48
9/19/2002,29.5
9/20/2002,29.63
9/23/2002,30.68
9/24/2002,30.83
9/25/2002,30.43
9/26/2002,30.43
9/27/2002,30.53
9/30/2002,30.45
10/1/2002,30.83
10/2/2002,30.48
10/3/2002,29.78
10/4/2002,29.63
10/7/2002,29.63
10/8/2002,29.48
10/9/2002,29.33
10/10/2002,28.98
10/11/2002,29.38
10/14/2002,30.03
10/15/2002,29.73
10/16/2002,29.48
10/17/2002,29.63
10/18/2002,29.63
10/21/2002,28.38
10/22/2002,27.93
10/23/2002,28.08
10/24/2002,28.03
10/25/2002,26.98
10/28/2002,27.28
10/29/2002,26.88
10/30/2002,26.83
10/31/2002,27.23
11/1/2002,27.13
11/4/2002,26.98
11/5/2002,26.13
11/6/2002,25.78
11/7/2002,25.38
11/8/2002,25.78
11/11/2002,25.93
11/12/2002,25.88
11/13/2002,25.15
11/14/2002,25.28
11/15/2002,25.53
11/18/2002,26.73
11/19/2002,26.43
11/20/2002,26.98
11/21/2002,26.93
11/22/2002,26.68
11/25/2002,27.08
11/26/2002,26.4
11/27/2002,26.88
11/28/2002,26.88
11/29/2002,26.88
12/2/2002,27.23
12/3/2002,27.28
12/4/2002,26.73
12/5/2002,27.28
12/6/2002,26.93
12/9/2002,27.2
12/10/2002,27.73
12/11/2002,27.43
12/12/2002,28.03
12/13/2002,28.5
12/16/2002,30.13
12/17/2002,30.08
12/18/2002,30.43
12/19/2002,30.53
12/20/2002,30.43
12/23/2002,31.98
12/24/2002,32.18
12/25/2002,32.18
12/26/2002,32.48
12/27/2002,32.73
12/30/2002,31.35
12/31/2002,31.23
1/1/2003,31.23
1/2/2003,31.85
1/3/2003,33.08
1/6/2003,32.13
1/7/2003,31.08
1/8/2003,30.58
1/9/2003,31.98
1/10/2003,31.68
1/13/2003,32.28
1/14/2003,32.38
1/15/2003,33.23
1/16/2003,33.68
1/17/2003,33.93
1/20/2003,33.93
1/21/2003,34.63
1/22/2003,34.45
1/23/2003,33.85
1/24/2003,35.03
1/27/2003,32.28
1/28/2003,32.68
1/29/2003,33.63
1/30/2003,33.85
1/31/2003,33.53
2/3/2003,32.78
2/4/2003,33.58
2/5/2003,33.93
2/6/2003,34.18
2/7/2003,35.13
2/10/2003,34.48
2/11/2003,35.43
2/12/2003,35.78
2/13/2003,36.38
2/14/2003,36.83
2/17/2003,36.83
2/18/2003,36.98
2/19/2003,37.18
2/20/2003,36.78
2/21/2003,36.88
2/24/2003,37.58
2/25/2003,35.98
2/26/2003,37.73
2/27/2003,37.23
2/28/2003,36.63
3/3/2003,35.88
3/4/2003,36.88
3/5/2003,36.68
3/6/2003,37.03
3/7/2003,37.78
3/10/2003,37.28
3/11/2003,36.73
3/12/2003,37.83
3/13/2003,36.03
3/14/2003,35.38
3/17/2003,34.93
3/18/2003,31.68
3/19/2003,29.88
3/20/2003,28.63
3/21/2003,27.5
3/24/2003,29.18
3/25/2003,28.08
3/26/2003,28.63
3/27/2003,30.38
3/28/2003,30.18
3/31/2003,31.03
4/1/2003,29.78
4/2/2003,28.58
4/3/2003,28.98
4/4/2003,28.63
4/7/2003,27.98
4/8/2003,28.03
4/9/2003,28.88
4/10/2003,27.48
4/11/2003,28.13
4/14/2003,28.63
4/15/2003,29.28
4/16/2003,29.18
4/17/2003,30.55
4/18/2003,30.55
4/21/2003,30.88
4/22/2003,29.93
4/23/2003,28.55
4/24/2003,27.03
4/25/2003,26.28
4/28/2003,25.48
4/29/2003,25.23
4/30/2003,25.83
5/1/2003,26.03
5/2/2003,25.68
5/5/2003,26.48
5/6/2003,25.73
5/7/2003,26.23
5/8/2003,26.98
5/9/2003,27.73
5/12/2003,27.38
5/13/2003,28.53
5/14/2003,29.18
5/15/2003,28.73
5/16/2003,29.13
5/19/2003,28.83
5/20/2003,29.28
5/21/2003,29.5
5/22/2003,29.1
5/23/2003,29.88
5/26/2003,29.88
5/27/2003,29.35
5/28/2003,28.58
5/29/2003,29.13
5/30/2003,29.58
6/2/2003,30.73
6/3/2003,30.68
6/4/2003,30.05
6/5/2003,30.73
6/6/2003,31.28
6/9/2003,31.48
6/10/2003,31.73
6/11/2003,32.38
6/12/2003,31.53
6/13/2003,30.65
6/16/2003,31.18
6/17/2003,31.08
