Start,10/8/1999
End,10/8/2019
Frequency,D
Name,S&P GSCI Commodity Spot - PRICE INDEX
Code,S03622
CURRENCY,U$
10/8/1999,175.81
10/11/1999,178.08
10/12/1999,184.31
10/13/1999,187.73
10/14/1999,184.41
10/15/1999,186.54
10/18/1999,185.89
10/19/1999,185.46
10/20/1999,185.09
10/21/1999,185.6
10/22/1999,188.99
10/25/1999,188.4
10/26/1999,187.21
10/27/1999,186.52
10/28/1999,180.91
10/29/1999,181.39
11/1/1999,183.6
11/2/1999,182.79
11/3/1999,184.25
11/4/1999,185.93
11/5/1999,185.74
11/8/1999,186.4
11/9/1999,189.67
11/10/1999,191.75
11/11/1999,191.1
11/12/1999,193.84
11/15/1999,194.98
11/16/1999,195.85
11/17/1999,197.4
11/18/1999,193.92
11/19/1999,196.55
11/22/1999,198.92
11/23/1999,197.04
11/24/1999,198.31
11/25/1999,198.31
11/26/1999,197.98
11/29/1999,194.77
11/30/1999,189.66
12/1/1999,190.98
12/2/1999,194.5
12/3/1999,194.02
12/6/1999,196.77
12/7/1999,194.64
12/8/1999,195.08
12/9/1999,192.23
12/10/1999,189.49
12/13/1999,189.72
12/14/1999,192.11
12/15/1999,193.99
12/16/1999,197.22
12/17/1999,197.77
12/20/1999,197.73
12/21/1999,196.5
12/22/1999,193.81
12/23/1999,195.24
12/24/1999,195.24
12/27/1999,195.9
12/28/1999,197.57
12/29/1999,197.28
12/30/1999,194.54
12/31/1999,194.54
1/3/2000,194.22
1/4/2000,192.37
1/5/2000,190.52
1/6/2000,190.42
1/7/2000,188.55
1/10/2000,189.83
1/11/2000,193.46
1/12/2000,195.76
1/13/2000,197.15
1/14/2000,202.08
1/17/2000,202.08
1/18/2000,205.86
1/19/2000,206.89
1/20/2000,208.31
1/21/2000,208.46
1/24/2000,206.75
1/25/2000,209
1/26/2000,206.59
1/27/2000,205
1/28/2000,204.44
1/31/2000,206.37
2/1/2000,209.34
2/2/2000,206.9
2/3/2000,208.72
2/4/2000,212.21
2/7/2000,208.98
2/8/2000,205.6
2/9/2000,208.3
2/10/2000,211.08
2/11/2000,210.64
2/14/2000,212.78
2/15/2000,212.44
2/16/2000,213.02
2/17/2000,210.68
2/18/2000,209.76
2/21/2000,209.76
2/22/2000,210.57
2/23/2000,211.44
2/24/2000,213.57
2/25/2000,214.63
2/28/2000,214.23
2/29/2000,216.01
3/1/2000,222.51
3/2/2000,222.17
3/3/2000,221.94
3/6/2000,224.61
3/7/2000,230.4
3/8/2000,217.79
3/9/2000,219.02
3/10/2000,216.83
3/13/2000,216.87
3/14/2000,216
3/15/2000,213.17
3/16/2000,214.01
3/17/2000,213.67
3/20/2000,207.03
3/21/2000,208.22
3/22/2000,207.42
3/23/2000,206.99
3/24/2000,209.33
3/27/2000,209.15
3/28/2000,207.42
3/29/2000,203.92
3/30/2000,205.02
3/31/2000,206.88
4/3/2000,204.68
4/4/2000,199.53
4/5/2000,201.23
4/6/2000,200.08
4/7/2000,198.06
4/10/2000,193.1
4/11/2000,193.39
4/12/2000,199.38
4/13/2000,199.48
4/14/2000,197.37
4/17/2000,198.9
4/18/2000,200.12
4/19/2000,204.19
4/20/2000,204.27
4/21/2000,204.27
4/24/2000,205.01
4/25/2000,202.86
4/26/2000,200.26
4/27/2000,202.06
4/28/2000,203.21
5/1/2000,205.46
5/2/2000,210.23
5/3/2000,208.61
5/4/2000,209.92
5/5/2000,209.6
5/8/2000,212.69
5/9/2000,215.13
5/10/2000,215.23
5/11/2000,219.03
5/12/2000,220.66
5/15/2000,221.52
5/16/2000,222.13
5/17/2000,222.44
5/18/2000,225.58
5/19/2000,224.78
5/22/2000,220.74
5/23/2000,221.15
5/24/2000,226.46
5/25/2000,229.02
5/26/2000,227.72
5/29/2000,227.72
5/30/2000,227.76
5/31/2000,223.2
6/1/2000,226.19
6/2/2000,227.25
6/5/2000,226.17
6/6/2000,226.15
6/7/2000,224.2
6/8/2000,224.36
6/9/2000,225.71
6/12/2000,229.3
6/13/2000,231.28
6/14/2000,230.79
6/15/2000,231.04
6/16/2000,227.39
6/19/2000,223.93
6/20/2000,227.94
6/21/2000,231.91
6/22/2000,236.21
6/23/2000,235.59
6/26/2000,233.74
6/27/2000,236.02
6/28/2000,234.34
6/29/2000,237.83
6/30/2000,235.71
7/3/2000,235.4
7/4/2000,235.4
7/5/2000,226.71
7/6/2000,223.82
7/7/2000,225.7
7/10/2000,223.37
7/11/2000,223.69
7/12/2000,223.99
7/13/2000,227.08
7/14/2000,225.55
7/17/2000,222.79
7/18/2000,226.93
7/19/2000,224.79
7/20/2000,222.84
7/21/2000,218.4
7/24/2000,214.73
7/25/2000,214.02
7/26/2000,214.4
7/27/2000,215.77
7/28/2000,216.55
7/31/2000,213.33
8/1/2000,215.32
8/2/2000,218.5
8/3/2000,219.71
8/4/2000,224.18
8/7/2000,220.23
8/8/2000,221.51
8/9/2000,225.71
8/10/2000,229.31
8/11/2000,228.88
8/14/2000,229.92
8/15/2000,229.02
8/16/2000,230.22
8/17/2000,231.93
8/18/2000,233.41
8/21/2000,236.81
8/22/2000,232.73
8/23/2000,237.03
8/24/2000,235.74
8/25/2000,237.81
8/28/2000,240.99
8/29/2000,241.81
8/30/2000,244.71
8/31/2000,244.4
9/1/2000,245.31
9/4/2000,245.31
9/5/2000,248.39
9/6/2000,252.61
9/7/2000,255
9/8/2000,247.5
9/11/2000,253.85
9/12/2000,250.12
9/13/2000,246.51
9/14/2000,247.38
9/15/2000,252.69
9/18/2000,255.91
9/19/2000,253.35
9/20/2000,253.53
9/21/2000,249.56
9/22/2000,244.04
9/25/2000,241.06
9/26/2000,241.03
9/27/2000,241.69
9/28/2000,235.03
9/29/2000,237.48
10/2/2000,243.54
10/3/2000,243.45
10/4/2000,240.83
10/5/2000,236.71
10/6/2000,236.96
10/9/2000,241.46
10/10/2000,247.81
10/11/2000,250.46
10/12/2000,261.4
10/13/2000,253.16
10/16/2000,245.46
10/17/2000,245.16
10/18/2000,244.31
10/19/2000,240.17
10/20/2000,243.54
10/23/2000,246.77
10/24/2000,244.54
10/25/2000,241.16
10/26/2000,242.47
10/27/2000,237.65
10/30/2000,237.26
10/31/2000,236.71
11/1/2000,239.42
11/2/2000,237.7
11/3/2000,239.21
11/6/2000,239.97
11/7/2000,243.22
11/8/2000,244.01
11/9/2000,247.44
11/10/2000,247.18
11/13/2000,249.36
11/14/2000,252.93
11/15/2000,258.08
11/16/2000,254.23
11/17/2000,258.03
11/20/2000,260.34
11/21/2000,261
11/22/2000,262.65
11/23/2000,262.65
11/24/2000,262.91
11/27/2000,261.79
11/28/2000,255.047
11/29/2000,256.33
11/30/2000,256.38
12/1/2000,249.93
12/4/2000,252.37
12/5/2000,246.14
12/6/2000,253.48
12/7/2000,250.33
12/8/2000,247.23
12/11/2000,255.03
12/12/2000,247.62
12/13/2000,239.49
12/14/2000,234.44
12/15/2000,241.91
12/18/2000,245.24
12/19/2000,244.84
12/20/2000,236.99
12/21/2000,239.62
12/22/2000,238.81
12/25/2000,238.81
12/26/2000,241.45
12/27/2000,243.04
12/28/2000,240.53
12/29/2000,246.92
1/1/2001,246.92
1/2/2001,239.3
1/3/2001,240.6
1/4/2001,245.32
1/5/2001,246.3
1/8/2001,244.67
1/9/2001,244.81
1/10/2001,246.4
1/11/2001,243.28
1/12/2001,243.19
1/15/2001,243.19
1/16/2001,239.48
1/17/2001,230.92
1/18/2001,235.02
1/19/2001,241.64
1/22/2001,240.56
1/23/2001,237.13
1/24/2001,235.12
1/25/2001,236.37
1/26/2001,238.23
1/29/2001,230.96
1/30/2001,230.49
1/31/2001,226.72
2/1/2001,235.24
2/2/2001,241.82
2/5/2001,234.65
2/6/2001,234.96
2/7/2001,240.95
2/8/2001,241.46
2/9/2001,239.06
2/12/2001,234.45
2/13/2001,235.33
2/14/2001,231.16
2/15/2001,227.78
2/16/2001,228.93
2/19/2001,228.93
2/20/2001,226.6
2/21/2001,224.76
2/22/2001,225.15
2/23/2001,226.1
2/26/2001,223.8
2/27/2001,224
2/28/2001,221.89
3/1/2001,222.84
3/2/2001,224.31
3/5/2001,228.05
3/6/2001,227.05
3/7/2001,229.38
3/8/2001,226.66
3/9/2001,223.72
3/12/2001,224.23
3/13/2001,221.61
3/14/2001,216.28
3/15/2001,216.02
3/16/2001,216.13
3/19/2001,214.16
3/20/2001,214.63
3/21/2001,215.75
3/22/2001,214.89
3/23/2001,218.92
3/26/2001,220.01
3/27/2001,223.55
3/28/2001,216.73
3/29/2001,215.27
3/30/2001,212.91
4/2/2001,210.75
4/3/2001,213.87
4/4/2001,219.07
4/5/2001,221.15
4/6/2001,219.72
4/9/2001,221.7
4/10/2001,227.4
4/11/2001,226.14
4/12/2001,227.28
4/13/2001,227.28
4/16/2001,230.52
4/17/2001,228.2
4/18/2001,226.69
4/19/2001,225.09
4/20/2001,223.17
4/23/2001,222.63
4/24/2001,219.87
4/25/2001,221.03
4/26/2001,225.06
4/27/2001,224.06
4/30/2001,224.17
5/1/2001,225.94
5/2/2001,221.09
5/3/2001,224.33
5/4/2001,224.15
5/7/2001,220.67
5/8/2001,218.99
5/9/2001,221.39
5/10/2001,223.13
5/11/2001,222.03
5/14/2001,222.3
5/15/2001,224.52
5/16/2001,222.59
5/17/2001,223.12
5/18/2001,227.66
5/21/2001,226.6
5/22/2001,225.19
5/23/2001,224.36
5/24/2001,220.11
5/25/2001,218.39
5/28/2001,218.39
5/29/2001,218.22
5/30/2001,218.37
5/31/2001,217.49
6/1/2001,216.81
6/4/2001,217.31
6/5/2001,217.15
6/6/2001,214.59
6/7/2001,214.25
6/8/2001,217.55
6/11/2001,221.38
6/12/2001,222.93
6/13/2001,221.02
6/14/2001,221.39
6/15/2001,218.76
6/18/2001,215.84
6/19/2001,215.01
6/20/2001,208.2
6/21/2001,208.21
6/22/2001,208.57
6/25/2001,208.49
6/26/2001,207.69
6/27/2001,201.07
6/28/2001,200.49
6/29/2001,202.66
7/2/2001,201.17
7/3/2001,201.93
7/4/2001,201.93
7/5/2001,204.07
7/6/2001,208.95
7/9/2001,206.57
7/10/2001,206.37
7/11/2001,205.79
7/12/2001,206.68
7/13/2001,203.7
7/16/2001,201.23
7/17/2001,202.04
7/18/2001,198.3
7/19/2001,196.45
7/20/2001,199.3
7/23/2001,199.93
7/24/2001,200.42
7/25/2001,204.2
7/26/2001,203.6
7/27/2001,204.23
7/30/2001,203.05
7/31/2001,201.94
8/1/2001,201.52
8/2/2001,205.55
8/3/2001,203.39
8/6/2001,204.43
8/7/2001,205.22
8/8/2001,204.4
8/9/2001,204.25
8/10/2001,206.46
8/13/2001,206.12
8/14/2001,206.84
8/15/2001,206.93
8/16/2001,205.32
8/17/2001,201.29
8/20/2001,201.75
8/21/2001,203.7
8/22/2001,201.36
8/23/2001,202.52
8/24/2001,203.64
8/27/2001,202.17
8/28/2001,203.3
8/29/2001,203.08
8/30/2001,200.29
8/31/2001,203
9/3/2001,203
9/4/2001,201.42
9/5/2001,202.17
9/6/2001,203.95
9/7/2001,206.45
9/10/2001,204.76
9/11/2001,209.18
9/12/2001,207.02
9/13/2001,207.02
9/14/2001,214.25
9/17/2001,208.96
9/18/2001,204.21
9/19/2001,195.4
9/20/2001,197.03
9/21/2001,193.95
9/24/2001,177
9/25/2001,176.53
9/26/2001,179.16
9/27/2001,179.94
9/28/2001,181.72
10/1/2001,180.54
10/2/2001,178.52
10/3/2001,176.52
10/4/2001,179.49
10/5/2001,177.31
10/8/2001,178.44
10/9/2001,179.44
10/10/2001,180.62
10/11/2001,183.62
10/12/2001,179.27
10/15/2001,177.06
10/16/2001,177.66
10/17/2001,176.22
10/18/2001,174.28
10/19/2001,177.94
10/22/2001,177.67
10/23/2001,175.83
10/24/2001,178.9
10/25/2001,177.46
10/26/2001,177.94
10/29/2001,179.21
10/30/2001,177.51
10/31/2001,175.57
11/1/2001,172.25
11/2/2001,170.92
11/5/2001,168.45
11/6/2001,167.36
11/7/2001,168.26
11/8/2001,174.533
11/9/2001,179.54
11/12/2001,174.71
11/13/2001,178.84
11/14/2001,171.24
11/15/2001,162.2
11/16/2001,165.27
11/19/2001,166.14
11/20/2001,168.58
11/21/2001,168.31
11/22/2001,168.31
11/23/2001,168.53
11/26/2001,165.9
11/27/2001,169.2
11/28/2001,166.72
11/29/2001,165.01
11/30/2001,169.575
12/3/2001,170.58
12/4/2001,168.06
12/5/2001,167.5
12/6/2001,163.52
12/7/2001,165.481
12/10/2001,163.63
12/11/2001,162.44
12/12/2001,163.03
12/13/2001,162.75
12/14/2001,168.28
12/17/2001,167.55
12/18/2001,167.8
12/19/2001,169.12
12/20/2001,167
12/21/2001,169.39
12/24/2001,169.66
12/25/2001,169.66
12/26/2001,174.76
12/27/2001,173.26
12/28/2001,172.45
12/31/2001,169.16
1/1/2002,169.16
1/2/2002,173.21
1/3/2002,170.32
1/4/2002,175.48
1/7/2002,175.44
1/8/2002,174.53
1/9/2002,170.71
1/10/2002,171.78
1/11/2002,170.43
1/14/2002,167.22
1/15/2002,168.23
1/16/2002,169.42
1/17/2002,165.06
1/18/2002,164.54
1/21/2002,164.54
1/22/2002,164.47
1/23/2002,166.47
1/24/2002,167.36
1/25/2002,168.4
1/28/2002,167.52
1/29/2002,165.71
1/30/2002,163.62
1/31/2002,166.09
2/1/2002,170.24
2/4/2002,168.7
2/5/2002,168.42
2/6/2002,167.04
2/7/2002,166.52
2/8/2002,170.07
2/11/2002,175.44
2/12/2002,174.09
2/13/2002,176.06
2/14/2002,175.99
2/15/2002,176.1
2/18/2002,176.1
2/19/2002,174.27
2/20/2002,171.69
2/21/2002,174.01
2/22/2002,174.1
2/25/2002,170.53
2/26/2002,174.2
2/27/2002,175.01
2/28/2002,176.52
3/1/2002,180.29
3/4/2002,180.93
3/5/2002,184.3
3/6/2002,185.05
3/7/2002,189.24
3/8/2002,190.13
3/11/2002,194.268
3/12/2002,193.64
3/13/2002,193.17
3/14/2002,195.11
3/15/2002,195.61
3/18/2002,199.08
3/19/2002,198.38
3/20/2002,196.59
3/21/2002,200.12
3/22/2002,198.01
3/25/2002,196.76
3/26/2002,198.29
3/27/2002,200.18
3/28/2002,201.23
3/29/2002,201.23
4/1/2002,204.6
4/2/2002,209.97
4/3/2002,207.42
4/4/2002,202.75
4/5/2002,199.4
4/8/2002,201.42
4/9/2002,198.24
4/10/2002,198.59
4/11/2002,193.27
4/12/2002,186.6
4/15/2002,192.81
4/16/2002,194.01
4/17/2002,199.1
4/18/2002,199.53
4/19/2002,200.25
4/22/2002,200.35
4/23/2002,200.99
4/24/2002,198.61
4/25/2002,199.21
4/26/2002,200.99
4/29/2002,203.54
4/30/2002,204.08
5/1/2002,201.41
5/2/2002,198.47
5/3/2002,200.08
5/6/2002,198.08
5/7/2002,199.87
5/8/2002,203.55
5/9/2002,202.87
5/10/2002,204.91
5/13/2002,206.85
5/14/2002,210.37
5/15/2002,204.82
5/16/2002,203.97
5/17/2002,203.71
5/20/2002,203.39
5/21/2002,199.22
5/22/2002,199.43
5/23/2002,198.85
5/24/2002,197.37
5/27/2002,197.37
5/28/2002,194.79
5/29/2002,197.55
5/30/2002,191.35
5/31/2002,194.29
6/3/2002,193.98
6/4/2002,195.32
6/5/2002,193.46
6/6/2002,192.87
6/7/2002,192.01
6/10/2002,190.09
6/11/2002,189.57
6/12/2002,191.98
6/13/2002,197.95
6/14/2002,199.76
6/17/2002,200.64
6/18/2002,197.86
6/19/2002,197.49
6/20/2002,198.41
6/21/2002,197.32
6/24/2002,201.68
6/25/2002,201.35
6/26/2002,201.74
6/27/2002,202.59
6/28/2002,202.76
7/1/2002,203.2
7/2/2002,203.1
7/3/2002,202.69
7/4/2002,202.69
7/5/2002,203.04
7/8/2002,198.42
7/9/2002,199.47
7/10/2002,202.28
7/11/2002,202.6
7/12/2002,204.44
7/15/2002,203.31
7/16/2002,207.05
7/17/2002,207.33
7/18/2002,207.02
7/19/2002,207.34
7/22/2002,203.72
7/23/2002,200.38
7/24/2002,203.25
7/25/2002,202.12
7/26/2002,200.79
7/29/2002,199.83
7/30/2002,203.7
7/31/2002,203.45
8/1/2002,199.72
8/2/2002,201.06
8/5/2002,198.55
8/6/2002,201.37
8/7/2002,198.76
8/8/2002,199.56
8/9/2002,201.06
8/12/2002,205.9
8/13/2002,206.89
8/14/2002,207.73
8/15/2002,212.63
8/16/2002,212.99
8/19/2002,213.85
8/20/2002,212.42
8/21/2002,214.88
8/22/2002,215.13
8/23/2002,214.28
8/26/2002,217.14
8/27/2002,215.83
8/28/2002,213.4
8/29/2002,214.33
8/30/2002,215.23
9/2/2002,215.23
9/3/2002,209.19
9/4/2002,212.76
9/5/2002,217.18
9/6/2002,220.47
9/9/2002,223
9/10/2002,224.3
9/11/2002,224.59
9/12/2002,221.14
9/13/2002,225.27
9/16/2002,225.61
9/17/2002,223.89
9/18/2002,226.42
9/19/2002,225.88
9/20/2002,225.51
9/23/2002,228.58
9/24/2002,228.17
9/25/2002,226.66
9/26/2002,226.88
9/27/2002,228.02
9/30/2002,227.69
10/1/2002,229.09
10/2/2002,228.39
10/3/2002,222.72
10/4/2002,221.92
10/7/2002,222.37
10/8/2002,223.35
10/9/2002,223.29
10/10/2002,220.76
10/11/2002,223.91
10/14/2002,227.27
10/15/2002,228.02
10/16/2002,227.38
10/17/2002,228.33
10/18/2002,227.73
10/21/2002,221.82
10/22/2002,220.05
10/23/2002,220.99
10/24/2002,221.16
10/25/2002,216.55
10/28/2002,217.66
10/29/2002,215.42
10/30/2002,215.95
10/31/2002,217.43
11/1/2002,217.11
11/4/2002,215.07
11/5/2002,211.3
11/6/2002,209.15
11/7/2002,207.54
11/8/2002,207.72
11/11/2002,207.93
11/12/2002,207.49
11/13/2002,204.45
11/14/2002,205.34
11/15/2002,207.24
11/18/2002,212.96
11/19/2002,212.62
11/20/2002,215.14
11/21/2002,216.52
11/22/2002,218.41
11/25/2002,215.66
11/26/2002,215.75
11/27/2002,217.81
11/28/2002,217.81
11/29/2002,217.72
12/2/2002,220.1
12/3/2002,219.08
12/4/2002,216.6
12/5/2002,219.05
12/6/2002,217.25
12/9/2002,218.04
12/10/2002,221.96
12/11/2002,221.33
12/12/2002,225.49
12/13/2002,228.92
12/16/2002,235.73
12/17/2002,234.71
12/18/2002,236.99
12/19/2002,235.78
12/20/2002,236.06
12/23/2002,242.01
12/24/2002,243.15
12/25/2002,243.15
12/26/2002,243.04
12/27/2002,243.76
12/30/2002,236.74
12/31/2002,235.15
1/1/2003,235.15
1/2/2003,240.85
1/3/2003,246.88
1/6/2003,240.73
1/7/2003,237.32
1/8/2003,236.09
1/9/2003,242.21
1/10/2003,233.92
1/13/2003,233.65
1/14/2003,231.17
1/15/2003,232.12
1/16/2003,234.64
1/17/2003,244.18
1/20/2003,244.18
1/21/2003,244.41
1/22/2003,244.78
1/23/2003,242.08
1/24/2003,248.71
1/27/2003,244.26
1/28/2003,246.75
1/29/2003,252.82
1/30/2003,254.15
1/31/2003,253.49
2/3/2003,251.45
2/4/2003,255.44
2/5/2003,257.29
2/6/2003,259.67
2/7/2003,266.09
2/10/2003,261.1
2/11/2003,263.84
2/12/2003,260.51
2/13/2003,261.16
2/14/2003,261.23
2/17/2003,261.23
2/18/2003,261.1
2/19/2003,263.2
2/20/2003,259.88
2/21/2003,265.72
2/24/2003,276.67
2/25/2003,268.2
2/26/2003,277.6
2/27/2003,276.09
2/28/2003,278.57
3/3/2003,271.09
3/4/2003,273.8
3/5/2003,272.33
3/6/2003,273.12
3/7/2003,278.15
3/10/2003,271.85
3/11/2003,264.46
3/12/2003,265.5
3/13/2003,254.76
3/14/2003,248.22
3/17/2003,243.87
3/18/2003,233.57
3/19/2003,230.99
3/20/2003,225.88
3/21/2003,218.58
3/24/2003,225.26
3/25/2003,220.87
3/26/2003,223.1
3/27/2003,230.43
3/28/2003,228.99
3/31/2003,232.28
4/1/2003,227.36
4/2/2003,222.2
4/3/2003,222.73
4/4/2003,221.48
4/7/2003,220.88
4/8/2003,220.12
4/9/2003,224.03
4/10/2003,219.91
4/11/2003,221.29
4/14/2003,221.25
4/15/2003,224.45
4/16/2003,224.29
4/17/2003,228.8
4/18/2003,228.8
4/21/2003,230.3
4/22/2003,226.54
4/23/2003,220.78
4/24/2003,220.11
4/25/2003,219.08
4/28/2003,213.66
4/29/2003,212.59
4/30/2003,215.64
5/1/2003,215.88
5/2/2003,213.94
5/5/2003,218.88
5/6/2003,216.33
5/7/2003,219.02
5/8/2003,222.66
5/9/2003,226.9
5/12/2003,226.8
5/13/2003,232.24
5/14/2003,234.89
5/15/2003,233.18
5/16/2003,234.27
5/19/2003,231.04
5/20/2003,231.51
5/21/2003,234.91
5/22/2003,233.06
5/23/2003,234.15
5/26/2003,234.15
5/27/2003,233.51
5/28/2003,230.28
5/29/2003,232.95
5/30/2003,235.24
6/2/2003,240.64
6/3/2003,239.77
6/4/2003,236.97
6/5/2003,240.71
6/6/2003,242.42
6/9/2003,241.65
6/10/2003,242.53
6/11/2003,242.86
6/12/2003,236.06
6/13/2003,230.75
6/16/2003,231.5
6/17/2003,232.21
