Start,10/8/1999
End,10/8/2019
Frequency,D
Name,EURO TO US $(GTIS/TR) - EXCHANGE RATE
Code,Y10011
CURRENCY,U$
10/8/1999,0.940912
10/11/1999,0.940912
10/12/1999,0.929195
10/13/1999,0.924984
10/14/1999,0.927645
10/15/1999,0.917937
10/18/1999,0.923959
10/19/1999,0.923105
10/20/1999,0.930493
10/21/1999,0.925412
10/22/1999,0.935279
10/25/1999,0.936769
10/26/1999,0.943841
10/27/1999,0.951747
10/28/1999,0.951023
10/29/1999,0.947958
11/1/1999,0.950841
11/2/1999,0.950481
11/3/1999,0.953744
11/4/1999,0.96367
11/5/1999,0.960062
11/8/1999,0.962279
11/9/1999,0.961169
11/10/1999,0.957029
11/11/1999,0.960892
11/12/1999,0.969181
11/15/1999,0.967774
11/16/1999,0.969181
11/17/1999,0.9608
11/18/1999,0.971252
11/19/1999,0.97012
11/22/1999,0.969087
11/23/1999,0.972763
11/24/1999,0.981355
11/25/1999,0.981355
11/26/1999,0.984738
11/29/1999,0.9901
11/30/1999,0.990982
12/1/1999,0.99167
12/2/1999,0.998104
12/3/1999,0.997806
12/6/1999,0.977805
12/7/1999,0.97523
12/8/1999,0.972952
12/9/1999,0.979528
12/10/1999,0.987557
12/13/1999,0.986
12/14/1999,0.995026
12/15/1999,0.993543
12/16/1999,0.983768
12/17/1999,0.991178
12/20/1999,0.986193
12/21/1999,0.990002
12/22/1999,0.990787
12/23/1999,0.984641
12/24/1999,0.984641
12/27/1999,0.986972
12/28/1999,0.993147
12/29/1999,0.995322
12/30/1999,0.992261
12/31/1999,0.993246
1/3/2000,0.9739
1/4/2000,0.96965
1/5/2000,0.969275
1/6/2000,0.968804
1/7/2000,0.971346
1/10/2000,0.974849
1/11/2000,0.967774
1/12/2000,0.969933
1/13/2000,0.974849
1/14/2000,0.985804
1/17/2000,0.988632
1/18/2000,0.986583
1/19/2000,0.987557
1/20/2000,0.982994
1/21/2000,0.991573
1/24/2000,0.993049
1/25/2000,0.999002
1/26/2000,0.998203
1/27/2000,1.011838
1/28/2000,1.02522
1/31/2000,1.030396
2/1/2000,1.029017
2/2/2000,1.02396
2/3/2000,1.009692
2/4/2000,1.017604
2/7/2000,1.019991
2/8/2000,1.01389
2/9/2000,1.006846
2/10/2000,1.015331
2/11/2000,1.013479
2/14/2000,1.021137
2/15/2000,1.019263
2/16/2000,1.013479
2/17/2000,1.011838
2/18/2000,1.014919
2/21/2000,1.014919
2/22/2000,0.996911
2/23/2000,0.99681
2/24/2000,1.007151
2/25/2000,1.026378
2/28/2000,1.028807
2/29/2000,1.03584
3/1/2000,1.02796
3/2/2000,1.036269
3/3/2000,1.040257
3/6/2000,1.042752
3/7/2000,1.042209
3/8/2000,1.040799
3/9/2000,1.034875
3/10/2000,1.03756
3/13/2000,1.036484
3/14/2000,1.033164
3/15/2000,1.032738
3/16/2000,1.029336
3/17/2000,1.028806
3/20/2000,1.027854
3/21/2000,1.037128
3/22/2000,1.040366
3/23/2000,1.029017
3/24/2000,1.023227
3/27/2000,1.034447
3/28/2000,1.041016
3/29/2000,1.05064
3/30/2000,1.0407
3/31/2000,1.045916
4/3/2000,1.044713
4/4/2000,1.038853
4/5/2000,1.036484
4/6/2000,1.043514
4/7/2000,1.047449
4/10/2000,1.039177
4/11/2000,1.042861
4/12/2000,1.043732
4/13/2000,1.047888
4/14/2000,1.040366
4/17/2000,1.049869
4/18/2000,1.05552
4/19/2000,1.06315
4/20/2000,1.0667
4/21/2000,1.065984
4/24/2000,1.066667
4/25/2000,1.085187
4/26/2000,1.082719
4/27/2000,1.099021
4/28/2000,1.096972
5/1/2000,1.09206
5/2/2000,1.100472
5/3/2000,1.116943
5/4/2000,1.123091
5/5/2000,1.114329
5/8/2000,1.113709
5/9/2000,1.101686
5/10/2000,1.102901
5/11/2000,1.109385
5/12/2000,1.087902
5/15/2000,1.096731
5/16/2000,1.110124
5/17/2000,1.117693
5/18/2000,1.118818
5/19/2000,1.112347
5/22/2000,1.107174
5/23/2000,1.102778
5/24/2000,1.10363
5/25/2000,1.09577
5/26/2000,1.073421
5/29/2000,1.073421
5/30/2000,1.075037
5/31/2000,1.066325
6/1/2000,1.073076
6/2/2000,1.059658
6/5/2000,1.054518
6/6/2000,1.048108
6/7/2000,1.038853
6/8/2000,1.045259
6/9/2000,1.049097
6/12/2000,1.049317
6/13/2000,1.04069
6/14/2000,1.04395
6/15/2000,1.048548
6/16/2000,1.036055
6/19/2000,1.040366
6/20/2000,1.046462
6/21/2000,1.057082
6/22/2000,1.06315
6/23/2000,1.067805
6/26/2000,1.064962
6/27/2000,1.058761
6/28/2000,1.058649
6/29/2000,1.051192
6/30/2000,1.047339
7/3/2000,1.0502
7/4/2000,1.051745
7/5/2000,1.047449
7/6/2000,1.049317
7/7/2000,1.05552
7/10/2000,1.050089
7/11/2000,1.053075
7/12/2000,1.063376
7/13/2000,1.069404
7/14/2000,1.066552
7/17/2000,1.069518
7/18/2000,1.071696
7/19/2000,1.082485
7/20/2000,1.075384
7/21/2000,1.06678
7/24/2000,1.072616
7/25/2000,1.065076
7/26/2000,1.06236
7/27/2000,1.071466
7/28/2000,1.082485
7/31/2000,1.078399
8/1/2000,1.091822
8/2/2000,1.09457
8/3/2000,1.103022
8/4/2000,1.102657
8/7/2000,1.098901
8/8/2000,1.109262
8/9/2000,1.112223
8/10/2000,1.101686
8/11/2000,1.107542
8/14/2000,1.106562
8/15/2000,1.094212
8/16/2000,1.093613
8/17/2000,1.092418
8/18/2000,1.103387
8/21/2000,1.107419
8/22/2000,1.114951
8/23/2000,1.115324
8/24/2000,1.107419
8/25/2000,1.108401
8/28/2000,1.110741
8/29/2000,1.1152
8/30/2000,1.117818
8/31/2000,1.126887
9/1/2000,1.110864
9/4/2000,1.114454
9/5/2000,1.126887
9/6/2000,1.148237
9/7/2000,1.142595
9/8/2000,1.151808
9/11/2000,1.160766
9/12/2000,1.16117
9/13/2000,1.157273
9/14/2000,1.160631
9/15/2000,1.170686
9/18/2000,1.172745
9/19/2000,1.176193
9/20/2000,1.182312
9/21/2000,1.165637
9/22/2000,1.138433
9/25/2000,1.144426
9/26/2000,1.135976
9/27/2000,1.134558
9/28/2000,1.132246
9/29/2000,1.13071
10/2/2000,1.137138
10/3/2000,1.143641
10/4/2000,1.145474
10/5/2000,1.148106
10/6/2000,1.151543
10/9/2000,1.153003
10/10/2000,1.150351
10/11/2000,1.148896
10/12/2000,1.156737
10/13/2000,1.167678
10/16/2000,1.177578
10/17/2000,1.17564
10/18/2000,1.19289
10/19/2000,1.188354
10/20/2000,1.189343
10/23/2000,1.196744
10/24/2000,1.195028
10/25/2000,1.187648
10/26/2000,1.20569
10/27/2000,1.189626
10/30/2000,1.18906
10/31/2000,1.17744
11/1/2000,1.161036
11/2/2000,1.164144
11/3/2000,1.153269
11/6/2000,1.160631
11/7/2000,1.16198
11/8/2000,1.168906
11/9/2000,1.153934
11/10/2000,1.163061
11/13/2000,1.162655
11/14/2000,1.152073
11/15/2000,1.166316
11/16/2000,1.173433
11/17/2000,1.178411
11/20/2000,1.173846
11/21/2000,1.184974
11/22/2000,1.185677
11/23/2000,1.185677
11/24/2000,1.19161
11/27/2000,1.173984
11/28/2000,1.167133
11/29/2000,1.165977
11/30/2000,1.146328
12/1/2000,1.138109
12/4/2000,1.128604
12/5/2000,1.136493
12/6/2000,1.121641
12/7/2000,1.123658
12/8/2000,1.135138
12/11/2000,1.141299
12/12/2000,1.13798
12/13/2000,1.139666
12/14/2000,1.139341
12/15/2000,1.139341
12/18/2000,1.11632
12/19/2000,1.122523
12/20/2000,1.099807
12/21/2000,1.091822
12/22/2000,1.081958
12/25/2000,1.081958
12/26/2000,1.081958
12/27/2000,1.081958
12/28/2000,1.081958
12/29/2000,1.061514
1/1/2001,1.061514
1/2/2001,1.052022
1/3/2001,1.076484
1/4/2001,1.052521
1/5/2001,1.043896
1/8/2001,1.053518
1/9/2001,1.058593
1/10/2001,1.066951
1/11/2001,1.050254
1/12/2001,1.051083
1/15/2001,1.061064
1/16/2001,1.06253
1/17/2001,1.068433
1/18/2001,1.060839
1/19/2001,1.070376
1/22/2001,1.065246
1/23/2001,1.069976
1/24/2001,1.082075
1/25/2001,1.082016
1/26/2001,1.08149
1/29/2001,1.090512
1/30/2001,1.079272
1/31/2001,1.066609
2/1/2001,1.062191
2/2/2001,1.068376
2/5/2001,1.065928
2/6/2001,1.074114
2/7/2001,1.076484
2/8/2001,1.089443
2/9/2001,1.082133
2/12/2001,1.072845
2/13/2001,1.086247
2/14/2001,1.089681
2/15/2001,1.104484
2/16/2001,1.093135
2/19/2001,1.093135
2/20/2001,1.097996
2/21/2001,1.099202
2/22/2001,1.106807
2/23/2001,1.087902
2/26/2001,1.098478
2/27/2001,1.088968
2/28/2001,1.082953
3/1/2001,1.074806
3/2/2001,1.068261
3/5/2001,1.079447
3/6/2001,1.070606
3/7/2001,1.07602
3/8/2001,1.072558
3/9/2001,1.071294
3/12/2001,1.076078
3/13/2001,1.092836
3/14/2001,1.097453
3/15/2001,1.113957
3/16/2001,1.113214
3/19/2001,1.111914
3/20/2001,1.109447
3/21/2001,1.114143
3/22/2001,1.125682
3/23/2001,1.124859
3/26/2001,1.11576
3/27/2001,1.119382
3/28/2001,1.128222
3/29/2001,1.132117
3/30/2001,1.139925
4/2/2001,1.136945
4/3/2001,1.114205
4/4/2001,1.109262
4/5/2001,1.11464
4/6/2001,1.106194
4/9/2001,1.115386
4/10/2001,1.124922
4/11/2001,1.126062
4/12/2001,1.120071
4/13/2001,1.120071
4/16/2001,1.120071
4/17/2001,1.131733
4/18/2001,1.131157
4/19/2001,1.113833
4/20/2001,1.107542
4/23/2001,1.114516
4/24/2001,1.118068
4/25/2001,1.113585
4/26/2001,1.107113
4/27/2001,1.120825
4/30/2001,1.124859
5/1/2001,1.119695
5/2/2001,1.118755
5/3/2001,1.124037
5/4/2001,1.120322
5/7/2001,1.121641
5/8/2001,1.129624
5/9/2001,1.128159
5/10/2001,1.134494
5/11/2001,1.141161
5/14/2001,1.143903
5/15/2001,1.138627
5/16/2001,1.132503
5/17/2001,1.132887
5/18/2001,1.13443
5/21/2001,1.140836
5/22/2001,1.155802
5/23/2001,1.168839
5/24/2001,1.166793
5/25/2001,1.1609
5/28/2001,1.162317
5/29/2001,1.168428
5/30/2001,1.169385
5/31/2001,1.184273
6/1/2001,1.179106
6/4/2001,1.181963
6/5/2001,1.170069
6/6/2001,1.181334
6/7/2001,1.174466
6/8/2001,1.17564
6/11/2001,1.184623
6/12/2001,1.172058
6/13/2001,1.169316
6/14/2001,1.15895
6/15/2001,1.160766
6/18/2001,1.162047
6/19/2001,1.171097
6/20/2001,1.168975
6/21/2001,1.169932
6/22/2001,1.166044
6/25/2001,1.164008
6/26/2001,1.161372
6/27/2001,1.163331
6/28/2001,1.184413
6/29/2001,1.176886
7/2/2001,1.180219
7/3/2001,1.179662
7/4/2001,1.179662
7/5/2001,1.192605
7/6/2001,1.179245
7/9/2001,1.177301
7/10/2001,1.168702
7/11/2001,1.165501
7/12/2001,1.171165
7/13/2001,1.170275
7/16/2001,1.173295
7/17/2001,1.163737
7/18/2001,1.144426
7/19/2001,1.147052
7/20/2001,1.147578
7/23/2001,1.150747
7/24/2001,1.14495
7/25/2001,1.135976
7/26/2001,1.139146
7/27/2001,1.139471
7/30/2001,1.143968
7/31/2001,1.141096
8/1/2001,1.135202
8/2/2001,1.132053
8/3/2001,1.130837
8/6/2001,1.134815
8/7/2001,1.139341
8/8/2001,1.135911
8/9/2001,1.120887
8/10/2001,1.119821
8/13/2001,1.119382
8/14/2001,1.107297
8/15/2001,1.09475
8/16/2001,1.095469
8/17/2001,1.089383
8/20/2001,1.093075
8/21/2001,1.09523
8/22/2001,1.082426
8/23/2001,1.093254
8/24/2001,1.093254
8/27/2001,1.096851
8/28/2001,1.09553
8/29/2001,1.101018
8/30/2001,1.091464
8/31/2001,1.09589
9/3/2001,1.09589
9/4/2001,1.125555
9/5/2001,1.128031
9/6/2001,1.116818
9/7/2001,1.101807
9/10/2001,1.113152
9/11/2001,1.097333
9/12/2001,1.102474
9/13/2001,1.097936
9/14/2001,1.097936
9/17/2001,1.081665
9/18/2001,1.082778
9/19/2001,1.079621
9/20/2001,1.078399
9/21/2001,1.093613
9/24/2001,1.091107
9/25/2001,1.083305
9/26/2001,1.083424
9/27/2001,1.089502
9/28/2001,1.097213
10/1/2001,1.097213
10/2/2001,1.089027
10/3/2001,1.093972
10/4/2001,1.089324
10/5/2001,1.088494
10/8/2001,1.086601
10/9/2001,1.09499
10/10/2001,1.098297
10/11/2001,1.107664
10/12/2001,1.097333
10/15/2001,1.101442
10/16/2001,1.101321
10/17/2001,1.107419
10/18/2001,1.106745
10/19/2001,1.112347
10/22/2001,1.122145
10/23/2001,1.123405
10/24/2001,1.118693
10/25/2001,1.12051
10/26/2001,1.120134
10/29/2001,1.104789
10/30/2001,1.105399
10/31/2001,1.110679
11/1/2001,1.108339
11/2/2001,1.106194
11/5/2001,1.114392
11/6/2001,1.113895
11/7/2001,1.116756
11/8/2001,1.115013
11/9/2001,1.11763
11/12/2001,1.11813
11/13/2001,1.13488
11/14/2001,1.132887
11/15/2001,1.133786
11/16/2001,1.130135
11/19/2001,1.137721
11/20/2001,1.13231
11/21/2001,1.139277
11/22/2001,1.139277
11/23/2001,1.138627
11/26/2001,1.135331
11/27/2001,1.132182
11/28/2001,1.126506
11/29/2001,1.12695
11/30/2001,1.11657
12/3/2001,1.122334
12/4/2001,1.123027
12/5/2001,1.126125
12/6/2001,1.124732
12/7/2001,1.121264
12/10/2001,1.122523
12/11/2001,1.120636
12/12/2001,1.114205
12/13/2001,1.120196
12/14/2001,1.106317
12/17/2001,1.108831
12/18/2001,1.10699
12/19/2001,1.109755
12/20/2001,1.112099
12/21/2001,1.124859
12/24/2001,1.137591
12/25/2001,1.137591
12/26/2001,1.138692
12/27/2001,1.131733
12/28/2001,1.129687
12/31/2001,1.123217
1/1/2002,1.123217
1/2/2002,1.107052
1/3/2002,1.112223
1/4/2002,1.117568
1/7/2002,1.119382
1/8/2002,1.119319
1/9/2002,1.122082
1/10/2002,1.121767
1/11/2002,1.120448
1/14/2002,1.11813
1/15/2002,1.122019
1/16/2002,1.131669
1/17/2002,1.134751
1/18/2002,1.130582
1/21/2002,1.132053
1/22/2002,1.127713
1/23/2002,1.13986
1/24/2002,1.139406
1/25/2002,1.156872
1/28/2002,1.160429
1/29/2002,1.156002
1/30/2002,1.159689
1/31/2002,1.163873
2/1/2002,1.159823
2/4/2002,1.149425
2/5/2002,1.153003
2/6/2002,1.153868
2/7/2002,1.149095
2/8/2002,1.146525
2/11/2002,1.140965
2/12/2002,1.14064
2/13/2002,1.147841
2/14/2002,1.143903
2/15/2002,1.145474
2/18/2002,1.145474
2/19/2002,1.141161
2/20/2002,1.150085
2/21/2002,1.148896
2/22/2002,1.142465
2/25/2002,1.150615
2/26/2002,1.157675
2/27/2002,1.154734
2/28/2002,1.150152
3/1/2002,1.155535
3/4/2002,1.149557
3/5/2002,1.147447
3/6/2002,1.141031
3/7/2002,1.134494
3/8/2002,1.144885
3/11/2002,1.142074
3/12/2002,1.141878
3/13/2002,1.142074
3/14/2002,1.133016
3/15/2002,1.132503
3/18/2002,1.133337
3/19/2002,1.134044
3/20/2002,1.128986
3/21/2002,1.133144
3/22/2002,1.138951
3/25/2002,1.140446
3/26/2002,1.14064
3/27/2002,1.146132
3/28/2002,1.147578
3/29/2002,1.146986
4/1/2002,1.135589
4/2/2002,1.13688
4/3/2002,1.135266
4/4/2002,1.138562
4/5/2002,1.138239
4/8/2002,1.143184
4/9/2002,1.13488
4/10/2002,1.135717
4/11/2002,1.133594
4/12/2002,1.134945
4/15/2002,1.137268
4/16/2002,1.133401
4/17/2002,1.122838
4/18/2002,1.122523
4/19/2002,1.120825
4/22/2002,1.124101
4/23/2002,1.125175
4/24/2002,1.120196
4/25/2002,1.113957
4/26/2002,1.109324
4/29/2002,1.107297
4/30/2002,1.110432
5/1/2002,1.103326
5/2/2002,1.107297
5/3/2002,1.090156
5/6/2002,1.089265
5/7/2002,1.093553
5/8/2002,1.104911
5/9/2002,1.099626
5/10/2002,1.094091
5/13/2002,1.095469
5/14/2002,1.107419
5/15/2002,1.096731
5/16/2002,1.096791
5/17/2002,1.086366
5/20/2002,1.085894
5/21/2002,1.087784
5/22/2002,1.080263
5/23/2002,1.085304
5/24/2002,1.086543
5/27/2002,1.085658
5/28/2002,1.077122
5/29/2002,1.069004
5/30/2002,1.067635
5/31/2002,1.071008
6/3/2002,1.062924
6/4/2002,1.064508
6/5/2002,1.064679
6/6/2002,1.055799
6/7/2002,1.060839
6/10/2002,1.059154
6/11/2002,1.054741
6/12/2002,1.060332
6/13/2002,1.060389
6/14/2002,1.057753
6/17/2002,1.058649
6/18/2002,1.049923
6/19/2002,1.044168
6/20/2002,1.036806
6/21/2002,1.030449
6/24/2002,1.030343
6/25/2002,1.021659
6/26/2002,1.017863
6/27/2002,1.012145
6/28/2002,1.00898
7/1/2002,1.009081
7/2/2002,1.01389
7/3/2002,1.02046
7/4/2002,1.02046
7/5/2002,1.027749
7/8/2002,1.009438
7/9/2002,1.007505
7/10/2002,1.010968
7/11/2002,1.012402
7/12/2002,1.009438
7/15/2002,0.996413
7/16/2002,0.987654
7/17/2002,0.993147
7/18/2002,0.988289
7/19/2002,0.988045
7/22/2002,0.992113
7/23/2002,1.010713
7/24/2002,1.004823
7/25/2002,0.996214
7/26/2002,1.014507
7/29/2002,1.019159
7/30/2002,1.01688
7/31/2002,1.023174
8/1/2002,1.015743
8/2/2002,1.012658
8/5/2002,1.019679
8/6/2002,1.034714
8/7/2002,1.026061
8/8/2002,1.034233
8/9/2002,1.031087
8/12/2002,1.021868
8/13/2002,1.015743
8/14/2002,1.023279
8/15/2002,1.017915
8/16/2002,1.01312
8/19/2002,1.023018
8/20/2002,1.023018
8/21/2002,1.02046
8/22/2002,1.031832
8/23/2002,1.028277
8/26/2002,1.02923
8/27/2002,1.017345
8/28/2002,1.021711
8/29/2002,1.01657
8/30/2002,1.018848
9/2/2002,1.01564
9/3/2002,1.003361
9/4/2002,1.008471
9/5/2002,1.008573
9/6/2002,1.018641
9/9/2002,1.02072
9/10/2002,1.025536
9/11/2002,1.02459
9/12/2002,1.019159
9/13/2002,1.029548
9/16/2002,1.032258
9/17/2002,1.027062
9/18/2002,1.023541
9/19/2002,1.012965
9/20/2002,1.017708
9/23/2002,1.022861
9/24/2002,1.018174
9/25/2002,1.023855
9/26/2002,1.023227
9/27/2002,1.02046
9/30/2002,1.013633
10/1/2002,1.018019
10/2/2002,1.01389
10/3/2002,1.012658
10/4/2002,1.021032
10/7/2002,1.016518
10/8/2002,1.021189
10/9/2002,1.010202
10/10/2002,1.01389
10/11/2002,1.012555
10/14/2002,1.01389
10/15/2002,1.012812
10/16/2002,1.018589
10/17/2002,1.030025
10/18/2002,1.028965
10/21/2002,1.027432
10/22/2002,1.023069
10/23/2002,1.025325
10/24/2002,1.023227
10/25/2002,1.024747
10/28/2002,1.016053
10/29/2002,1.017294
10/30/2002,1.01564
10/31/2002,1.009387
11/1/2002,1.003361
11/4/2002,1.001602
11/5/2002,1.000951
11/6/2002,0.995223
11/7/2002,0.990982
11/8/2002,0.986436
11/11/2002,0.989952
11/12/2002,0.987654
11/13/2002,0.991424
11/14/2002,0.996016
11/15/2002,0.990295
11/18/2002,0.990589
11/19/2002,0.996711
11/20/2002,0.998951
11/21/2002,0.997506
11/22/2002,1.003058
11/25/2002,1.00842
11/26/2002,1.006238
11/27/2002,1.00954
11/28/2002,1.006289
11/29/2002,1.006238
12/2/2002,1.003109
12/3/2002,1.003511
12/4/2002,0.998502
12/5/2002,0.99965
12/6/2002,0.990982
12/9/2002,0.989022
12/10/2002,0.992408
12/11/2002,0.991522
12/12/2002,0.981932
12/13/2002,0.976419
12/16/2002,0.978139
12/17/2002,0.97371
12/18/2002,0.972195
12/19/2002,0.973899
12/20/2002,0.973378
12/23/2002,0.974184
12/24/2002,0.970544
12/25/2002,0.968476
12/26/2002,0.964506
12/27/2002,0.957396
12/30/2002,0.954563
12/31/2002,0.953425
1/1/2003,0.953425
1/2/2003,0.964925
1/3/2003,0.959003
1/6/2003,0.95735
1/7/2003,0.960615
1/8/2003,0.952517
1/9/2003,0.953516
1/10/2003,0.945805
1/13/2003,0.948632
1/14/2003,0.947239
1/15/2003,0.947329
1/16/2003,0.942463
1/17/2003,0.936988
1/20/2003,0.93857
1/21/2003,0.932575
1/22/2003,0.932314
1/23/2003,0.930406
1/24/2003,0.923318
1/27/2003,0.921744
1/28/2003,0.923617
1/29/2003,0.923787
1/30/2003,0.924257
1/31/2003,0.928376
2/3/2003,0.92687
2/4/2003,0.918105
2/5/2003,0.927128
2/6/2003,0.92302
2/7/2003,0.924257
2/10/2003,0.933053
2/11/2003,0.931359
2/12/2003,0.93375
2/13/2003,0.922339
2/14/2003,0.926484
2/17/2003,0.931923
2/18/2003,0.935804
2/19/2003,0.930189
2/20/2003,0.924172
2/21/2003,0.928764
