Start,10/8/99
End,10/8/19
Frequency,D
Name,US $ TO UK GBP (GTIS/TR) - EXCHANGE RATE
Code,S02439
CURRENCY,£
10/8/99,1.6517
10/11/99,1.6517
10/12/99,1.6573
10/13/99,1.6564
10/14/99,1.6634
10/15/99,1.67
10/18/99,1.6681
10/19/99,1.6721
10/20/99,1.6631
10/21/99,1.6754
10/22/99,1.6567
10/25/99,1.664
10/26/99,1.6526
10/27/99,1.6463
10/28/99,1.6376
10/29/99,1.6453
11/1/99,1.643
11/2/99,1.6453
11/3/99,1.6431
11/4/99,1.6225
11/5/99,1.6193
11/8/99,1.6197
11/9/99,1.6238
11/10/99,1.6292
11/11/99,1.623
11/12/99,1.6159
11/15/99,1.6215
11/16/99,1.618
11/17/99,1.6248
11/18/99,1.6163
11/19/99,1.6194
11/22/99,1.6203
11/23/99,1.6254
11/24/99,1.6084
11/25/99,1.6084
11/26/99,1.6073
11/29/99,1.6059
11/30/99,1.5984
12/1/99,1.6011
12/2/99,1.6007
12/3/99,1.6016
12/6/99,1.6203
12/7/99,1.625
12/8/99,1.628
12/9/99,1.6239
12/10/99,1.6215
12/13/99,1.6243
12/14/99,1.6115
12/15/99,1.6052
12/16/99,1.6106
12/17/99,1.6051
12/20/99,1.6061
12/21/99,1.6126
12/22/99,1.6081
12/23/99,1.6165
12/24/99,1.6165
12/27/99,1.6172
12/28/99,1.6148
12/29/99,1.6175
12/30/99,1.6157
12/31/99,1.6153
1/3/00,1.6371
1/4/00,1.637
1/5/00,1.6425
1/6/00,1.6468
1/7/00,1.6387
1/10/00,1.6373
1/11/00,1.6478
1/12/00,1.6478
1/13/00,1.647
1/14/00,1.6348
1/17/00,1.632
1/18/00,1.6377
1/19/00,1.6442
1/20/00,1.6549
1/21/00,1.6493
1/24/00,1.651
1/25/00,1.645
1/26/00,1.6388
1/27/00,1.639
1/28/00,1.6191
1/31/00,1.6155
2/1/00,1.6145
2/2/00,1.6083
2/3/00,1.5973
2/4/00,1.5915
2/7/00,1.5972
2/8/00,1.6125
2/9/00,1.617
2/10/00,1.6092
2/11/00,1.5931
2/14/00,1.5873
2/15/00,1.5962
2/16/00,1.608
2/17/00,1.6085
2/18/00,1.6015
2/21/00,1.6015
2/22/00,1.6123
2/23/00,1.6039
2/24/00,1.6004
2/25/00,1.5949
2/28/00,1.5952
2/29/00,1.5786
3/1/00,1.5865
3/2/00,1.5763
3/3/00,1.5784
3/6/00,1.5741
3/7/00,1.5797
3/8/00,1.5813
3/9/00,1.5814
3/10/00,1.5767
3/13/00,1.5797
3/14/00,1.577
3/15/00,1.5733
3/16/00,1.5762
3/17/00,1.5735
3/20/00,1.569
3/21/00,1.573
3/22/00,1.5782
3/23/00,1.5871
3/24/00,1.5935
3/27/00,1.5871
3/28/00,1.5888
3/29/00,1.5929
3/30/00,1.59591
3/31/00,1.5913
4/3/00,1.5985
4/4/00,1.5976
4/5/00,1.5837
4/6/00,1.5805
4/7/00,1.5797
4/10/00,1.5845
4/11/00,1.5858
4/12/00,1.5879
4/13/00,1.5881
4/14/00,1.587
4/17/00,1.581
4/18/00,1.579
4/19/00,1.5821
4/20/00,1.57978
4/21/00,1.578
4/24/00,1.5779
4/25/00,1.5814
4/26/00,1.5756
4/27/00,1.5735
4/28/00,1.5534
5/1/00,1.5528
5/2/00,1.5593
5/3/00,1.562
5/4/00,1.5416
5/5/00,1.5277
5/8/00,1.5322
