Start,10/8/1999
End,10/8/2019
Frequency,D
Name,US $ TO 100 JAPANESE YEN (GTIS/TR) - EXCHANGE RATE
Code,S02465
CURRENCY,Y
10/8/1999,0.9312
10/11/1999,0.9312
10/12/1999,0.9416
10/13/1999,0.9387
10/14/1999,0.9315
10/15/1999,0.9478
10/18/1999,0.948
10/19/1999,0.9493999
10/20/1999,0.9378
10/21/1999,0.9437
10/22/1999,0.946
10/25/1999,0.9495
10/26/1999,0.9549
10/27/1999,0.9593
10/28/1999,0.9518
10/29/1999,0.9606
11/1/1999,0.9608
11/2/1999,0.9594
11/3/1999,0.9532
11/4/1999,0.9529999
11/5/1999,0.9427
11/8/1999,0.9507999
11/9/1999,0.9528
11/10/1999,0.9556
11/11/1999,0.9533
11/12/1999,0.95
11/15/1999,0.9536
11/16/1999,0.9439
11/17/1999,0.9475999
11/18/1999,0.9438
11/19/1999,0.9403999
11/22/1999,0.9554999
11/23/1999,0.9583
11/24/1999,0.9556
11/25/1999,0.9556
11/26/1999,0.9831
11/29/1999,0.9766999
11/30/1999,0.9794
12/1/1999,0.9736
12/2/1999,0.9732
12/3/1999,0.9737999
12/6/1999,0.9701999
12/7/1999,0.9762
12/8/1999,0.9712999
12/9/1999,0.9758
12/10/1999,0.9775
12/13/1999,0.9687
12/14/1999,0.9658
12/15/1999,0.9640999
12/16/1999,0.969
12/17/1999,0.9697
12/20/1999,0.9755
12/21/1999,0.9791
12/22/1999,0.9834
12/23/1999,0.9782
12/24/1999,0.9782
12/27/1999,0.9782
12/28/1999,0.977
12/29/1999,0.9784999
12/30/1999,0.9764
12/31/1999,0.9791999
1/3/2000,0.9843
1/4/2000,0.9681
1/5/2000,0.9588
1/6/2000,0.9495
1/7/2000,0.9496
1/10/2000,0.9507
1/11/2000,0.9428999
1/12/2000,0.9445
1/13/2000,0.9426
1/14/2000,0.9454
1/17/2000,0.9536999
1/18/2000,0.9462
1/19/2000,0.9492
1/20/2000,0.9493
1/21/2000,0.9539
1/24/2000,0.9464999
1/25/2000,0.9435
1/26/2000,0.9462
1/27/2000,0.9509
1/28/2000,0.9335
1/31/2000,0.9313
2/1/2000,0.9272
2/2/2000,0.9245
2/3/2000,0.929
2/4/2000,0.9331
2/7/2000,0.9201
2/8/2000,0.9136
2/9/2000,0.9169
2/10/2000,0.9163
2/11/2000,0.9189
2/14/2000,0.9183
2/15/2000,0.9166999
2/16/2000,0.9141
2/17/2000,0.9037
2/18/2000,0.9008
2/21/2000,0.9008
2/22/2000,0.9021
2/23/2000,0.899
2/24/2000,0.8995
2/25/2000,0.9075
2/28/2000,0.9133
2/29/2000,0.9074
3/1/2000,0.933
3/2/2000,0.9269
3/3/2000,0.9284
3/6/2000,0.9305
3/7/2000,0.9419
3/8/2000,0.9328
3/9/2000,0.9376
3/10/2000,0.9414
3/13/2000,0.9464999
3/14/2000,0.9507999
3/15/2000,0.9469
3/16/2000,0.9475999
3/17/2000,0.9364
3/20/2000,0.9394
3/21/2000,0.9362
3/22/2000,0.9341
3/23/2000,0.9313999
3/24/2000,0.9356
3/27/2000,0.9369
3/28/2000,0.9446
3/29/2000,0.9457999
3/30/2000,0.94841
3/31/2000,0.9711
4/3/2000,0.9536999
4/4/2000,0.9534
4/5/2000,0.9534
4/6/2000,0.9547
4/7/2000,0.948
4/10/2000,0.9395
4/11/2000,0.9344
4/12/2000,0.9456
4/13/2000,0.9454
4/14/2000,0.9543999
4/17/2000,0.9572999
4/18/2000,0.9547
4/19/2000,0.9538
4/20/2000,0.9458899
4/21/2000,0.9448
4/24/2000,0.9453
4/25/2000,0.9432999
4/26/2000,0.9410999
4/27/2000,0.9401
4/28/2000,0.9242
5/1/2000,0.9193
5/2/2000,0.9216
5/3/2000,0.9168
5/4/2000,0.9249
5/5/2000,0.9209999
5/8/2000,0.9168
5/9/2000,0.9152
5/10/2000,0.9129
5/11/2000,0.9212
5/12/2000,0.9216
5/15/2000,0.9134
5/16/2000,0.9119999
5/17/2000,0.9137
5/18/2000,0.9206
5/19/2000,0.9351
5/22/2000,0.9348
5/23/2000,0.9387
5/24/2000,0.9268
5/25/2000,0.9313
5/26/2000,0.9335999
5/29/2000,0.9335999
5/30/2000,0.939
5/31/2000,0.9276
6/1/2000,0.9218
6/2/2000,0.9252
6/5/2000,0.9295
6/6/2000,0.9455
6/7/2000,0.9471
6/8/2000,0.9431
6/9/2000,0.9357
6/12/2000,0.9359
6/13/2000,0.9347
6/14/2000,0.9374
6/15/2000,0.938
6/16/2000,0.9413
6/19/2000,0.9455
6/20/2000,0.9488
6/21/2000,0.9485
6/22/2000,0.9579
6/23/2000,0.9554
6/26/2000,0.9466
6/27/2000,0.9478
6/28/2000,0.9475999
6/29/2000,0.9511999
6/30/2000,0.9432
7/3/2000,0.9469
7/4/2000,0.9413
7/5/2000,0.9353999
7/6/2000,0.9317
7/7/2000,0.9267
7/10/2000,0.9337
7/11/2000,0.9353
7/12/2000,0.9231
7/13/2000,0.9249
7/14/2000,0.9261
7/17/2000,0.9214
7/18/2000,0.9231
7/19/2000,0.9245
7/20/2000,0.9269
7/21/2000,0.9184999
7/24/2000,0.9181
7/25/2000,0.9151
7/26/2000,0.915
7/27/2000,0.9162
7/28/2000,0.9122
7/31/2000,0.9143
8/1/2000,0.9155
8/2/2000,0.9175
8/3/2000,0.9220999
8/4/2000,0.9208
8/7/2000,0.9176
8/8/2000,0.9205
8/9/2000,0.926
8/10/2000,0.9201
8/11/2000,0.9206
8/14/2000,0.9130999
8/15/2000,0.9177
8/16/2000,0.9212
8/17/2000,0.922
8/18/2000,0.9227
8/21/2000,0.9215
8/22/2000,0.923
8/23/2000,0.9342999
8/24/2000,0.9358
8/25/2000,0.9349999
8/28/2000,0.9395
8/29/2000,0.9414999
8/30/2000,0.9395
8/31/2000,0.9375
9/1/2000,0.9439999
9/4/2000,0.94455
9/5/2000,0.9449
9/6/2000,0.9428999
9/7/2000,0.952
9/8/2000,0.9421999
9/11/2000,0.9436
9/12/2000,0.9358
9/13/2000,0.9342
9/14/2000,0.9327
9/15/2000,0.9324999
9/18/2000,0.9357
9/19/2000,0.9342999
9/20/2000,0.9365
9/21/2000,0.9375
9/22/2000,0.9256999
9/25/2000,0.9297
9/26/2000,0.9294
9/27/2000,0.9308
9/28/2000,0.9297
9/29/2000,0.9252
10/2/2000,0.9196
10/3/2000,0.9204
10/4/2000,0.915
10/5/2000,0.9151
10/6/2000,0.9191
10/9/2000,0.9187
10/10/2000,0.9272
10/11/2000,0.9286
10/12/2000,0.9299
10/13/2000,0.9272
10/16/2000,0.9234
10/17/2000,0.9243
10/18/2000,0.9279
10/19/2000,0.9220999
10/20/2000,0.9186
10/23/2000,0.9233
10/24/2000,0.9267
10/25/2000,0.9177
10/26/2000,0.9229
10/27/2000,0.9207
10/30/2000,0.9177
10/31/2000,0.9166999
11/1/2000,0.9244
11/2/2000,0.9249
11/3/2000,0.9347
11/6/2000,0.9302
11/7/2000,0.9347
11/8/2000,0.932
11/9/2000,0.9313
11/10/2000,0.9262
11/13/2000,0.9288
11/14/2000,0.9244
11/15/2000,0.9183
11/16/2000,0.9172
11/17/2000,0.9184999
11/20/2000,0.9103
11/21/2000,0.9076999
11/22/2000,0.9069
11/23/2000,0.9069
11/24/2000,0.8988
11/27/2000,0.9036
11/28/2000,0.9078
11/29/2000,0.8994
11/30/2000,0.9058
12/1/2000,0.8990999
12/4/2000,0.8998899
12/5/2000,0.9003699
12/6/2000,0.90724
12/7/2000,0.90477
12/8/2000,0.8983099
12/11/2000,0.9026099
12/12/2000,0.89734
12/13/2000,0.89031
12/14/2000,0.8906699
12/15/2000,0.8906699
12/18/2000,0.8911099
12/19/2000,0.8886499
12/20/2000,0.88743
12/21/2000,0.89015
12/22/2000,0.88609
12/25/2000,0.88609
12/26/2000,0.88609
12/27/2000,0.88609
12/28/2000,0.88609
12/29/2000,0.8743899
1/1/2001,0.8743899
1/2/2001,0.87416
1/3/2001,0.87997
1/4/2001,0.86427
1/5/2001,0.8581499
1/8/2001,0.86199
1/9/2001,0.85649
1/10/2001,0.8583699
1/11/2001,0.8501199
1/12/2001,0.84367
1/15/2001,0.84118
1/16/2001,0.8501199
1/17/2001,0.84065
1/18/2001,0.84681
1/19/2001,0.85419
1/22/2001,0.85896
1/23/2001,0.85704
1/24/2001,0.84825
1/25/2001,0.85594
1/26/2001,0.85342
1/29/2001,0.8572699
1/30/2001,0.86319
1/31/2001,0.858
2/1/2001,0.86685
2/2/2001,0.8643
2/5/2001,0.87146
2/6/2001,0.87116
2/7/2001,0.86022
2/8/2001,0.85638
2/9/2001,0.85085
2/12/2001,0.8513499
2/13/2001,0.8558
2/14/2001,0.86044
2/15/2001,0.86558
2/16/2001,0.86393
2/19/2001,0.86393
2/20/2001,0.86401
2/21/2001,0.85866
2/22/2001,0.85514
2/23/2001,0.86356
2/26/2001,0.8585899
2/27/2001,0.86081
2/28/2001,0.85251
3/1/2001,0.85201
3/2/2001,0.8405499
3/5/2001,0.83886
3/6/2001,0.84221
3/7/2001,0.83472
3/8/2001,0.83486
3/9/2001,0.83668
3/12/2001,0.82974
3/13/2001,0.83507
3/14/2001,0.82658
3/15/2001,0.8189999
3/16/2001,0.8129399
3/19/2001,0.81393
3/20/2001,0.81563
3/21/2001,0.81156
3/22/2001,0.80847
3/23/2001,0.81453
3/26/2001,0.81546
3/27/2001,0.81826
3/28/2001,0.81763
3/29/2001,0.80834
3/30/2001,0.7919199
4/2/2001,0.78945
4/3/2001,0.79681
4/4/2001,0.7981499
4/5/2001,0.8064499
4/6/2001,0.80795
4/9/2001,0.79891
4/10/2001,0.80357
4/11/2001,0.80151
4/12/2001,0.80834
4/13/2001,0.80834
4/16/2001,0.80834
4/17/2001,0.81083
4/18/2001,0.8189999
4/19/2001,0.82583
4/20/2001,0.81713
4/23/2001,0.8250099
4/24/2001,0.8178
4/25/2001,0.8188699
4/26/2001,0.81175
4/27/2001,0.80613
4/30/2001,0.80919
5/1/2001,0.81903
5/2/2001,0.82325
5/3/2001,0.8242
5/4/2001,0.8242
5/7/2001,0.82447
5/8/2001,0.8243999
5/9/2001,0.81759
5/10/2001,0.81609
5/11/2001,0.81776
5/14/2001,0.81067
5/15/2001,0.8109
5/16/2001,0.8103099
5/17/2001,0.81559
5/18/2001,0.80945
5/21/2001,0.8152
5/22/2001,0.81423
5/23/2001,0.83292
5/24/2001,0.83434
5/25/2001,0.82884
5/28/2001,0.826
5/29/2001,0.83181
5/30/2001,0.83077
5/31/2001,0.83815
6/1/2001,0.83843
6/4/2001,0.8385
6/5/2001,0.83167
6/6/2001,0.83219
6/7/2001,0.83222
6/8/2001,0.8273399
6/11/2001,0.82021
6/12/2001,0.8221
6/13/2001,0.8191299
6/14/2001,0.82427
6/15/2001,0.8134699
6/18/2001,0.8113599
6/19/2001,0.81367
6/20/2001,0.8067099
6/21/2001,0.8026299
6/22/2001,0.80321
6/25/2001,0.80762
6/26/2001,0.80775
6/27/2001,0.80489
6/28/2001,0.8010899
6/29/2001,0.80244
7/2/2001,0.80567
7/3/2001,0.80405
7/4/2001,0.80405
7/5/2001,0.79539
7/6/2001,0.79441
7/9/2001,0.79783
7/10/2001,0.79796
7/11/2001,0.8041199
7/12/2001,0.80736
7/13/2001,0.80032
7/16/2001,0.7972299
7/17/2001,0.80077
7/18/2001,0.80691
7/19/2001,0.81024
7/20/2001,0.81288
7/23/2001,0.80379
7/24/2001,0.80541
7/25/2001,0.809
7/26/2001,0.80821
7/27/2001,0.8096499
7/30/2001,0.79923
7/31/2001,0.79987
8/1/2001,0.80295
8/2/2001,0.80841
8/3/2001,0.8087299
8/6/2001,0.80717
8/7/2001,0.80906
8/8/2001,0.8087299
8/9/2001,0.82122
8/10/2001,0.81967
8/13/2001,0.818
8/14/2001,0.82129
8/15/2001,0.83731
8/16/2001,0.8334
8/17/2001,0.8317
8/20/2001,0.83008
8/21/2001,0.8357
8/22/2001,0.83591
8/23/2001,0.8340999
8/24/2001,0.8340999
8/27/2001,0.8342
8/28/2001,0.83347
8/29/2001,0.83229
8/30/2001,0.83738
8/31/2001,0.84196
9/3/2001,0.84196
9/4/2001,0.8378
9/5/2001,0.8285
9/6/2001,0.82751
9/7/2001,0.83292
9/10/2001,0.82665
9/11/2001,0.83459
9/12/2001,0.83665
9/13/2001,0.8414
9/14/2001,0.8414
9/17/2001,0.8491099
9/18/2001,0.85291
9/19/2001,0.85005
9/20/2001,0.85948
9/21/2001,0.8572699
9/24/2001,0.85099
9/25/2001,0.85077
9/26/2001,0.8491099
9/27/2001,0.83553
9/28/2001,0.83661
10/1/2001,0.83661
10/2/2001,0.8287399
10/3/2001,0.82891
10/4/2001,0.82981
10/5/2001,0.82974
10/8/2001,0.83472
10/9/2001,0.83202
10/10/2001,0.8309799
10/11/2001,0.82372
10/12/2001,0.82573
10/15/2001,0.82754
10/16/2001,0.8243999
10/17/2001,0.8248799
10/18/2001,0.82583
10/19/2001,0.8248799
10/22/2001,0.81686
10/23/2001,0.81516
10/24/2001,0.8146
10/25/2001,0.81337
10/26/2001,0.815
10/29/2001,0.81994
10/30/2001,0.8192
10/31/2001,0.81646
11/1/2001,0.81981
11/2/2001,0.8219
11/5/2001,0.82196
11/6/2001,0.82546
11/7/2001,0.82686
11/8/2001,0.8270299
11/9/2001,0.83084
11/12/2001,0.83067
11/13/2001,0.8232099
11/14/2001,0.8225
11/15/2001,0.81706
11/16/2001,0.81466
11/19/2001,0.8111899
11/20/2001,0.8155299
11/21/2001,0.81156
11/22/2001,0.81156
11/23/2001,0.80496
11/26/2001,0.8058
11/27/2001,0.80691
11/28/2001,0.81222
11/29/2001,0.80707
11/30/2001,0.8096499
12/3/2001,0.8058299
12/4/2001,0.8058
12/5/2001,0.80532
12/6/2001,0.8027
12/7/2001,0.79662
12/10/2001,0.79387
12/11/2001,0.79368
12/12/2001,0.79375
12/13/2001,0.79349
12/14/2001,0.78561
12/17/2001,0.78391
12/18/2001,0.7814
12/19/2001,0.78
12/20/2001,0.77589
12/21/2001,0.77196
12/24/2001,0.76941
12/25/2001,0.76941
12/26/2001,0.76511
12/27/2001,0.75939
12/28/2001,0.76263
12/31/2001,0.7633899
1/1/2002,0.7633899
1/2/2002,0.7569399
1/3/2002,0.7585
1/4/2002,0.76368
1/7/2002,0.76275
1/8/2002,0.7525
1/9/2002,0.75086
1/10/2002,0.756
1/11/2002,0.75703
1/14/2002,0.75973
1/15/2002,0.7618999
1/16/2002,0.7585
1/17/2002,0.7546
1/18/2002,0.7536899
1/21/2002,0.75256
1/22/2002,0.74747
1/23/2002,0.74305
1/24/2002,0.74178
1/25/2002,0.7429399
1/28/2002,0.74892
1/29/2002,0.74918
1/30/2002,0.75313
1/31/2002,0.7422799
2/1/2002,0.7518499
2/4/2002,0.75612
2/5/2002,0.74683
2/6/2002,0.7474999
2/7/2002,0.74778
2/8/2002,0.74239
2/11/2002,0.7496499
2/12/2002,0.7537799
2/13/2002,0.75115
2/14/2002,0.75689
2/15/2002,0.75406
2/18/2002,0.75406
2/19/2002,0.74808
2/20/2002,0.74766
2/21/2002,0.7449099
2/22/2002,0.74552
2/25/2002,0.74677
2/26/2002,0.7427199
2/27/2002,0.74449
2/28/2002,0.75002
3/1/2002,0.74979
3/4/2002,0.75712
3/5/2002,0.7562
3/6/2002,0.7652299
3/7/2002,0.78284
3/8/2002,0.77751
3/11/2002,0.7797599
3/12/2002,0.77402
3/13/2002,0.77223
3/14/2002,0.77381
3/15/2002,0.77477
3/18/2002,0.76161
3/19/2002,0.75683
3/20/2002,0.76167
3/21/2002,0.75749
3/22/2002,0.7521099
3/25/2002,0.74963
3/26/2002,0.75092
3/27/2002,0.75364
3/28/2002,0.7533
3/29/2002,0.75344
4/1/2002,0.74946
4/2/2002,0.7497399
4/3/2002,0.75324
4/4/2002,0.75563
4/5/2002,0.75965
4/8/2002,0.75936
4/9/2002,0.7659
4/10/2002,0.76494
4/11/2002,0.76028
4/12/2002,0.75781
4/15/2002,0.7567199
4/16/2002,0.7622
4/17/2002,0.76537
4/18/2002,0.76896
4/19/2002,0.7670799
4/22/2002,0.7687899
4/23/2002,0.76808
4/24/2002,0.7715999
4/25/2002,0.77697
4/26/2002,0.78198
4/29/2002,0.78113
4/30/2002,0.77797
5/1/2002,0.78487
5/2/2002,0.78186
5/3/2002,0.78771
5/6/2002,0.78623
5/7/2002,0.78079
5/8/2002,0.7761
5/9/2002,0.78006
5/10/2002,0.7835799
5/13/2002,0.78253
5/14/2002,0.7776
5/15/2002,0.78351
5/16/2002,0.78094
5/17/2002,0.79397
5/20/2002,0.79783
5/21/2002,0.8052199
5/22/2002,0.80444
5/23/2002,0.79949
5/24/2002,0.80154
5/27/2002,0.80086
5/28/2002,0.80247
5/29/2002,0.80444
5/30/2002,0.8109
5/31/2002,0.80567
6/3/2002,0.8085999
6/4/2002,0.80554
6/5/2002,0.80665
6/6/2002,0.80593
6/7/2002,0.80418
6/10/2002,0.80173
6/11/2002,0.79796
6/12/2002,0.79554
6/13/2002,0.80029
6/14/2002,0.8053499
6/17/2002,0.8047
6/18/2002,0.80463
6/19/2002,0.8069699
6/20/2002,0.80959
6/21/2002,0.82525
6/24/2002,0.8221
6/25/2002,0.82372
6/26/2002,0.83254
6/27/2002,0.83542
6/28/2002,0.83623
7/1/2002,0.83486
7/2/2002,0.83403
7/3/2002,0.83434
7/4/2002,0.83434
7/5/2002,0.83074
7/8/2002,0.84385
7/9/2002,0.84653
7/10/2002,0.84951
7/11/2002,0.85346
7/12/2002,0.8554
7/15/2002,0.85981
7/16/2002,0.86348
7/17/2002,0.8592499
7/18/2002,0.8590299
7/19/2002,0.86244
7/22/2002,0.8604
7/23/2002,0.8507
7/24/2002,0.85716
7/25/2002,0.8577099
7/26/2002,0.84154
7/29/2002,0.83539
7/30/2002,0.83153
7/31/2002,0.83483
8/1/2002,0.83886
8/2/2002,0.84207
8/5/2002,0.83563
8/6/2002,0.82751
8/7/2002,0.83188
8/8/2002,0.82634
8/9/2002,0.83267
8/12/2002,0.84019
8/13/2002,0.84567
8/14/2002,0.8513899
8/15/2002,0.8519
8/16/2002,0.8502
8/19/2002,0.84306
8/20/2002,0.84133
8/21/2002,0.84374
8/22/2002,0.83441
8/23/2002,0.83591
8/26/2002,0.8351099
8/27/2002,0.84567
8/28/2002,0.84087
8/29/2002,0.84531
8/30/2002,0.84424
9/2/2002,0.84688
9/3/2002,0.85404
9/4/2002,0.8476
9/5/2002,0.84474
9/6/2002,0.84381
9/9/2002,0.84087
9/10/2002,0.83438
9/11/2002,0.8317699
9/12/2002,0.83264
9/13/2002,0.82196
9/16/2002,0.81753
9/17/2002,0.81907
9/18/2002,0.8235199
9/19/2002,0.82393
9/20/2002,0.81077
9/23/2002,0.80857
9/24/2002,0.81603
9/25/2002,0.814
9/26/2002,0.8194
9/27/2002,0.81603
9/30/2002,0.82173
10/1/2002,0.8152
10/2/2002,0.81397
10/3/2002,0.81586
10/4/2002,0.81129
10/7/2002,0.80454
10/8/2002,0.80519
10/9/2002,0.81077
10/10/2002,0.8087299
10/11/2002,0.8064499
10/14/2002,0.81397
10/15/2002,0.80444
10/16/2002,0.8018
10/17/2002,0.79923
10/18/2002,0.79646
10/21/2002,0.80045
10/22/2002,0.79888
10/23/2002,0.80218
10/24/2002,0.80331
10/25/2002,0.80444
10/28/2002,0.81113
10/29/2002,0.81245
10/30/2002,0.8133399
10/31/2002,0.8161899
11/1/2002,0.8178999
11/4/2002,0.81867
11/5/2002,0.81984
11/6/2002,0.8221999
11/7/2002,0.82512
11/8/2002,0.83465
11/11/2002,0.83521
11/12/2002,0.83602
11/13/2002,0.83281
11/14/2002,0.83036
11/15/2002,0.82991
11/18/2002,0.82638
11/19/2002,0.81813
11/20/2002,0.81503
11/21/2002,0.81533
11/22/2002,0.81337
11/25/2002,0.81917
11/26/2002,0.82254
11/27/2002,0.8172899
11/28/2002,0.81803
11/29/2002,0.81613
12/2/2002,0.80279
12/3/2002,0.80431
12/4/2002,0.8026299
12/5/2002,0.8009599
12/6/2002,0.80942
12/9/2002,0.8103099
12/10/2002,0.80733
12/11/2002,0.8085999
12/12/2002,0.8154899
12/13/2002,0.82957
12/16/2002,0.82416
12/17/2002,0.82281
12/18/2002,0.82723
12/19/2002,0.82939
12/20/2002,0.83067
12/23/2002,0.83081
12/24/2002,0.8312899
12/25/2002,0.8316399
12/26/2002,0.83351
12/27/2002,0.83413
12/30/2002,0.8437
12/31/2002,0.84193
1/1/2003,0.84193
1/2/2003,0.83281
1/3/2003,0.8354599
1/6/2003,0.83833
1/7/2003,0.8304999
1/8/2003,0.8392799
1/9/2003,0.83777
1/10/2003,0.8378699
1/13/2003,0.84065
1/14/2003,0.84649
1/15/2003,0.84642
1/16/2003,0.84857
1/17/2003,0.84886
1/20/2003,0.8423499
1/21/2003,0.84627
1/22/2003,0.84502
1/23/2003,0.84706
1/24/2003,0.84857
1/27/2003,0.8437
1/28/2003,0.84278
1/29/2003,0.8440199
1/30/2003,0.84044
1/31/2003,0.83378
2/3/2003,0.83146
2/4/2003,0.83542
2/5/2003,0.8327799
