Start,10/8/1999
End,10/8/2019
Frequency,D
Name,US FED FUNDS EFF RATE (D) - MIDDLE RATE
Code,S02534
CURRENCY,U$
10/8/1999,5.1
10/11/1999,5.1
10/12/1999,5.3
10/13/1999,5.2
10/14/1999,5.22
10/15/1999,5.28
10/18/1999,5.2
10/19/1999,5.07
10/20/1999,4.92
10/21/1999,5.2
10/22/1999,5.11
10/25/1999,5.23
10/26/1999,5.22
10/27/1999,5.29
10/28/1999,5.31
10/29/1999,5.27
11/1/1999,5.38
11/2/1999,5.18
11/3/1999,5.21
11/4/1999,5.27
11/5/1999,5.14
11/8/1999,5.23
11/9/1999,5.22
11/10/1999,5.27
11/11/1999,5.27
11/12/1999,5.45
11/15/1999,5.64
11/16/1999,5.4
11/17/1999,5.41
11/18/1999,5.49
11/19/1999,5.43
11/22/1999,5.53
11/23/1999,5.59
11/24/1999,5.72
11/25/1999,5.72
11/26/1999,5.59
11/29/1999,5.61
11/30/1999,5.63
12/1/1999,5.71
12/2/1999,5.58
12/3/1999,5.42
12/6/1999,5.48
12/7/1999,5.42
12/8/1999,5.42
12/9/1999,5.51
12/10/1999,5.42
12/13/1999,5.46
12/14/1999,5.31
12/15/1999,5.56
12/16/1999,5.54
12/17/1999,5.4
12/20/1999,5.54
12/21/1999,5.52
12/22/1999,5.45
12/23/1999,5.4
12/24/1999,4.96
12/27/1999,5.33
12/28/1999,4.86
12/29/1999,4.61
12/30/1999,4.88
12/31/1999,3.99
1/3/2000,5.43
1/4/2000,5.38
1/5/2000,5.41
1/6/2000,5.54
1/7/2000,5.61
1/10/2000,5.74
1/11/2000,5.63
1/12/2000,5.59
1/13/2000,5.58
1/14/2000,5.56
1/17/2000,5.56
1/18/2000,5.83
1/19/2000,5.47
1/20/2000,5.44
1/21/2000,5.36
1/24/2000,5.53
1/25/2000,5.46
1/26/2000,5.52
1/27/2000,5.61
1/28/2000,5.58
1/31/2000,5.87
2/1/2000,5.79
2/2/2000,5.64
2/3/2000,5.71
2/4/2000,5.7
2/7/2000,5.76
2/8/2000,5.67
2/9/2000,5.76
2/10/2000,5.79
2/11/2000,5.71
2/14/2000,5.79
2/15/2000,5.85
2/16/2000,5.67
2/17/2000,5.66
2/18/2000,5.7
2/21/2000,5.7
2/22/2000,5.81
2/23/2000,5.77
2/24/2000,5.76
2/25/2000,5.73
2/28/2000,5.81
2/29/2000,5.85
3/1/2000,5.78
3/2/2000,5.76
3/3/2000,5.72
3/6/2000,5.73
3/7/2000,5.68
3/8/2000,5.77
3/9/2000,5.79
3/10/2000,5.75
3/13/2000,5.81
3/14/2000,5.8
3/15/2000,5.9
3/16/2000,5.77
3/17/2000,5.76
3/20/2000,5.82
3/21/2000,5.81
3/22/2000,6.02
3/23/2000,6.04
3/24/2000,5.98
3/27/2000,6.07
3/28/2000,6.02
3/29/2000,5.98
3/30/2000,6.11
3/31/2000,6.17
4/3/2000,6.15
4/4/2000,5.98
4/5/2000,6.08
4/6/2000,6.05
4/7/2000,5.95
4/10/2000,6.05
4/11/2000,5.97
4/12/2000,5.93
4/13/2000,5.97
4/14/2000,6.08
4/17/2000,6.18
4/18/2000,5.93
4/19/2000,5.93
4/20/2000,6.05
4/21/2000,5.94
4/24/2000,5.9
4/25/2000,5.99
4/26/2000,6
4/27/2000,6
4/28/2000,6.06
5/1/2000,6.17
5/2/2000,6.05
5/3/2000,6.05
5/4/2000,6.05
5/5/2000,5.94
5/8/2000,6.01
5/9/2000,5.92
5/10/2000,5.95
5/11/2000,6.05
5/12/2000,6.11
5/15/2000,6.34
5/16/2000,6.13
5/17/2000,6.25
5/18/2000,6.49
5/19/2000,6.51
5/22/2000,6.52
5/23/2000,6.47
5/24/2000,6.48
5/25/2000,6.56
5/26/2000,6.4
5/29/2000,6.4
5/30/2000,6.71
5/31/2000,6.83
6/1/2000,6.65
6/2/2000,6.44
6/5/2000,6.51
6/6/2000,6.47
6/7/2000,6.5
6/8/2000,6.54
6/9/2000,6.47
6/12/2000,6.54
6/13/2000,6.46
6/14/2000,6.54
6/15/2000,6.7
6/16/2000,6.46
6/19/2000,6.51
6/20/2000,6.49
6/21/2000,6.47
6/22/2000,6.52
6/23/2000,6.51
6/26/2000,6.63
6/27/2000,6.56
6/28/2000,6.5
6/29/2000,6.76
6/30/2000,6.86
7/3/2000,7.03
7/4/2000,7.03
7/5/2000,6.52
7/6/2000,6.51
7/7/2000,6.42
7/10/2000,6.51
7/11/2000,6.39
7/12/2000,6.38
7/13/2000,6.5
7/14/2000,6.51
7/17/2000,6.58
7/18/2000,6.47
7/19/2000,6.45
7/20/2000,6.52
7/21/2000,6.51
7/24/2000,6.52
7/25/2000,6.46
7/26/2000,6.49
7/27/2000,6.52
7/28/2000,6.44
7/31/2000,6.64
8/1/2000,6.51
8/2/2000,6.42
8/3/2000,6.45
8/4/2000,6.44
8/7/2000,6.46
8/8/2000,6.44
8/9/2000,6.48
8/10/2000,6.52
8/11/2000,6.5
8/14/2000,6.58
8/15/2000,6.63
8/16/2000,6.48
8/17/2000,6.47
8/18/2000,6.44
8/21/2000,6.48
8/22/2000,6.42
8/23/2000,6.5
8/24/2000,6.56
8/25/2000,6.54
8/28/2000,6.57
8/29/2000,6.51
8/30/2000,6.51
8/31/2000,6.65
9/1/2000,6.52
9/4/2000,6.52
9/5/2000,6.61
9/6/2000,6.56
9/7/2000,6.53
9/8/2000,6.5
9/11/2000,6.5
9/12/2000,6.47
9/13/2000,6.47
9/14/2000,6.5
9/15/2000,6.55
9/18/2000,6.44
9/19/2000,6.4
9/20/2000,6.5
9/21/2000,6.53
9/22/2000,6.48
9/25/2000,6.54
9/26/2000,6.5
9/27/2000,6.5
9/28/2000,6.59
9/29/2000,6.6
10/2/2000,6.68
10/3/2000,6.46
10/4/2000,6.51
10/5/2000,6.54
10/6/2000,6.43
10/9/2000,6.43
10/10/2000,6.57
10/11/2000,6.46
10/12/2000,6.47
10/13/2000,6.46
10/16/2000,6.59
10/17/2000,6.45
10/18/2000,6.53
10/19/2000,6.54
10/20/2000,6.5
10/23/2000,6.53
10/24/2000,6.49
10/25/2000,6.53
10/26/2000,6.53
10/27/2000,6.51
10/30/2000,6.59
10/31/2000,6.59
11/1/2000,6.61
11/2/2000,6.54
11/3/2000,6.48
11/6/2000,6.49
11/7/2000,6.48
11/8/2000,6.51
11/9/2000,6.52
11/10/2000,6.48
11/13/2000,6.55
11/14/2000,6.52
11/15/2000,6.61
11/16/2000,6.55
11/17/2000,6.48
11/20/2000,6.52
11/21/2000,6.5
11/22/2000,6.58
11/23/2000,6.58
11/24/2000,6.49
11/27/2000,6.5
11/28/2000,6.46
11/29/2000,6.5
11/30/2000,6.62
12/1/2000,6.6
12/4/2000,6.57
12/5/2000,6.51
12/6/2000,6.48
12/7/2000,6.49
12/8/2000,6.47
12/11/2000,6.49
12/12/2000,6.43
12/13/2000,6.47
12/14/2000,6.53
12/15/2000,6.58
12/18/2000,6.5
12/19/2000,6.47
12/20/2000,6.47
12/21/2000,6.48
12/22/2000,6.44
12/25/2000,6.44
12/26/2000,6.58
12/27/2000,6.53
12/28/2000,6.53
12/29/2000,5.41
1/1/2001,5.41
1/2/2001,6.67
1/3/2001,6.35
1/4/2001,5.92
1/5/2001,5.83
1/8/2001,5.98
1/9/2001,5.95
1/10/2001,6.06
1/11/2001,6.05
1/12/2001,5.98
1/15/2001,5.98
1/16/2001,6.2
1/17/2001,5.94
1/18/2001,5.93
1/19/2001,5.92
1/22/2001,6
1/23/2001,5.97
1/24/2001,6.05
1/25/2001,6.1
1/26/2001,5.96
1/29/2001,5.98
1/30/2001,5.9
1/31/2001,5.74
2/1/2001,5.57
2/2/2001,5.5
2/5/2001,5.52
2/6/2001,5.48
2/7/2001,5.5
2/8/2001,5.5
2/9/2001,5.44
2/12/2001,5.48
2/13/2001,5.46
2/14/2001,5.5
2/15/2001,5.57
2/16/2001,5.46
2/19/2001,5.46
2/20/2001,5.57
2/21/2001,5.5
2/22/2001,5.52
2/23/2001,5.46
2/26/2001,5.55
2/27/2001,5.49
2/28/2001,5.59
3/1/2001,5.59
3/2/2001,5.52
3/5/2001,5.52
3/6/2001,5.39
3/7/2001,5.34
3/8/2001,5.46
3/9/2001,5.42
3/12/2001,5.5
3/13/2001,5.5
3/14/2001,5.48
3/15/2001,5.52
3/16/2001,5.4
3/19/2001,5.38
3/20/2001,5.14
3/21/2001,5.05
3/22/2001,5.04
3/23/2001,4.94
3/26/2001,5.03
3/27/2001,5.04
3/28/2001,5.05
3/29/2001,5.19
3/30/2001,5.29
4/2/2001,5.3
4/3/2001,5.1
4/4/2001,5.01
4/5/2001,5.04
4/6/2001,4.94
4/9/2001,4.98
4/10/2001,4.96
4/11/2001,4.95
4/12/2001,5.02
4/13/2001,5.01
4/16/2001,5.17
4/17/2001,4.99
4/18/2001,4.67
4/19/2001,4.47
4/20/2001,4.38
4/23/2001,4.4
4/24/2001,4.41
4/25/2001,4.54
4/26/2001,4.57
4/27/2001,4.51
4/30/2001,4.67
5/1/2001,4.61
5/2/2001,4.35
5/3/2001,4.48
5/4/2001,4.41
5/7/2001,4.47
5/8/2001,4.41
5/9/2001,4.43
5/10/2001,4.51
5/11/2001,4.47
5/14/2001,4.43
5/15/2001,4.22
5/16/2001,4.04
5/17/2001,4.04
5/18/2001,3.95
5/21/2001,4.02
5/22/2001,3.99
5/23/2001,3.97
5/24/2001,3.98
5/25/2001,3.94
5/28/2001,3.94
5/29/2001,4.09
5/30/2001,4.05
5/31/2001,4.24
6/1/2001,4.14
6/4/2001,4.03
6/5/2001,3.93
6/6/2001,3.91
6/7/2001,3.92
6/8/2001,4.02
6/11/2001,4.03
6/12/2001,3.98
6/13/2001,4.04
6/14/2001,4.03
6/15/2001,3.94
6/18/2001,3.91
6/19/2001,3.91
6/20/2001,3.98
6/21/2001,4.02
6/22/2001,3.98
6/25/2001,3.97
6/26/2001,3.75
6/27/2001,3.68
6/28/2001,3.86
6/29/2001,3.95
7/2/2001,4.11
7/3/2001,3.69
7/4/2001,3.69
7/5/2001,3.72
7/6/2001,3.6
7/9/2001,3.67
7/10/2001,3.71
7/11/2001,3.78
7/12/2001,3.78
7/13/2001,3.75
7/16/2001,3.82
7/17/2001,3.71
7/18/2001,3.73
7/19/2001,3.77
7/20/2001,3.8
7/23/2001,3.82
7/24/2001,3.82
7/25/2001,3.89
7/26/2001,3.87
7/27/2001,3.75
7/30/2001,3.79
7/31/2001,3.82
8/1/2001,3.79
8/2/2001,3.68
8/3/2001,3.69
8/6/2001,3.73
8/7/2001,3.69
8/8/2001,3.75
8/9/2001,3.77
8/10/2001,3.7
8/13/2001,3.79
8/14/2001,3.76
8/15/2001,3.83
8/16/2001,3.75
8/17/2001,3.66
8/20/2001,3.64
8/21/2001,3.53
8/22/2001,3.51
8/23/2001,3.55
8/24/2001,3.51
8/27/2001,3.54
8/28/2001,3.5
8/29/2001,3.5
8/30/2001,3.58
8/31/2001,3.66
9/3/2001,3.66
9/4/2001,3.67
9/5/2001,3.49
9/6/2001,3.52
9/7/2001,3.44
9/10/2001,3.5
9/11/2001,3.5
9/12/2001,3.56
9/13/2001,3.31
9/14/2001,3.13
9/17/2001,2.13
9/18/2001,1.25
9/19/2001,1.19
9/20/2001,2.22
9/21/2001,3.11
9/24/2001,3.31
9/25/2001,3.11
9/26/2001,2.96
9/27/2001,3.08
9/28/2001,2.75
10/1/2001,3.02
10/2/2001,2.35
10/3/2001,2.27
10/4/2001,2.45
10/5/2001,2.42
10/8/2001,2.42
10/9/2001,2.5
10/10/2001,2.42
10/11/2001,2.42
10/12/2001,2.39
10/15/2001,2.51
10/16/2001,2.47
10/17/2001,2.51
10/18/2001,2.5
10/19/2001,2.47
10/22/2001,2.52
10/23/2001,2.48
10/24/2001,2.53
10/25/2001,2.54
10/26/2001,2.51
10/29/2001,2.55
10/30/2001,2.55
10/31/2001,2.66
11/1/2001,2.61
11/2/2001,2.43
11/5/2001,2.45
11/6/2001,2.13
11/7/2001,2.04
11/8/2001,2.03
11/9/2001,1.98
11/12/2001,1.98
11/13/2001,2.1
11/14/2001,2.16
11/15/2001,2.22
11/16/2001,1.98
11/19/2001,2.01
11/20/2001,1.97
11/21/2001,1.93
11/22/2001,1.93
11/23/2001,1.88
11/26/2001,2.04
11/27/2001,2.01
11/28/2001,2.04
11/29/2001,2.09
11/30/2001,2.06
12/3/2001,2.05
12/4/2001,1.93
12/5/2001,1.89
12/6/2001,1.87
12/7/2001,1.92
12/10/2001,1.9
12/11/2001,1.8
12/12/2001,1.81
12/13/2001,1.86
12/14/2001,1.88
12/17/2001,1.93
12/18/2001,1.71
12/19/2001,1.71
12/20/2001,1.79
12/21/2001,1.78
12/24/2001,1.68
12/25/2001,1.68
12/26/2001,1.89
12/27/2001,1.85
12/28/2001,1.54
12/31/2001,1.52
1/1/2002,1.52
1/2/2002,1.92
1/3/2002,1.72
1/4/2002,1.61
1/7/2002,1.61
1/8/2002,1.61
1/9/2002,1.74
1/10/2002,1.81
1/11/2002,1.71
1/14/2002,1.78
1/15/2002,1.75
1/16/2002,1.69
1/17/2002,1.68
1/18/2002,1.71
1/21/2002,1.71
1/22/2002,1.84
1/23/2002,1.81
1/24/2002,1.8
1/25/2002,1.78
1/28/2002,1.79
1/29/2002,1.78
1/30/2002,1.78
1/31/2002,1.85
2/1/2002,1.77
2/4/2002,1.74
2/5/2002,1.64
2/6/2002,1.66
2/7/2002,1.74
2/8/2002,1.69
2/11/2002,1.76
2/12/2002,1.72
2/13/2002,1.75
2/14/2002,1.81
2/15/2002,1.73
2/18/2002,1.73
2/19/2002,1.77
2/20/2002,1.76
2/21/2002,1.77
2/22/2002,1.71
2/25/2002,1.8
2/26/2002,1.77
2/27/2002,1.76
2/28/2002,1.83
3/1/2002,1.78
3/4/2002,1.68
3/5/2002,1.63
3/6/2002,1.71
3/7/2002,1.77
3/8/2002,1.69
3/11/2002,1.75
3/12/2002,1.68
3/13/2002,1.73
3/14/2002,1.79
3/15/2002,1.8
3/18/2002,1.71
3/19/2002,1.67
3/20/2002,1.78
3/21/2002,1.74
3/22/2002,1.68
3/25/2002,1.75
3/26/2002,1.71
3/27/2002,1.69
3/28/2002,1.77
3/29/2002,1.74
4/1/2002,1.88
4/2/2002,1.74
4/3/2002,1.81
4/4/2002,1.74
4/5/2002,1.7
4/8/2002,1.72
4/9/2002,1.68
4/10/2002,1.73
4/11/2002,1.83
4/12/2002,1.79
4/15/2002,1.84
4/16/2002,1.68
4/17/2002,1.73
4/18/2002,1.71
4/19/2002,1.67
4/22/2002,1.73
4/23/2002,1.71
4/24/2002,1.76
4/25/2002,1.82
4/26/2002,1.79
4/29/2002,1.81
4/30/2002,1.82
5/1/2002,1.88
5/2/2002,1.79
5/3/2002,1.73
5/6/2002,1.75
5/7/2002,1.72
5/8/2002,1.71
5/9/2002,1.74
5/10/2002,1.74
5/13/2002,1.75
5/14/2002,1.69
5/15/2002,1.84
5/16/2002,1.76
5/17/2002,1.7
5/20/2002,1.72
5/21/2002,1.68
5/22/2002,1.73
5/23/2002,1.76
5/24/2002,1.75
5/27/2002,1.75
5/28/2002,1.88
5/29/2002,1.79
5/30/2002,1.8
5/31/2002,1.79
6/3/2002,1.83
6/4/2002,1.73
6/5/2002,1.7
6/6/2002,1.75
6/7/2002,1.73
6/10/2002,1.76
6/11/2002,1.72
6/12/2002,1.75
6/13/2002,1.76
6/14/2002,1.75
6/17/2002,1.82
6/18/2002,1.71
6/19/2002,1.69
6/20/2002,1.75
6/21/2002,1.74
6/24/2002,1.77
6/25/2002,1.75
6/26/2002,1.78
6/27/2002,1.81
6/28/2002,1.73
7/1/2002,1.83
7/2/2002,1.72
7/3/2002,1.71
7/4/2002,1.71
7/5/2002,1.72
7/8/2002,1.75
7/9/2002,1.72
7/10/2002,1.74
7/11/2002,1.76
7/12/2002,1.71
7/15/2002,1.83
7/16/2002,1.72
7/17/2002,1.71
7/18/2002,1.74
7/19/2002,1.72
7/22/2002,1.77
7/23/2002,1.73
7/24/2002,1.67
7/25/2002,1.75
7/26/2002,1.69
7/29/2002,1.75
7/30/2002,1.71
7/31/2002,1.76
8/1/2002,1.79
8/2/2002,1.72
8/5/2002,1.77
8/6/2002,1.74
8/7/2002,1.71
8/8/2002,1.71
8/9/2002,1.68
8/12/2002,1.76
8/13/2002,1.74
8/14/2002,1.78
8/15/2002,1.87
8/16/2002,1.7
8/19/2002,1.72
8/20/2002,1.7
8/21/2002,1.72
8/22/2002,1.73
8/23/2002,1.72
8/26/2002,1.81
8/27/2002,1.79
8/28/2002,1.8
8/29/2002,1.82
8/30/2002,1.81
9/2/2002,1.81
9/3/2002,1.87
9/4/2002,1.74
9/5/2002,1.75
9/6/2002,1.71
9/9/2002,1.76
9/10/2002,1.74
9/11/2002,1.72
9/12/2002,1.74
9/13/2002,1.72
9/16/2002,1.83
9/17/2002,1.72
9/18/2002,1.68
9/19/2002,1.69
9/20/2002,1.7
9/23/2002,1.74
9/24/2002,1.75
9/25/2002,1.79
9/26/2002,1.8
9/27/2002,1.78
9/30/2002,1.85
10/1/2002,1.85
10/2/2002,1.75
10/3/2002,1.76
10/4/2002,1.72
10/7/2002,1.74
10/8/2002,1.72
10/9/2002,1.73
10/10/2002,1.75
10/11/2002,1.73
10/14/2002,1.73
10/15/2002,1.88
10/16/2002,1.73
10/17/2002,1.74
10/18/2002,1.71
10/21/2002,1.73
10/22/2002,1.71
10/23/2002,1.76
10/24/2002,1.8
10/25/2002,1.82
10/28/2002,1.79
10/29/2002,1.75
10/30/2002,1.72
10/31/2002,1.82
11/1/2002,1.74
11/4/2002,1.71
11/5/2002,1.64
11/6/2002,1.48
11/7/2002,1.27
11/8/2002,1.18
11/11/2002,1.18
11/12/2002,1.29
11/13/2002,1.17
11/14/2002,1.29
11/15/2002,1.35
11/18/2002,1.21
11/19/2002,1.2
11/20/2002,1.23
11/21/2002,1.27
11/22/2002,1.25
11/25/2002,1.32
11/26/2002,1.26
11/27/2002,1.27
11/28/2002,1.27
11/29/2002,1.23
12/2/2002,1.27
12/3/2002,1.24
12/4/2002,1.23
12/5/2002,1.24
12/6/2002,1.21
12/9/2002,1.22
12/10/2002,1.22
12/11/2002,1.29
12/12/2002,1.29
12/13/2002,1.25
12/16/2002,1.36
12/17/2002,1.26
12/18/2002,1.25
12/19/2002,1.28
12/20/2002,1.26
12/23/2002,1.28
12/24/2002,1.15
12/25/2002,1.15
12/26/2002,1.28
12/27/2002,1.2
12/30/2002,1.23
12/31/2002,1.16
1/1/2003,1.16
1/2/2003,1.3
1/3/2003,1.12
1/6/2003,1.22
1/7/2003,1.2
1/8/2003,1.29
1/9/2003,1.29
1/10/2003,1.25
1/13/2003,1.26
1/14/2003,1.24
1/15/2003,1.3
1/16/2003,1.24
1/17/2003,1.2
1/20/2003,1.2
1/21/2003,1.31
1/22/2003,1.26
1/23/2003,1.27
1/24/2003,1.21
1/27/2003,1.3
1/28/2003,1.23
1/29/2003,1.26
1/30/2003,1.29
1/31/2003,1.33
2/3/2003,1.3
2/4/2003,1.21
2/5/2003,1.21
2/6/2003,1.23
2/7/2003,1.21
2/10/2003,1.25
2/11/2003,1.22
2/12/2003,1.23
2/13/2003,1.28
2/14/2003,1.3
2/17/2003,1.3
2/18/2003,1.35
2/19/2003,1.24
2/20/2003,1.25
2/21/2003,1.21
2/24/2003,1.25
2/25/2003,1.28
2/26/2003,1.28
2/27/2003,1.31
2/28/2003,1.33
3/3/2003,1.33
3/4/2003,1.2
3/5/2003,1.22
3/6/2003,1.23
3/7/2003,1.2
3/10/2003,1.23
3/11/2003,1.21
3/12/2003,1.23
3/13/2003,1.31
3/14/2003,1.3
3/17/2003,1.31
3/18/2003,1.2
3/19/2003,1.2
3/20/2003,1.23
3/21/2003,1.2
3/24/2003,1.23
3/25/2003,1.24
3/26/2003,1.26
3/27/2003,1.29
3/28/2003,1.26
3/31/2003,1.38
4/1/2003,1.29
4/2/2003,1.19
4/3/2003,1.24
4/4/2003,1.22
4/7/2003,1.25
4/8/2003,1.22
4/9/2003,1.24
4/10/2003,1.27
4/11/2003,1.24
4/14/2003,1.32
4/15/2003,1.34
4/16/2003,1.26
4/17/2003,1.28
4/18/2003,1.24
4/21/2003,1.29
4/22/2003,1.26
4/23/2003,1.24
4/24/2003,1.24
4/25/2003,1.28
4/28/2003,1.29
4/29/2003,1.27
4/30/2003,1.31
5/1/2003,1.3
5/2/2003,1.24
5/5/2003,1.27
5/6/2003,1.28
5/7/2003,1.28
5/8/2003,1.27
5/9/2003,1.24
5/12/2003,1.25
5/13/2003,1.23
5/14/2003,1.3
5/15/2003,1.36
5/16/2003,1.26
5/19/2003,1.26
5/20/2003,1.23
5/21/2003,1.23
5/22/2003,1.25
5/23/2003,1.21
5/26/2003,1.21
5/27/2003,1.32
5/28/2003,1.29
5/29/2003,1.29
5/30/2003,1.28
6/2/2003,1.27
6/3/2003,1.21
6/4/2003,1.22
6/5/2003,1.26
6/6/2003,1.24
6/9/2003,1.25
6/10/2003,1.22
6/11/2003,1.25
6/12/2003,1.25
6/13/2003,1.24
