Start,11/15/1999
End,11/15/2019
Frequency,D
Name,US GDP (AR) CONA
Code,USGDP...D
CURRENCY,U$
11/15/1999,12877.593
2/15/2000,12924.179
5/15/2000,13160.842
8/15/2000,13178.419
11/15/2000,13260.506
2/15/2001,13222.69
5/15/2001,13299.984
8/15/2001,13244.784
11/15/2001,13280.859
2/15/2002,13397.002
5/15/2002,13478.152
8/15/2002,13538.072
11/15/2002,13559.032
2/15/2003,13634.253
5/15/2003,13751.543
8/15/2003,13985.073
11/15/2003,14145.645
2/15/2004,14221.147
5/15/2004,14329.523
8/15/2004,14464.984
11/15/2004,14609.876
2/15/2005,14771.602
5/15/2005,14839.782
8/15/2005,14972.054
11/15/2005,15066.597
2/15/2006,15267.026
5/15/2006,15302.705
8/15/2006,15326.368
11/15/2006,15456.928
2/15/2007,15493.328
5/15/2007,15582.085
8/15/2007,15666.738
11/15/2007,15761.967
2/15/2008,15671.383
5/15/2008,15752.308
8/15/2008,15667.032
11/15/2008,15328.027
2/15/2009,15155.94
5/15/2009,15134.117
8/15/2009,15189.222
11/15/2009,15356.058
2/15/2010,15415.145
5/15/2010,15557.277
8/15/2010,15671.967
11/15/2010,15750.625
2/15/2011,15712.754
5/15/2011,15825.096
8/15/2011,15820.7
11/15/2011,16004.107
2/15/2012,16129.418
5/15/2012,16198.807
8/15/2012,16220.667
11/15/2012,16239.138
2/15/2013,16382.964
5/15/2013,16403.18
8/15/2013,16531.685
11/15/2013,16663.649
2/15/2014,16616.54
5/15/2014,16841.475
8/15/2014,17047.098
11/15/2014,17143.038
2/15/2015,17277.58
5/15/2015,17405.669
8/15/2015,17463.222
11/15/2015,17468.902
2/15/2016,17556.839
5/15/2016,17639.417
8/15/2016,17735.074
11/15/2016,17824.231
2/15/2017,17925.256
5/15/2017,18021.048
8/15/2017,18163.558
11/15/2017,18322.464
2/15/2018,18438.254
5/15/2018,18598.135
8/15/2018,18732.72
11/15/2018,18783.548
2/15/2019,18927.281
5/15/2019,19021.86
8/15/2019,#N/A
11/15/2019,#N/A
