US,10/8/1999
End,10/8/2019
Frequency,D
Name,US TREAS.BENCHMARK BOND 10 YR (DS) - RED. YIELD
Code,S00311
CURRENCY,U$
10/8/1999,6.0261
10/11/1999,6.0261
10/12/1999,6.0602
10/13/1999,6.1159
10/14/1999,6.1546
10/15/1999,6.0732
10/18/1999,6.1161
10/19/1999,6.1678
10/20/1999,6.1766
10/21/1999,6.181
10/22/1999,6.1941
10/25/1999,6.2029
10/26/1999,6.229
10/27/1999,6.1855
10/28/1999,6.1165
10/29/1999,6.0093
11/1/1999,6.0478
11/2/1999,6.0265
11/3/1999,6.0007
11/4/1999,5.9454
11/5/1999,5.9031
11/8/1999,5.9412
11/9/1999,5.9498
11/10/1999,5.9753
11/11/1999,5.9753
11/12/1999,5.9156
11/15/1999,5.9242
11/16/1999,5.954
11/17/1999,6.031
11/18/1999,6.0568
11/19/1999,6.057
11/22/1999,6.0829
11/23/1999,6.0785
11/24/1999,6.0829
11/25/1999,6.0829
11/26/1999,6.109
11/29/1999,6.1918
11/30/1999,6.1657
12/1/1999,6.205
12/2/1999,6.2313
12/3/1999,6.1659
12/6/1999,6.1441
12/7/1999,6.1052
12/8/1999,6.1356
12/9/1999,6.1226
12/10/1999,6.0663
12/13/1999,6.0925
12/14/1999,6.2059
12/15/1999,6.2412
12/16/1999,6.2942
12/17/1999,6.2944
12/20/1999,6.3433
12/21/1999,6.3612
12/22/1999,6.3791
12/23/1999,6.4016
12/24/1999,6.402
12/27/1999,6.3887
12/28/1999,6.4201
12/29/1999,6.3889
12/30/1999,6.3711
12/31/1999,6.4342
1/3/2000,6.5655
1/4/2000,6.4932
1/5/2000,6.6069
1/6/2000,6.5569
1/7/2000,6.5075
1/10/2000,6.562
1/11/2000,6.6675
1/12/2000,6.6999
1/13/2000,6.6174
1/14/2000,6.6776
1/17/2000,6.6778
1/18/2000,6.7472
1/19/2000,6.7289
1/20/2000,6.7709
1/21/2000,6.7808
1/24/2000,6.6837
1/25/2000,6.6885
1/26/2000,6.6841
1/27/2000,6.6843
1/28/2000,6.6481
1/31/2000,6.6668
2/1/2000,6.6208
2/2/2000,6.6027
2/3/2000,6.4705
2/4/2000,6.521
2/7/2000,6.6357
2/8/2000,6.6038
2/9/2000,6.6776
2/10/2000,6.7429
2/11/2000,6.711
2/14/2000,6.6362
2/15/2000,6.6477
2/16/2000,6.6479
2/17/2000,6.6803
2/18/2000,6.5882
2/21/2000,6.5884
2/22/2000,6.4648
2/23/2000,6.5517
2/24/2000,6.4558
2/25/2000,6.4695
2/28/2000,6.5475
2/29/2000,6.543
3/1/2000,6.3847
3/2/2000,6.4016
3/3/2000,6.3759
3/6/2000,6.4186
3/7/2000,6.3843
3/8/2000,6.3799
3/9/2000,6.3416
3/10/2000,6.3839
3/13/2000,6.3625
3/14/2000,6.2986
3/15/2000,6.2859
3/16/2000,6.2477
3/17/2000,6.1926
3/20/2000,6.1798
3/21/2000,6.142
3/22/2000,6.1209
3/23/2000,6.0833
3/24/2000,6.1878
3/27/2000,6.2002
3/28/2000,6.1707
3/29/2000,6.1665
3/30/2000,6.0658
3/31/2000,6.0196
4/3/2000,5.9864
4/4/2000,5.8586
4/5/2000,5.8912
4/6/2000,5.9158
4/7/2000,5.8537
4/10/2000,5.7962
4/11/2000,5.8821
4/12/2000,5.9729
4/13/2000,5.9395
4/14/2000,5.8855
4/17/2000,6.0013
4/18/2000,6.0678
4/19/2000,5.9803
4/20/2000,5.9843
4/21/2000,5.9839
4/24/2000,5.9963
4/25/2000,6.1218
4/26/2000,6.1302
4/27/2000,6.2361
4/28/2000,6.2189
5/1/2000,6.2656
5/2/2000,6.3169
5/3/2000,6.399
5/4/2000,6.4552
5/5/2000,6.5119
5/8/2000,6.5645
5/9/2000,6.525
5/10/2000,6.4465
5/11/2000,6.4159
5/12/2000,6.5031
5/15/2000,6.4594
5/16/2000,6.4159
5/17/2000,6.4768
5/18/2000,6.5557
5/19/2000,6.5075
5/22/2000,6.4243
5/23/2000,6.4463
5/24/2000,6.4636
5/25/2000,6.3766
5/26/2000,6.3246
5/29/2000,6.3244
5/30/2000,6.3721
5/31/2000,6.2899
6/1/2000,6.1996
6/2/2000,6.1439
6/5/2000,6.11
6/6/2000,6.1268
6/7/2000,6.1182
6/8/2000,6.114
6/9/2000,6.118
6/12/2000,6.0797
6/13/2000,6.105
6/14/2000,6.0499
6/15/2000,6.0455
6/16/2000,5.9778
6/19/2000,5.9946
6/20/2000,6.0198
6/21/2000,6.1003
6/22/2000,6.1172
6/23/2000,6.1811
6/26/2000,6.0955
6/27/2000,6.0827
6/28/2000,6.1083
6/29/2000,6.0358
6/30/2000,6.0228
7/3/2000,5.9847
7/4/2000,5.9847
7/5/2000,5.9803
7/6/2000,6.0396
7/7/2000,6.0011
7/10/2000,6.0307
7/11/2000,6.0518
7/12/2000,6.0774
7/13/2000,6.0007
7/14/2000,6.0986
7/17/2000,6.1542
7/18/2000,6.1499
7/19/2000,6.1541
7/20/2000,6.0001
7/21/2000,5.9957
7/24/2000,6.0339
7/25/2000,6.0253
7/26/2000,6.0251
7/27/2000,6.0038
7/28/2000,6.0291
7/31/2000,6.0377
8/1/2000,5.9906
8/2/2000,5.9736
8/3/2000,5.9481
8/4/2000,5.9053
8/7/2000,5.9519
8/8/2000,5.9179
8/9/2000,5.9135
8/10/2000,5.8796
8/11/2000,5.9301
8/14/2000,5.9055
8/15/2000,5.9393
8/16/2000,5.9561
8/17/2000,5.9433
8/18/2000,5.9046
8/21/2000,5.9216
8/22/2000,5.9128
8/23/2000,5.8704
8/24/2000,5.8619
8/25/2000,5.8655
8/28/2000,5.9162
8/29/2000,5.9546
8/30/2000,5.9544
8/31/2000,5.8819
9/1/2000,5.6801
9/4/2000,5.6801
9/5/2000,5.6801
9/6/2000,5.7133
9/7/2000,5.7507
9/8/2000,5.7257
9/11/2000,5.759
9/12/2000,5.7674
9/13/2000,5.7257
9/14/2000,5.78
9/15/2000,5.8304
9/18/2000,5.8683
9/19/2000,5.8516
9/20/2000,5.8939
9/21/2000,5.8727
9/22/2000,5.8348
9/25/2000,5.8306
9/26/2000,5.801
9/27/2000,5.8138
9/28/2000,5.8138
9/29/2000,5.797
10/2/2000,5.818
10/3/2000,5.8645
10/4/2000,5.8943
10/5/2000,5.8519
10/6/2000,5.814
10/9/2000,5.814
10/10/2000,5.8012
10/11/2000,5.776
10/12/2000,5.7173
10/13/2000,5.7173
10/16/2000,5.7383
10/17/2000,5.6629
10/18/2000,5.6587
10/19/2000,5.6545
10/20/2000,5.6335
10/23/2000,5.5796
10/24/2000,5.6252
10/25/2000,5.6753
10/26/2000,5.6753
10/27/2000,5.7089
10/30/2000,5.7215
10/31/2000,5.7552
11/1/2000,5.7341
11/2/2000,5.7341
11/3/2000,5.8187
11/6/2000,5.8571
11/7/2000,5.8571
11/8/2000,5.8529
11/9/2000,5.802
11/10/2000,5.7978
11/13/2000,5.7596
11/14/2000,5.7426
11/15/2000,5.7047
11/16/2000,5.6669
11/17/2000,5.6963
11/20/2000,5.6669
11/21/2000,5.6585
11/22/2000,5.5914
11/23/2000,5.5914
11/24/2000,5.625
11/27/2000,5.625
11/28/2000,5.5872
11/29/2000,5.5412
11/30/2000,5.4459
12/1/2000,5.5162
12/4/2000,5.5202
12/5/2000,5.4291
12/6/2000,5.3183
12/7/2000,5.3019
12/8/2000,5.3385
12/11/2000,5.3589
12/12/2000,5.3423
12/13/2000,5.2769
12/14/2000,5.2158
12/15/2000,5.179
12/18/2000,5.1588
12/19/2000,5.187
12/20/2000,5.0779
12/21/2000,5.0219
12/22/2000,4.9974
12/25/2000,4.9974
12/26/2000,5.0253
12/27/2000,5.0932
12/28/2000,5.1132
12/29/2000,5.1048
1/1/2001,5.1048
1/2/2001,4.9208
1/3/2001,5.1207
1/4/2001,5.018
1/5/2001,4.9398
1/8/2001,4.9118
1/9/2001,4.9774
1/10/2001,5.0898
1/11/2001,5.1239
1/12/2001,5.2479
1/15/2001,5.2479
1/16/2001,5.2355
1/17/2001,5.1741
1/18/2001,5.0968
1/19/2001,5.1718
1/22/2001,5.2288
1/23/2001,5.2822
1/24/2001,5.3089
1/25/2001,5.2759
1/26/2001,5.2633
1/29/2001,5.2942
1/30/2001,5.2221
1/31/2001,5.1565
2/1/2001,5.0692
2/2/2001,5.1521
2/5/2001,5.1561
2/6/2001,5.2092
2/7/2001,5.1908
2/8/2001,5.2071
2/9/2001,5.1352
2/12/2001,5.1739
2/13/2001,5.1922
2/14/2001,5.2425
2/15/2001,5.3106
2/16/2001,5.2233
2/19/2001,5.2231
2/20/2001,5.2229
2/21/2001,5.2641
2/22/2001,5.2889
2/23/2001,5.2097
2/26/2001,5.1643
2/27/2001,5.0884
2/28/2001,5.0291
3/1/2001,4.8681
3/2/2001,4.9498
3/5/2001,4.9698
3/6/2001,4.9837
3/7/2001,4.9215
3/8/2001,4.8916
3/9/2001,4.9334
3/12/2001,4.9234
3/13/2001,4.9473
3/14/2001,4.8494
3/15/2001,4.8096
3/16/2001,4.7659
3/19/2001,4.8252
3/20/2001,4.7895
3/21/2001,4.7775
3/22/2001,4.7182
3/23/2001,4.8029
3/26/2001,4.8506
3/27/2001,4.9871
3/28/2001,4.981
3/29/2001,4.9789
3/30/2001,4.9345
4/2/2001,4.9707
4/3/2001,4.9446
4/4/2001,4.9303
4/5/2001,4.9788
4/6/2001,4.8819
4/9/2001,4.9301
4/10/2001,5.0823
4/11/2001,5.1151
4/12/2001,5.1645
4/13/2001,5.1645
4/16/2001,5.287
4/17/2001,5.208
4/18/2001,5.1336
4/19/2001,5.2599
4/20/2001,5.2727
4/23/2001,5.1956
4/24/2001,5.208
4/25/2001,5.2622
4/26/2001,5.1916
4/27/2001,5.3356
4/30/2001,5.3356
5/1/2001,5.2959
5/2/2001,5.2938
5/3/2001,5.2042
5/4/2001,5.1897
5/7/2001,5.2044
5/8/2001,5.2292
5/9/2001,5.1733
5/10/2001,5.2816
5/11/2001,5.4979
5/14/2001,5.438
5/15/2001,5.4958
5/16/2001,5.464
5/17/2001,5.4363
5/18/2001,5.3982
5/21/2001,5.394
5/22/2001,5.3984
5/23/2001,5.4028
5/24/2001,5.4989
5/25/2001,5.5035
5/28/2001,5.5035
5/29/2001,5.5187
5/30/2001,5.5166
5/31/2001,5.4054
6/1/2001,5.3717
6/4/2001,5.3358
6/5/2001,5.2702
6/6/2001,5.2578
6/7/2001,5.3062
6/8/2001,5.3551
6/11/2001,5.3001
6/12/2001,5.2496
6/13/2001,5.2624
6/14/2001,5.2202
6/15/2001,5.2435
6/18/2001,5.2498
6/19/2001,5.2395
6/20/2001,5.2122
6/21/2001,5.1931
6/22/2001,5.1182
6/25/2001,5.139
6/26/2001,5.2143
6/27/2001,5.2399
6/28/2001,5.3329
6/29/2001,5.4016
7/2/2001,5.3377
7/3/2001,5.389
7/4/2001,5.389
7/5/2001,5.4235
7/6/2001,5.3722
7/9/2001,5.3509
7/10/2001,5.2935
7/11/2001,5.2914
7/12/2001,5.2406
7/13/2001,5.2385
7/16/2001,5.1838
7/17/2001,5.1922
7/18/2001,5.0915
7/19/2001,5.1062
7/20/2001,5.1229
7/23/2001,5.1104
7/24/2001,5.0978
7/25/2001,5.1758
7/26/2001,5.1567
7/27/2001,5.1022
7/30/2001,5.0854
7/31/2001,5.0394
8/1/2001,5.073
8/2/2001,5.1422
8/3/2001,5.1613
8/6/2001,5.1594
8/7/2001,5.172
8/8/2001,5.0604
8/9/2001,5.1067
8/10/2001,5.069
8/13/2001,5.0417
8/14/2001,5.0495
8/15/2001,5.0705
8/16/2001,5.018
8/17/2001,4.9244
8/20/2001,4.9889
8/21/2001,4.97
8/22/2001,4.9805
8/23/2001,4.9576
8/24/2001,4.9971
8/27/2001,5.0117
8/28/2001,4.9221
8/29/2001,4.8578
8/30/2001,4.8702
8/31/2001,4.9261
9/3/2001,4.8195
9/4/2001,4.9831
9/5/2001,4.9709
9/6/2001,4.8611
9/7/2001,4.8016
9/10/2001,4.8391
9/11/2001,4.8391
9/12/2001,4.8391
9/13/2001,4.6404
9/14/2001,4.5584
9/17/2001,4.6049
9/18/2001,4.734
9/19/2001,4.6946
9/20/2001,4.7379
9/21/2001,4.6865
9/24/2001,4.7199
9/25/2001,4.7079
9/26/2001,4.6412
9/27/2001,4.5652
9/28/2001,4.5784
10/1/2001,4.5414
10/2/2001,4.5103
10/3/2001,4.4834
10/4/2001,4.5101
10/5/2001,4.504
10/8/2001,4.504
10/9/2001,4.5954
10/10/2001,4.5914
10/11/2001,4.6698
10/12/2001,4.6518
10/15/2001,4.6085
10/16/2001,4.5753
10/17/2001,4.5538
10/18/2001,4.5671
10/19/2001,4.612
10/22/2001,4.6101
10/23/2001,4.6373
10/24/2001,4.5843
10/25/2001,4.5374
10/26/2001,4.5254
10/29/2001,4.4748
10/30/2001,4.4186
10/31/2001,4.269
11/1/2001,4.2175
11/2/2001,4.3524
11/5/2001,4.2988
11/6/2001,4.2719
11/7/2001,4.1937
11/8/2001,4.2906
11/9/2001,4.3055
11/12/2001,4.3053
11/13/2001,4.3783
11/14/2001,4.512
11/15/2001,4.739
11/16/2001,4.8876
11/19/2001,4.763
11/20/2001,4.8593
11/21/2001,4.9526
11/22/2001,4.9526
11/23/2001,5.01
11/26/2001,5.0119
11/27/2001,4.9446
11/28/2001,4.961
11/29/2001,4.7646
11/30/2001,4.7483
12/3/2001,4.7144
12/4/2001,4.6564
12/5/2001,4.8977
12/6/2001,5.0102
12/7/2001,5.1615
12/10/2001,5.1325
12/11/2001,5.0764
12/12/2001,4.9898
12/13/2001,5.1096
12/14/2001,5.1849
12/17/2001,5.2353
12/18/2001,5.1285
12/19/2001,5.0373
12/20/2001,5.0581
12/21/2001,5.0852
12/24/2001,5.1373
12/25/2001,5.1374
12/26/2001,5.1876
12/27/2001,5.0938
12/28/2001,5.1334
12/31/2001,5.04
1/1/2002,5.04
1/2/2002,5.1588
1/3/2002,5.1233
1/4/2002,5.1464
1/7/2002,5.0526
1/8/2002,5.0692
1/9/2002,5.0673
1/10/2002,4.9635
1/11/2002,4.8672
1/14/2002,4.8733
1/15/2002,4.8365
1/16/2002,4.8529
1/17/2002,4.9412
1/18/2002,4.8958
1/21/2002,4.8958
1/22/2002,4.9061
1/23/2002,5.0158
1/24/2002,5.0386
1/25/2002,5.0722
1/28/2002,5.0806
1/29/2002,4.9807
1/30/2002,4.9828
1/31/2002,5.0306
2/1/2002,4.985
2/4/2002,4.9063
2/5/2002,4.8878
2/6/2002,4.9395
2/7/2002,4.9643
2/8/2002,4.925
2/11/2002,4.9437
2/12/2002,5.0123
2/13/2002,5.0522
2/14/2002,5.011
2/15/2002,4.9192
2/18/2002,4.9192
2/19/2002,4.9379
2/20/2002,4.9356
2/21/2002,4.9232
2/22/2002,4.8817
2/25/2002,4.9086
2/26/2002,4.9791
2/27/2002,4.8855
2/28/2002,4.9208
3/1/2002,4.9795
3/4/2002,5.0077
3/5/2002,5.0138
3/6/2002,5.0465
3/7/2002,5.2166
3/8/2002,5.3249
3/11/2002,5.3249
3/12/2002,5.3165
3/13/2002,5.2708
3/14/2002,5.3965
3/15/2002,5.3589
3/18/2002,5.3087
3/19/2002,5.3295
3/20/2002,5.3928
3/21/2002,5.3843
3/22/2002,5.3972
3/25/2002,5.41
3/26/2002,5.3427
3/27/2002,5.3387
3/28/2002,5.4125
3/29/2002,5.4127
4/1/2002,5.4298
4/2/2002,5.3537
4/3/2002,5.2824
4/4/2002,5.2763
4/5/2002,5.2097
4/8/2002,5.2452
4/9/2002,5.2139
4/10/2002,5.2307
4/11/2002,5.2099
4/12/2002,5.1664
4/15/2002,5.1395
4/16/2002,5.1809
4/17/2002,5.2269
4/18/2002,5.2166
4/19/2002,5.2042
4/22/2002,5.1771
4/23/2002,5.1731
4/24/2002,5.1046
4/25/2002,5.088
4/26/2002,5.0655
4/29/2002,5.1069
4/30/2002,5.0985
5/1/2002,5.0531
5/2/2002,5.1151
5/3/2002,5.0678
5/6/2002,5.0821
5/7/2002,5.0741
5/8/2002,5.2135
5/9/2002,5.1802
5/10/2002,5.1302
5/13/2002,5.2179
5/14/2002,5.2937
5/15/2002,5.2559
5/16/2002,5.1888
5/17/2002,5.2393
5/20/2002,5.1889
5/21/2002,5.1514
5/22/2002,5.1014
5/23/2002,5.1516
5/24/2002,5.1432
5/27/2002,5.1434
5/28/2002,5.135
5/29/2002,5.0768
5/30/2002,5.0354
5/31/2002,5.0436
6/3/2002,5.0396
6/4/2002,5.0106
6/5/2002,5.0438
6/6/2002,5.0106
6/7/2002,5.0646
6/10/2002,5.0438
6/11/2002,4.99
6/12/2002,4.9488
6/13/2002,4.9036
6/14/2002,4.8056
6/17/2002,4.8546
6/18/2002,4.8462
6/19/2002,4.7285
6/20/2002,4.8258
6/21/2002,4.7567
6/24/2002,4.8422
6/25/2002,4.8422
6/26/2002,4.7039
6/27/2002,4.8134
6/28/2002,4.8256
7/1/2002,4.8174
7/2/2002,4.7401
7/3/2002,4.7441
7/4/2002,4.7441
7/5/2002,4.8584
7/8/2002,4.8092
7/9/2002,4.744
7/10/2002,4.6427
7/11/2002,4.6144
7/12/2002,4.59
7/15/2002,4.6223
7/16/2002,4.7029
7/17/2002,4.6665
7/18/2002,4.6141
7/19/2002,4.5656
7/22/2002,4.4657
7/23/2002,4.4298
7/24/2002,4.406
7/25/2002,4.3861
7/26/2002,4.3659
7/29/2002,4.533
7/30/2002,4.5811
7/31/2002,4.4649
8/1/2002,4.4012
8/2/2002,4.2629
8/5/2002,4.2393
8/6/2002,4.369
8/7/2002,4.29
8/8/2002,4.3728
8/9/2002,4.2307
8/12/2002,4.1838
8/13/2002,4.0867
8/14/2002,4.038
8/15/2002,4.1382
8/16/2002,4.2902
8/19/2002,4.2744
8/20/2002,4.1296
8/21/2002,4.1645
8/22/2002,4.266
8/23/2002,4.2028
8/26/2002,4.1754
8/27/2002,4.2496
8/28/2002,4.1866
8/29/2002,4.1321
8/30/2002,4.1121
9/2/2002,4.137
9/3/2002,3.9778
9/4/2002,3.9513
9/5/2002,3.9063
9/6/2002,4.034
9/9/2002,4.0415
9/10/2002,3.9848
9/11/2002,4.068
9/12/2002,3.9656
9/13/2002,3.9015
9/16/2002,3.8715
9/17/2002,3.8641
9/18/2002,3.849
9/19/2002,3.7745
9/20/2002,3.7741
9/23/2002,3.6779
9/24/2002,3.6449
9/25/2002,3.7552
9/26/2002,3.7661
9/27/2002,3.6882
9/30/2002,3.6036
10/1/2002,3.6989
10/2/2002,3.6987
10/3/2002,3.6839
10/4/2002,3.6797
10/7/2002,3.6282
10/8/2002,3.639
10/9/2002,3.5728
10/10/2002,3.6533
10/11/2002,3.7863
10/14/2002,3.7863
10/15/2002,3.997
10/16/2002,4.0312
10/17/2002,4.1349
10/18/2002,4.1307
10/21/2002,4.2198
10/22/2002,4.2511
10/23/2002,4.2355
10/24/2002,4.1422
10/25/2002,4.0918
10/28/2002,4.0804
10/29/2002,3.9312
10/30/2002,3.9616
10/31/2002,3.9007
11/1/2002,3.9764
11/4/2002,4.0415
11/5/2002,4.0798
11/6/2002,4.0298
11/7/2002,3.8546
11/8/2002,3.8166
11/11/2002,3.8166
11/12/2002,3.8315
11/13/2002,3.8277
11/14/2002,4.0102
11/15/2002,4.0367
11/18/2002,4.0058
11/19/2002,3.9675
11/20/2002,4.0636
11/21/2002,4.1332
11/22/2002,4.1683
11/25/2002,4.18
11/26/2002,4.0749
11/27/2002,4.2387
11/28/2002,4.2385
11/29/2002,4.215
12/2/2002,4.2227
12/3/2002,4.2305
12/4/2002,4.1718
12/5/2002,4.1172
12/6/2002,4.0941
12/9/2002,4.0514
12/10/2002,4.0476
12/11/2002,3.9974
12/12/2002,4.0089
12/13/2002,4.063
12/16/2002,4.129
12/17/2002,4.1134
12/18/2002,4.0514
12/19/2002,3.9513
12/20/2002,3.9549
12/23/2002,3.9665
12/24/2002,3.928
12/25/2002,3.928
12/26/2002,3.9164
12/27/2002,3.8172
12/30/2002,3.7868
12/31/2002,3.8284
1/1/2003,3.8284
1/2/2003,4.0358
1/3/2003,4.0396
1/6/2003,4.0628
1/7/2003,4.0239
1/8/2003,3.9814
1/9/2003,4.1687
1/10/2003,4.1489
1/13/2003,4.1294
1/14/2003,4.0863
1/15/2003,4.0707
1/16/2003,4.0747
1/17/2003,4.0161
1/20/2003,4.0161
1/21/2003,3.9888
1/22/2003,3.9232
1/23/2003,3.9503
1/24/2003,3.9076
1/27/2003,3.9577
1/28/2003,3.9772
1/29/2003,4.0356
1/30/2003,3.9888
1/31/2003,3.977
2/3/2003,3.9927
2/4/2003,3.9305
2/5/2003,4.0005
2/6/2003,3.9459
2/7/2003,3.9227
2/10/2003,3.9768
2/11/2003,3.9576
2/12/2003,3.9148
2/13/2003,3.8492
2/14/2003,3.9301
2/17/2003,3.9301
2/18/2003,3.9301
2/19/2003,3.8681
2/20/2003,3.8296
2/21/2003,3.8795
2/24/2003,3.8294
2/25/2003,3.7987
2/26/2003,3.7601
2/27/2003,3.7411
2/28/2003,3.6835
3/3/2003,3.6798
3/4/2003,3.6499
