Start,10/8/1999
End,10/8/2019
Frequency,D
Name,US TREAS.BENCHMARK BOND 2 YR (DS) - RED. YIELD
Code,S00306
CURRENCY,U$
10/8/1999,5.7558
10/11/1999,5.7558
10/12/1999,5.773
10/13/1999,5.8245
10/14/1999,5.876
10/15/1999,5.7907
10/18/1999,5.8083
10/19/1999,5.8601
10/20/1999,5.8949
10/21/1999,5.8952
10/22/1999,5.9135
10/25/1999,5.9313
10/26/1999,5.9666
10/27/1999,5.9145
10/28/1999,5.8798
10/29/1999,5.793
11/1/1999,5.8115
11/2/1999,5.7945
11/3/1999,5.7774
11/4/1999,5.7266
11/5/1999,5.6917
11/8/1999,5.7083
11/9/1999,5.7419
11/10/1999,5.7926
11/11/1999,5.7922
11/12/1999,5.7573
11/15/1999,5.7743
11/16/1999,5.8254
11/17/1999,5.8767
11/18/1999,5.8767
11/19/1999,5.8764
11/22/1999,5.9109
11/23/1999,5.928
11/24/1999,5.9454
11/25/1999,5.9454
11/26/1999,5.9803
11/29/1999,6.0329
11/30/1999,5.9978
12/1/1999,6.0177
12/2/1999,6.0347
12/3/1999,5.9671
12/6/1999,5.9671
12/7/1999,5.9334
12/8/1999,5.9504
12/9/1999,5.9332
12/10/1999,5.8821
12/13/1999,5.9332
12/14/1999,6.036
12/15/1999,6.0705
12/16/1999,6.1224
12/17/1999,6.1232
12/20/1999,6.1754
12/21/1999,6.1758
12/22/1999,6.1935
12/23/1999,6.1937
12/24/1999,6.1949
12/27/1999,6.1777
12/28/1999,6.1956
12/29/1999,6.1607
12/30/1999,6.1436
12/31/1999,6.1974
1/3/2000,6.3356
1/4/2000,6.2847
1/5/2000,6.3528
1/6/2000,6.3019
1/7/2000,6.2679
1/10/2000,6.3364
1/11/2000,6.4053
1/12/2000,6.44
1/13/2000,6.354
1/14/2000,6.4064
1/17/2000,6.4066
1/18/2000,6.4415
1/19/2000,6.4243
1/20/2000,6.4421
1/21/2000,6.4428
1/24/2000,6.3732
1/25/2000,6.4085
1/26/2000,6.4262
1/27/2000,6.4968
1/28/2000,6.551
1/31/2000,6.6046
2/1/2000,6.566
2/2/2000,6.6002
2/3/2000,6.5321
2/4/2000,6.6006
2/7/2000,6.6523
2/8/2000,6.6525
2/9/2000,6.67
2/10/2000,6.653
2/11/2000,6.6362
2/14/2000,6.5844
2/15/2000,6.6193
2/16/2000,6.6021
2/17/2000,6.6717
2/18/2000,6.62
2/21/2000,6.6202
2/22/2000,6.5155
2/23/2000,6.6206
2/24/2000,6.4762
2/25/2000,6.3919
2/28/2000,6.4594
2/29/2000,6.493
3/1/2000,6.4592
3/2/2000,6.476
3/3/2000,6.4589
3/6/2000,6.493
3/7/2000,6.4589
3/8/2000,6.4587
3/9/2000,6.4415
3/10/2000,6.4928
3/13/2000,6.476
3/14/2000,6.424
3/15/2000,6.441
3/16/2000,6.441
3/17/2000,6.458
3/20/2000,6.458
3/21/2000,6.458
3/22/2000,6.44
3/23/2000,6.475
3/24/2000,6.598
3/27/2000,6.598
3/28/2000,6.5805
3/29/2000,6.563
3/30/2000,6.4928
3/31/2000,6.4753
4/3/2000,6.4224
4/4/2000,6.2571
4/5/2000,6.3074
4/6/2000,6.358
4/7/2000,6.34
4/10/2000,6.2885
4/11/2000,6.3395
4/12/2000,6.3734
4/13/2000,6.356
4/14/2000,6.2862
4/17/2000,6.2859
4/18/2000,6.3028
4/19/2000,6.3025
4/20/2000,6.3025
4/21/2000,6.3356
4/24/2000,6.3354
4/25/2000,6.4571
4/26/2000,6.492
4/27/2000,6.6324
4/28/2000,6.6856
5/1/2000,6.7036
5/2/2000,6.7215
5/3/2000,6.7179
5/4/2000,6.7352
5/5/2000,6.7881
5/8/2000,6.823
5/9/2000,6.8062
5/10/2000,6.7894
5/11/2000,6.7726
5/12/2000,6.8609
5/15/2000,6.8439
5/16/2000,6.8447
5/17/2000,6.8626
5/18/2000,6.8981
5/19/2000,6.8298
5/22/2000,6.7604
5/23/2000,6.7959
5/24/2000,6.7965
5/25/2000,6.7266
5/26/2000,6.6927
5/29/2000,6.6931
5/30/2000,6.782
5/31/2000,6.7293
6/1/2000,6.5859
6/2/2000,6.5004
6/5/2000,6.4661
6/6/2000,6.4827
6/7/2000,6.4995
6/8/2000,6.4991
6/9/2000,6.5155
6/12/2000,6.4981
6/13/2000,6.4463
6/14/2000,6.3944
6/15/2000,6.394
6/16/2000,6.341
6/19/2000,6.3578
6/20/2000,6.3921
6/21/2000,6.461
6/22/2000,6.4779
6/23/2000,6.5296
6/26/2000,6.4594
6/27/2000,6.459
6/28/2000,6.4589
6/29/2000,6.3885
6/30/2000,6.3871
7/3/2000,6.2592
7/4/2000,6.2727
7/5/2000,6.2555
7/6/2000,6.3063
7/7/2000,6.2548
7/10/2000,6.2887
7/11/2000,6.2885
7/12/2000,6.3227
7/13/2000,6.271
7/14/2000,6.374
7/17/2000,6.4257
7/18/2000,6.4259
7/19/2000,6.4432
7/20/2000,6.3044
7/21/2000,6.304
7/24/2000,6.3387
7/25/2000,6.3211
7/26/2000,6.3211
7/27/2000,6.3036
7/28/2000,6.3208
7/31/2000,6.3063
8/1/2000,6.2361
8/2/2000,6.2023
8/3/2000,6.1853
8/4/2000,6.1171
8/7/2000,6.1506
8/8/2000,6.1337
8/9/2000,6.1333
8/10/2000,6.1161
8/11/2000,6.201
8/14/2000,6.2008
8/15/2000,6.2351
8/16/2000,6.2695
8/17/2000,6.2521
8/18/2000,6.2347
8/21/2000,6.2521
8/22/2000,6.2347
8/23/2000,6.1827
8/24/2000,6.1825
8/25/2000,6.1821
8/28/2000,6.2168
8/29/2000,6.2519
8/30/2000,6.2344
8/31/2000,6.1642
9/1/2000,6.0616
9/4/2000,6.0614
9/5/2000,6.0614
9/6/2000,6.0781
9/7/2000,6.0949
9/8/2000,6.0606
9/11/2000,6.0946
9/12/2000,6.0946
9/13/2000,6.0432
9/14/2000,6.0602
9/15/2000,6.0253
9/18/2000,5.9908
9/19/2000,6.0251
9/20/2000,6.0595
9/21/2000,6.0593
9/22/2000,6.0415
9/25/2000,6.0587
9/26/2000,6.024
9/27/2000,6.0238
9/28/2000,6.0411
9/29/2000,6.0057
10/2/2000,5.9706
10/3/2000,5.9872
10/4/2000,6.004
10/5/2000,6.0038
10/6/2000,5.9864
10/9/2000,5.9862
10/10/2000,5.969
10/11/2000,5.9347
10/12/2000,5.8493
10/13/2000,5.8311
10/16/2000,5.8823
10/17/2000,5.8134
10/18/2000,5.8128
10/19/2000,5.847
10/20/2000,5.8287
10/23/2000,5.7938
10/24/2000,5.8453
10/25/2000,5.9143
10/26/2000,5.9141
10/27/2000,5.9483
10/30/2000,5.9481
10/31/2000,5.9305
11/1/2000,5.8777
11/2/2000,5.8599
11/3/2000,5.9294
11/6/2000,5.9645
11/7/2000,5.982
11/8/2000,5.9523
11/9/2000,5.9286
11/10/2000,5.9103
11/13/2000,5.867
11/14/2000,5.8842
11/15/2000,5.867
11/16/2000,5.8496
11/17/2000,5.8496
11/20/2000,5.8323
11/21/2000,5.8496
11/22/2000,5.7976
11/23/2000,5.7976
11/24/2000,5.8495
11/27/2000,5.8319
11/28/2000,5.7796
11/29/2000,5.7098
11/30/2000,5.6225
12/1/2000,5.6564
12/4/2000,5.6387
12/5/2000,5.4766
12/6/2000,5.4089
12/7/2000,5.4255
12/8/2000,5.475
12/11/2000,5.5086
12/12/2000,5.5082
12/13/2000,5.4399
12/14/2000,5.3886
12/15/2000,5.3703
12/18/2000,5.3017
12/19/2000,5.3352
12/20/2000,5.2153
12/21/2000,5.1294
12/22/2000,5.0758
12/25/2000,5.0749
12/26/2000,5.0741
12/27/2000,5.142
12/28/2000,5.1928
12/29/2000,5.1563
1/1/2001,5.1126
1/2/2001,4.8704
1/3/2001,4.87
1/4/2001,4.7695
1/5/2001,4.5845
1/8/2001,4.5172
1/9/2001,4.6415
1/10/2001,4.7495
1/11/2001,4.7489
1/12/2001,4.8986
1/15/2001,4.8983
1/16/2001,4.8897
1/17/2001,4.8384
1/18/2001,4.7106
1/19/2001,4.7428
1/22/2001,4.751
1/23/2001,4.8267
1/24/2001,4.8519
1/25/2001,4.8428
1/26/2001,4.8243
1/29/2001,4.8155
1/30/2001,4.7544
1/31/2001,4.668
2/1/2001,4.5525
2/2/2001,4.6598
2/5/2001,4.6762
2/6/2001,4.7262
2/7/2001,4.7009
2/8/2001,4.734
2/9/2001,4.6581
2/12/2001,4.6827
2/13/2001,4.7419
2/14/2001,4.8264
2/15/2001,4.8857
2/16/2001,4.7495
2/19/2001,4.7493
2/20/2001,4.7409
2/21/2001,4.7409
2/22/2001,4.6892
2/23/2001,4.5862
2/26/2001,4.5343
2/27/2001,4.534
2/28/2001,4.4731
3/1/2001,4.388
3/2/2001,4.4689
3/5/2001,4.4765
3/6/2001,4.4683
3/7/2001,4.4182
3/8/2001,4.4014
3/9/2001,4.458
3/12/2001,4.4413
3/13/2001,4.4409
3/14/2001,4.3156
3/15/2001,4.2149
3/16/2001,4.2295
3/19/2001,4.3045
3/20/2001,4.2368
3/21/2001,4.2025
3/22/2001,4.1431
3/23/2001,4.225
3/26/2001,4.2498
3/27/2001,4.3934
3/28/2001,4.3505
3/29/2001,4.2902
3/30/2001,4.2292
4/2/2001,4.1996
4/3/2001,4.1498
4/4/2001,4.1002
4/5/2001,4.158
4/6/2001,4.0581
4/9/2001,4.0827
4/10/2001,4.2076
4/11/2001,4.2742
4/12/2001,4.3411
4/13/2001,4.3415
4/16/2001,4.468
4/17/2001,4.3839
4/18/2001,4.215
4/19/2001,4.2658
4/20/2001,4.2236
4/23/2001,4.1304
4/24/2001,4.1302
4/25/2001,4.2147
4/26/2001,4.1636
4/27/2001,4.2917
4/30/2001,4.3177
5/1/2001,4.2299
5/2/2001,4.0449
5/3/2001,4.2055
5/4/2001,4.1235
5/7/2001,4.0987
5/8/2001,4.0909
5/9/2001,4.0659
5/10/2001,4.1407
5/11/2001,4.3427
5/14/2001,4.2677
5/15/2001,4.2595
5/16/2001,4.2263
5/17/2001,4.2942
5/18/2001,4.3459
5/21/2001,4.3463
5/22/2001,4.3131
5/23/2001,4.2536
5/24/2001,4.3051
5/25/2001,4.2637
5/28/2001,4.2641
5/29/2001,4.2902
5/30/2001,4.2906
5/31/2001,4.1624
6/1/2001,4.163
6/4/2001,4.1662
6/5/2001,4.092
6/6/2001,4.0918
6/7/2001,4.0995
6/8/2001,4.1489
6/11/2001,4.0907
6/12/2001,4.0569
6/13/2001,4.0401
6/14/2001,3.9984
6/15/2001,3.9722
6/18/2001,3.9467
6/19/2001,3.9549
6/20/2001,3.9457
6/21/2001,3.9621
6/22/2001,3.8935
6/25/2001,3.927
6/26/2001,3.9942
6/27/2001,4.1128
6/28/2001,4.2234
6/29/2001,4.2574
7/2/2001,4.1798
7/3/2001,4.2299
7/4/2001,4.2303
7/5/2001,4.2309
7/6/2001,4.1319
7/9/2001,4.1323
7/10/2001,4.0493
7/11/2001,4.0495
7/12/2001,4.0333
7/13/2001,4.0838
7/16/2001,4.0508
7/17/2001,4.059
7/18/2001,3.9167
7/19/2001,3.9421
7/20/2001,3.9423
7/23/2001,3.9425
7/24/2001,3.9251
7/25/2001,3.9682
7/26/2001,3.9173
7/27/2001,3.8574
7/30/2001,3.8406
7/31/2001,3.7724
8/1/2001,3.8094
8/2/2001,3.8828
8/3/2001,3.8912
8/6/2001,3.8664
8/7/2001,3.8664
8/8/2001,3.7506
8/9/2001,3.734
8/10/2001,3.7085
8/13/2001,3.6669
8/14/2001,3.7167
8/15/2001,3.7745
8/16/2001,3.7161
8/17/2001,3.6402
8/20/2001,3.7153
8/21/2001,3.6646
8/22/2001,3.7315
8/23/2001,3.698
8/24/2001,3.7222
8/27/2001,3.7392
8/28/2001,3.6715
8/29/2001,3.6289
8/30/2001,3.5688
8/31/2001,3.6276
9/3/2001,3.6091
9/4/2001,3.8235
9/5/2001,3.7741
9/6/2001,3.6339
9/7/2001,3.5103
9/10/2001,3.5101
9/11/2001,3.5099
9/12/2001,3.5099
9/13/2001,2.9913
9/14/2001,2.8738
9/17/2001,2.9301
9/18/2001,2.9539
9/19/2001,2.813
9/20/2001,2.8946
9/21/2001,2.8746
9/24/2001,2.907
9/25/2001,2.8482
9/26/2001,2.8051
9/27/2001,2.7462
9/28/2001,2.8179
10/1/2001,2.8168
10/2/2001,2.7601
10/3/2001,2.7601
10/4/2001,2.7517
10/5/2001,2.7025
10/8/2001,2.7023
10/9/2001,2.7353
10/10/2001,2.7678
10/11/2001,2.8584
10/12/2001,2.8011
10/15/2001,2.7597
10/16/2001,2.7514
10/17/2001,2.7847
10/18/2001,2.7428
10/19/2001,2.7512
10/22/2001,2.7597
10/23/2001,2.7763
10/24/2001,2.7008
10/25/2001,2.6173
10/26/2001,2.5913
10/29/2001,2.5406
10/30/2001,2.4487
10/31/2001,2.4057
11/1/2001,2.4723
11/2/2001,2.4759
11/5/2001,2.4511
11/6/2001,2.3617
11/7/2001,2.3207
11/8/2001,2.4172
11/9/2001,2.4487
11/12/2001,2.4481
11/13/2001,2.5131
11/14/2001,2.6854
11/15/2001,2.9667
11/16/2001,3.076
11/19/2001,2.8929
11/20/2001,2.9514
11/21/2001,3.0857
11/22/2001,3.0863
11/23/2001,3.1719
11/26/2001,3.1811
11/27/2001,3.0628
11/28/2001,3.0634
11/29/2001,2.8097
11/30/2001,2.7596
12/3/2001,2.8149
12/4/2001,2.7979
12/5/2001,3.0672
12/6/2001,3.1662
12/7/2001,3.208
12/10/2001,3.0924
12/11/2001,2.9932
12/12/2001,2.944
12/13/2001,3.0762
12/14/2001,3.1595
12/17/2001,3.1927
12/18/2001,3.0931
12/19/2001,3.0766
12/20/2001,3.1183
12/21/2001,3.1355
12/24/2001,3.1523
12/25/2001,3.1525
12/26/2001,3.2202
12/27/2001,3.1273
12/28/2001,3.0773
12/31/2001,2.9587
1/1/2002,3.0651
1/2/2002,3.2112
1/3/2002,3.1866
1/4/2002,3.1778
1/7/2002,3.055
1/8/2002,3.063
1/9/2002,3.0218
1/10/2002,2.931
1/11/2002,2.7405
1/14/2002,2.7645
1/15/2002,2.7721
1/16/2002,2.8212
1/17/2002,2.9356
1/18/2002,2.8849
1/21/2002,2.8843
1/22/2002,2.9253
1/23/2002,3.0083
1/24/2002,3.0834
1/25/2002,3.1075
1/28/2002,3.1071
1/29/2002,2.972
1/30/2002,2.9888
1/31/2002,3.0897
2/1/2002,3.0878
2/4/2002,3.006
2/5/2002,2.9814
2/6/2002,2.9734
2/7/2002,2.9812
2/8/2002,2.9236
2/11/2002,2.9396
2/12/2002,3.022
2/13/2002,3.0718
2/14/2002,3.0634
2/15/2002,2.9552
2/18/2002,2.9552
2/19/2002,2.9551
2/20/2002,2.972
2/21/2002,2.9634
2/22/2002,2.9545
2/25/2002,2.9797
2/26/2002,3.0388
2/27/2002,2.9373
2/28/2002,3.0046
3/1/2002,3.1729
3/4/2002,3.2055
3/5/2002,3.2225
3/6/2002,3.2228
3/7/2002,3.4122
3/8/2002,3.5551
3/11/2002,3.5473
3/12/2002,3.5231
3/13/2002,3.4485
3/14/2002,3.5913
3/15/2002,3.5936
3/18/2002,3.5946
3/19/2002,3.5786
3/20/2002,3.6469
3/21/2002,3.656
3/22/2002,3.7016
3/25/2002,3.7195
3/26/2002,3.618
3/27/2002,3.5763
3/28/2002,3.6453
3/29/2002,3.648
4/1/2002,3.6489
4/2/2002,3.5473
4/3/2002,3.5273
4/4/2002,3.5517
4/5/2002,3.4771
4/8/2002,3.4855
4/9/2002,3.4527
4/10/2002,3.4439
4/11/2002,3.4273
4/12/2002,3.3604
4/15/2002,3.3352
4/16/2002,3.3352
4/17/2002,3.3594
4/18/2002,3.3255
4/19/2002,3.3163
4/22/2002,3.3073
4/23/2002,3.3236
4/24/2002,3.223
4/25/2002,3.1973
4/26/2002,3.1618
4/29/2002,3.1864
4/30/2002,3.1693
5/1/2002,3.1809
5/2/2002,3.229
5/3/2002,3.1553
5/6/2002,3.1628
5/7/2002,3.1218
5/8/2002,3.3018
5/9/2002,3.2444
5/10/2002,3.1612
5/13/2002,3.2352
5/14/2002,3.351
5/15/2002,3.334
5/16/2002,3.2511
5/17/2002,3.351
5/20/2002,3.2841
5/21/2002,3.2173
5/22/2002,3.167
5/23/2002,3.2169
5/24/2002,3.233
5/27/2002,3.2328
5/28/2002,3.2326
5/29/2002,3.2324
5/30/2002,3.0973
5/31/2002,3.1471
6/3/2002,3.1126
6/4/2002,3.0613
6/5/2002,3.0783
6/6/2002,3.0436
6/7/2002,3.1279
6/10/2002,3.1277
6/11/2002,3.0619
6/12/2002,3.0291
6/13/2002,2.9793
6/14/2002,2.8791
6/17/2002,2.9118
6/18/2002,2.878
6/19/2002,2.7624
6/20/2002,2.877
6/21/2002,2.8263
6/24/2002,2.8751
6/25/2002,2.8746
6/26/2002,2.7079
6/27/2002,2.8069
6/28/2002,2.8221
7/1/2002,2.8044
7/2/2002,2.7714
7/3/2002,2.7552
7/4/2002,2.755
7/5/2002,2.8851
7/8/2002,2.8034
7/9/2002,2.7052
7/10/2002,2.5911
7/11/2002,2.5742
7/12/2002,2.5404
7/15/2002,2.507
7/16/2002,2.6379
7/17/2002,2.5885
7/18/2002,2.5055
7/19/2002,2.4549
7/22/2002,2.3716
7/23/2002,2.2888
7/24/2002,2.2552
7/25/2002,2.2049
7/26/2002,2.1196
7/29/2002,2.3174
7/30/2002,2.3333
7/31/2002,2.166
8/1/2002,2.1328
8/2/2002,1.9878
8/5/2002,1.9232
8/6/2002,2.0834
8/7/2002,1.9543
8/8/2002,2.083
8/9/2002,2.0662
8/12/2002,2.066
8/13/2002,1.9686
8/14/2002,2.0817
8/15/2002,2.1797
8/16/2002,2.2453
8/19/2002,2.2121
8/20/2002,2.0803
8/21/2002,2.0802
8/22/2002,2.1955
8/23/2002,2.1456
8/26/2002,2.129
8/27/2002,2.2287
8/28/2002,2.1622
8/29/2002,2.0954
8/30/2002,2.1114
9/2/2002,2.1112
9/3/2002,1.9436
9/4/2002,1.9918
9/5/2002,1.9274
9/6/2002,2.0718
9/9/2002,2.1046
9/10/2002,2.0878
9/11/2002,2.1856
9/12/2002,2.0878
9/13/2002,2.039
9/16/2002,2.039
9/17/2002,2.0388
9/18/2002,2.0056
9/19/2002,1.9238
9/20/2002,1.9066
9/23/2002,1.8896
9/24/2002,1.8728
9/25/2002,1.9548
9/26/2002,1.9218
9/27/2002,1.8049
9/30/2002,1.6722
10/1/2002,1.7639
10/2/2002,1.7479
10/3/2002,1.7477
10/4/2002,1.779
10/7/2002,1.7628
10/8/2002,1.7952
10/9/2002,1.6819
10/10/2002,1.7302
10/11/2002,1.8108
10/14/2002,1.8106
10/15/2002,2.0233
10/16/2002,2.0071
10/17/2002,2.0731
10/18/2002,2.0741
10/21/2002,2.1906
10/22/2002,2.191
10/23/2002,2.1578
10/24/2002,2.0584
10/25/2002,1.9423
10/28/2002,1.8593
10/29/2002,1.7262
10/30/2002,1.7088
10/31/2002,1.642
11/1/2002,1.7408
11/4/2002,1.7885
11/5/2002,1.8198
11/6/2002,1.8353
11/7/2002,1.8349
11/8/2002,1.8337
11/11/2002,1.8333
11/12/2002,1.7845
11/13/2002,1.7353
11/14/2002,1.8648
11/15/2002,1.8961
11/18/2002,1.8795
11/19/2002,1.8791
11/20/2002,1.9609
11/21/2002,2.0266
11/22/2002,2.0596
11/25/2002,2.043
11/26/2002,1.943
11/27/2002,2.0592
11/28/2002,2.0592
11/29/2002,2.025
12/2/2002,2.0657
12/3/2002,2.0657
12/4/2002,2.0012
12/5/2002,1.9526
12/6/2002,1.8715
12/9/2002,1.8553
12/10/2002,1.8711
12/11/2002,1.8221
12/12/2002,1.8219
12/13/2002,1.8539
12/16/2002,1.9024
12/17/2002,1.8536
12/18/2002,1.7878
12/19/2002,1.7054
12/20/2002,1.7208
12/23/2002,1.753
12/24/2002,1.6705
12/25/2002,1.6701
12/26/2002,1.6531
12/27/2002,1.5522
12/30/2002,1.5514
12/31/2002,1.5509
1/1/2003,1.5909
1/2/2003,1.783
1/3/2003,1.783
1/6/2003,1.8156
1/7/2003,1.7509
1/8/2003,1.6863
1/9/2003,1.848
1/10/2003,1.7832
1/13/2003,1.7832
1/14/2003,1.7509
1/15/2003,1.7347
1/16/2003,1.7179
1/17/2003,1.6851
1/20/2003,1.6851
1/21/2003,1.652
1/22/2003,1.6191
1/23/2003,1.6516
1/24/2003,1.6182
1/27/2003,1.651
1/28/2003,1.6508
1/29/2003,1.7172
1/30/2003,1.6676
1/31/2003,1.6838
2/3/2003,1.7244
2/4/2003,1.6766
2/5/2003,1.7086
2/6/2003,1.6602
2/7/2003,1.6121
2/10/2003,1.6602
2/11/2003,1.6441
2/12/2003,1.6119
2/13/2003,1.5469
2/14/2003,1.6117
2/17/2003,1.6117
2/18/2003,1.6441
2/19/2003,1.5947
2/20/2003,1.5621
2/21/2003,1.5945
2/24/2003,1.5779
2/25/2003,1.5451
2/26/2003,1.528
2/27/2003,1.528
2/28/2003,1.4944
3/3/2003,1.3601
3/4/2003,1.3258
3/5/2003,1.4328
3/6/2003,1.4488
