Start,10/8/1999
End,10/8/2019
Frequency,D
Name,ENERGY SELECT SECTOR SPDR FUND
Code,689916
CURRENCY,U$
10/8/1999,26.1094
10/11/1999,26.5
10/12/1999,26.6406
10/13/1999,26.8125
10/14/1999,26.7188
10/15/1999,26.3281
10/18/1999,26.375
10/19/1999,26.4531
10/20/1999,27
10/21/1999,27.125
10/22/1999,27.5781
10/25/1999,27.125
10/26/1999,26.5
10/27/1999,26.7188
10/28/1999,26.8438
10/29/1999,27.0313
11/1/1999,27.0156
11/2/1999,26.7656
11/3/1999,26.625
11/4/1999,26.2031
11/5/1999,25.5625
11/8/1999,26.5313
11/9/1999,27.0938
11/10/1999,27.6875
11/11/1999,27.6875
11/12/1999,27.875
11/15/1999,28.0313
11/16/1999,28.5
11/17/1999,29
11/18/1999,29
11/19/1999,28.3438
11/22/1999,27.8906
11/23/1999,27.3125
11/24/1999,27.6563
11/25/1999,27.6563
11/26/1999,27.25
11/29/1999,27.0313
11/30/1999,26.9844
12/1/1999,27.5156
12/2/1999,27.25
12/3/1999,27.125
12/6/1999,27.1094
12/7/1999,26.5938
12/8/1999,26.875
12/9/1999,27.0938
12/10/1999,26.3125
12/13/1999,26.4688
12/14/1999,26.4063
12/15/1999,26.9375
12/16/1999,27.2031
12/17/1999,27
12/20/1999,26.4063
12/21/1999,26.4844
12/22/1999,26.3438
12/23/1999,27.0938
12/24/1999,27.0938
12/27/1999,26.9063
12/28/1999,26.9375
12/29/1999,27.2188
12/30/1999,27
12/31/1999,27.0938
1/3/2000,26.5625
1/4/2000,26.0625
1/5/2000,26.75
1/6/2000,27.7813
1/7/2000,28.0781
1/10/2000,27.8438
1/11/2000,27.875
1/12/2000,27.75
1/13/2000,28.2344
1/14/2000,28.0625
1/17/2000,28.0625
1/18/2000,28.4063
1/19/2000,28.3125
1/20/2000,28.3125
1/21/2000,29.0938
1/24/2000,28.0625
1/25/2000,28
1/26/2000,27.5625
1/27/2000,27
1/28/2000,26.6875
1/31/2000,27.3125
2/1/2000,27.25
2/2/2000,27.4219
2/3/2000,27.0938
2/4/2000,26.3125
2/7/2000,26.6094
2/8/2000,26.375
2/9/2000,25.5
2/10/2000,26.0313
2/11/2000,25.7188
2/14/2000,26.125
2/15/2000,27.2188
2/16/2000,27.3438
2/17/2000,27.3125
2/18/2000,26.5156
2/21/2000,26.5156
2/22/2000,26.2813
2/23/2000,25.5938
2/24/2000,25.3125
2/25/2000,24.8125
2/28/2000,25.5625
2/29/2000,26.1563
3/1/2000,26.8125
3/2/2000,27.3125
3/3/2000,26.875
3/6/2000,26.7188
3/7/2000,28.5625
3/8/2000,28.0938
3/9/2000,28.125
3/10/2000,27.75
3/13/2000,27.3438
3/14/2000,27.6875
3/15/2000,27.5625
3/16/2000,28.75
3/17/2000,27.7813
3/20/2000,27.3438
3/21/2000,28.2188
3/22/2000,28
3/23/2000,27.9688
3/24/2000,28.0313
3/27/2000,28.125
3/28/2000,28
3/29/2000,29.4688
3/30/2000,29.4688
3/31/2000,29.3125
4/3/2000,29.8125
4/4/2000,29.4375
4/5/2000,28.5625
4/6/2000,29.3125
4/7/2000,28.8594
4/10/2000,28.4375
4/11/2000,28.9375
4/12/2000,29.1875
4/13/2000,29.125
4/14/2000,28.5
4/17/2000,27.8125
4/18/2000,27.9531
4/19/2000,28.5625
4/20/2000,28.6094
4/21/2000,28.6094
4/24/2000,28.9219
4/25/2000,28.9688
4/26/2000,29.3438
4/27/2000,29.75
4/28/2000,28.875
5/1/2000,29.3438
5/2/2000,29.7656
5/3/2000,29
5/4/2000,29.75
5/5/2000,30.0625
5/8/2000,30.4375
5/9/2000,30.4531
5/10/2000,30.5469
5/11/2000,31.5
5/12/2000,31.6094
5/15/2000,32.2656
5/16/2000,31.6406
5/17/2000,31.7969
5/18/2000,31.75
5/19/2000,31.8125
5/22/2000,31.5469
5/23/2000,31.4219
5/24/2000,31.4531
5/25/2000,30.875
5/26/2000,30.8906
5/29/2000,30.8906
5/30/2000,31.3281
5/31/2000,32.2656
6/1/2000,31.9688
6/2/2000,30.875
6/5/2000,30.4375
6/6/2000,31.625
6/7/2000,31.2188
6/8/2000,31.375
6/9/2000,31.1719
6/12/2000,31.875
6/13/2000,31.875
6/14/2000,31.8281
6/15/2000,31.375
6/16/2000,31.75
6/19/2000,31.4844
6/20/2000,31.3125
6/21/2000,31.875
6/22/2000,31.0313
6/23/2000,31.4219
6/26/2000,31.1719
6/27/2000,30.9531
6/28/2000,30.6875
6/29/2000,30.75
6/30/2000,30.3438
7/3/2000,30.5313
7/4/2000,30.5313
7/5/2000,29.2656
7/6/2000,29.5625
7/7/2000,29.7031
7/10/2000,29.8438
7/11/2000,30.9063
7/12/2000,30.5
7/13/2000,30.0313
7/14/2000,30
7/17/2000,29.6094
7/18/2000,29.875
7/19/2000,29.7969
7/20/2000,29.5
7/21/2000,28.9375
7/24/2000,28.6406
7/25/2000,28.375
7/26/2000,28.6094
7/27/2000,29.5938
7/28/2000,29.375
7/31/2000,29.1875
8/1/2000,29.7344
8/2/2000,30.2969
8/3/2000,29.875
8/4/2000,30
8/7/2000,30.3906
8/8/2000,30.4531
8/9/2000,31
8/10/2000,31.2813
8/11/2000,31.25
8/14/2000,31.6875
8/15/2000,31.5625
8/16/2000,32
8/17/2000,32.75
8/18/2000,32.375
8/21/2000,32.5
8/22/2000,32.4063
8/23/2000,33.25
8/24/2000,32.5313
8/25/2000,32.625
8/28/2000,32.75
8/29/2000,32.7813
8/30/2000,32.5
8/31/2000,32.375
9/1/2000,32.7031
9/4/2000,32.7031
9/5/2000,32.7031
9/6/2000,33.4219
9/7/2000,33.2656
9/8/2000,32.875
9/11/2000,33.9219
9/12/2000,33.875
9/13/2000,33.3125
9/14/2000,33.2188
9/15/2000,33.9375
9/18/2000,34
9/19/2000,33.0938
9/20/2000,32.4375
9/21/2000,32.1875
9/22/2000,31.9844
9/25/2000,31.5
9/26/2000,32.25
9/27/2000,32.8594
9/28/2000,32.7344
9/29/2000,32.7656
10/2/2000,33.4375
10/3/2000,33.4219
10/4/2000,32.4375
10/5/2000,32.3906
10/6/2000,32.25
10/9/2000,32.75
10/10/2000,33.4844
10/11/2000,33.7969
10/12/2000,34.3125
10/13/2000,33
10/16/2000,32.6875
10/17/2000,32.7031
10/18/2000,32.2656
10/19/2000,32.4219
10/20/2000,33.0625
10/23/2000,32.5313
10/24/2000,31.9844
10/25/2000,31.2031
10/26/2000,31.3438
10/27/2000,31.125
10/30/2000,31.6563
10/31/2000,31.875
11/1/2000,32.9063
11/2/2000,31.75
11/3/2000,31.625
11/6/2000,31.75
11/7/2000,32
11/8/2000,32.3125
11/9/2000,31.9688
11/10/2000,32.0625
11/13/2000,31.8125
11/14/2000,32
11/15/2000,32.625
11/16/2000,32.75
11/17/2000,32.4844
11/20/2000,32.3281
11/21/2000,33.0625
11/22/2000,32.5313
11/23/2000,32.5313
11/24/2000,33
11/27/2000,32.7344
11/28/2000,32.7031
11/29/2000,31.2656
11/30/2000,30.2031
12/1/2000,30.875
12/4/2000,31.4063
12/5/2000,30.75
12/6/2000,30.5
12/7/2000,31
12/8/2000,30.9844
12/11/2000,31.0781
12/12/2000,31.4375
12/13/2000,31.5
12/14/2000,30.5313
12/15/2000,30.7969
12/18/2000,31.75
12/19/2000,32.2969
12/20/2000,31.3438
12/21/2000,31.5781
12/22/2000,32
12/25/2000,32
12/26/2000,33.3438
12/27/2000,33.3125
12/28/2000,33.8594
12/29/2000,33.1875
1/1/2001,33.1875
1/2/2001,33.2656
1/3/2001,32.25
1/4/2001,31.25
1/5/2001,31.9219
1/8/2001,31.8125
1/9/2001,31.1719
1/10/2001,31.375
1/11/2001,31.7188
1/12/2001,31.5156
1/15/2001,31.5156
1/16/2001,31.5
1/17/2001,31.3438
1/18/2001,30.75
1/19/2001,30.6094
1/22/2001,30.9375
1/23/2001,31.4219
1/24/2001,31.3906
1/25/2001,32.3281
1/26/2001,31.7813
1/29/2001,31.52
1/30/2001,31.79
1/31/2001,32.13
2/1/2001,31.72
2/2/2001,32.25
2/5/2001,32.9
2/6/2001,33.11
2/7/2001,33.2
2/8/2001,33.38
2/9/2001,33.92
2/12/2001,33.47
2/13/2001,33.4
2/14/2001,33.16
2/15/2001,32.73
2/16/2001,33.02
2/19/2001,33.02
2/20/2001,32.83
2/21/2001,32.61
2/22/2001,32.45
2/23/2001,32.04
2/26/2001,32.39
2/27/2001,32.19
2/28/2001,31.74
3/1/2001,32.1
3/2/2001,32.83
3/5/2001,33.01
3/6/2001,33.18
3/7/2001,33.89
3/8/2001,34.23
3/9/2001,34.07
3/12/2001,32.94
3/13/2001,32.55
3/14/2001,32.06
3/15/2001,32.08
3/16/2001,31.45
3/19/2001,31.85
3/20/2001,32.13
3/21/2001,31.21
3/22/2001,30.29
3/23/2001,30.53
3/26/2001,30.93
3/27/2001,31.1
3/28/2001,30.65
3/29/2001,30
3/30/2001,30.7
4/2/2001,30.13
4/3/2001,29.3
4/4/2001,29.82
4/5/2001,30.6
4/6/2001,30.64
4/9/2001,31.36
4/10/2001,31.9
4/11/2001,31.33
4/12/2001,31.66
4/13/2001,31.66
4/16/2001,32.28
4/17/2001,32.6
4/18/2001,32.28
4/19/2001,31.72
4/20/2001,32.06
4/23/2001,32.91
4/24/2001,32.97
4/25/2001,33.44
4/26/2001,34.1
4/27/2001,33.87
4/30/2001,33.87
5/1/2001,33.65
5/2/2001,32.34
5/3/2001,32.18
5/4/2001,32.69
5/7/2001,32.78
5/8/2001,32.75
5/9/2001,33.33
5/10/2001,33.09
5/11/2001,32.77
5/14/2001,33.28
5/15/2001,33.58
5/16/2001,33.86
5/17/2001,33.97
5/18/2001,34.68
5/21/2001,34.6
5/22/2001,34.25
5/23/2001,33.73
5/24/2001,33.67
5/25/2001,33.38
5/28/2001,33.38
5/29/2001,33.33
5/30/2001,33.2
5/31/2001,33.55
6/1/2001,33.4
6/4/2001,33.85
6/5/2001,33.95
6/6/2001,33.09
6/7/2001,32.7
6/8/2001,32.79
6/11/2001,32.88
6/12/2001,33.13
6/13/2001,32.97
6/14/2001,32.3
6/15/2001,32.39
6/18/2001,32.03
6/19/2001,32
6/20/2001,31.4
6/21/2001,30.93
6/22/2001,31.53
6/25/2001,31.16
6/26/2001,31.35
6/27/2001,30.6
6/28/2001,29.95
6/29/2001,30.35
7/2/2001,30.27
7/3/2001,30.23
7/4/2001,30.23
7/5/2001,30.5
7/6/2001,30.39
7/9/2001,29.96
7/10/2001,30
7/11/2001,29.6
7/12/2001,29.56
7/13/2001,29.67
7/16/2001,29.18
7/17/2001,29.05
7/18/2001,28.74
7/19/2001,29.04
7/20/2001,29.66
7/23/2001,29.32
7/24/2001,28.27
7/25/2001,29.58
7/26/2001,30.18
7/27/2001,30.32
7/30/2001,30.35
7/31/2001,30
8/1/2001,29.89
8/2/2001,29.87
8/3/2001,29.42
8/6/2001,29.38
8/7/2001,29.38
8/8/2001,28.78
8/9/2001,28.95
8/10/2001,28.98
8/13/2001,29.12
8/14/2001,29.28
8/15/2001,29.72
8/16/2001,29.55
8/17/2001,29.33
8/20/2001,29.12
8/21/2001,29.1
8/22/2001,29.12
8/23/2001,29.38
8/24/2001,29.62
8/27/2001,29.58
8/28/2001,29.27
8/29/2001,29.15
8/30/2001,28.73
8/31/2001,28.73
9/3/2001,28.73
9/4/2001,28.9
9/5/2001,29
9/6/2001,28.8
9/7/2001,28.78
9/10/2001,28.87
9/11/2001,28.87
9/12/2001,28.87
9/13/2001,28.87
9/14/2001,28.87
9/17/2001,28.28
9/18/2001,26.91
9/19/2001,25.94
9/20/2001,25.21
9/21/2001,25.08
9/24/2001,24.42
9/25/2001,24.15
9/26/2001,23.98
9/27/2001,24.93
9/28/2001,25.82
10/1/2001,25.46
10/2/2001,26.02
10/3/2001,26.38
10/4/2001,27
10/5/2001,27.2
10/8/2001,27.25
10/9/2001,27.3
10/10/2001,28.51
10/11/2001,28.5
10/12/2001,28.31
10/15/2001,27.79
10/16/2001,28.12
10/17/2001,27.98
10/18/2001,26.85
10/19/2001,26.95
10/22/2001,27.28
10/23/2001,27.18
10/24/2001,26.8
10/25/2001,27.48
10/26/2001,28.01
10/29/2001,27.75
10/30/2001,26.82
10/31/2001,26.86
11/1/2001,27.27
11/2/2001,26.53
11/5/2001,26.37
11/6/2001,26.21
11/7/2001,26.32
11/8/2001,26.83
11/9/2001,27.35
11/12/2001,27.28
11/13/2001,27.5
11/14/2001,26.16
11/15/2001,24.84
11/16/2001,25.3
11/19/2001,25.24
11/20/2001,26.17
11/21/2001,25.83
11/22/2001,25.83
11/23/2001,26.07
11/26/2001,25.64
11/27/2001,25.66
11/28/2001,25.06
11/29/2001,25.49
11/30/2001,25.36
12/3/2001,25.7
12/4/2001,26.06
12/5/2001,26.6
12/6/2001,25.81
12/7/2001,25.98
12/10/2001,25.62
12/11/2001,25.2
12/12/2001,25.26
12/13/2001,24.85
12/14/2001,25.1
12/17/2001,25.04
12/18/2001,25.37
12/19/2001,25.95
12/20/2001,25.83
12/21/2001,25.9
12/24/2001,26.33
12/25/2001,26.33
12/26/2001,26.79
12/27/2001,26.88
12/28/2001,27
12/31/2001,26.7
1/1/2002,26.7
1/2/2002,26.5
1/3/2002,26.34
1/4/2002,26.46
1/7/2002,26.45
1/8/2002,26.22
1/9/2002,26.25
1/10/2002,26.05
1/11/2002,25.55
1/14/2002,25.24
1/15/2002,25.65
1/16/2002,25.12
1/17/2002,25.11
1/18/2002,24.9
1/21/2002,24.9
1/22/2002,24.72
1/23/2002,25.42
1/24/2002,25.77
1/25/2002,26.05
1/28/2002,25.65
1/29/2002,24.95
1/30/2002,25.15
1/31/2002,25.75
2/1/2002,25.89
2/4/2002,25.2
2/5/2002,25.03
2/6/2002,25.2
2/7/2002,24.91
2/8/2002,25.19
2/11/2002,25.52
2/12/2002,25.4
2/13/2002,25.55
2/14/2002,25.76
2/15/2002,25.78
2/18/2002,25.78
2/19/2002,25.55
2/20/2002,25.47
2/21/2002,25.77
2/22/2002,26.48
2/25/2002,26.86
2/26/2002,26.72
2/27/2002,26.7
2/28/2002,26.63
3/1/2002,27.01
3/4/2002,27.6
3/5/2002,27.61
3/6/2002,28.14
3/7/2002,28.35
3/8/2002,28.22
3/11/2002,28.52
3/12/2002,28.77
3/13/2002,28.58
3/14/2002,28.57
3/15/2002,28.68
3/18/2002,28.9
3/19/2002,29.25
3/20/2002,28.94
3/21/2002,29.1
3/22/2002,28.42
3/25/2002,28.16
3/26/2002,28.39
3/27/2002,29.05
3/28/2002,28.89
3/29/2002,28.89
4/1/2002,29.09
4/2/2002,29.45
4/3/2002,28.81
4/4/2002,28.29
4/5/2002,27.97
4/8/2002,28.4
4/9/2002,27.99
4/10/2002,28.31
4/11/2002,28.02
4/12/2002,27.1
4/15/2002,27.63
4/16/2002,28.15
4/17/2002,28.5
4/18/2002,28.64
4/19/2002,28.77
4/22/2002,28.49
4/23/2002,28.42
4/24/2002,27.91
4/25/2002,28.11
4/26/2002,27.8
4/29/2002,27.62
4/30/2002,27.85
5/1/2002,28.02
5/2/2002,28.23
5/3/2002,28.33
5/6/2002,27.36
5/7/2002,27.23
5/8/2002,27.8
5/9/2002,27.55
5/10/2002,27.53
5/13/2002,28.06
5/14/2002,28.14
5/15/2002,27.67
5/16/2002,27.99
5/17/2002,27.76
5/20/2002,27.57
5/21/2002,27.59
5/22/2002,28.05
5/23/2002,28.29
5/24/2002,27.98
5/27/2002,27.98
5/28/2002,27.76
5/29/2002,27.5
5/30/2002,26.97
5/31/2002,27.36
6/3/2002,26.5
6/4/2002,26.5
6/5/2002,26.4
6/6/2002,26.12
6/7/2002,26.39
6/10/2002,25.9
6/11/2002,25.51
6/12/2002,25.87
6/13/2002,25.84
6/14/2002,25.81
6/17/2002,26.48
6/18/2002,26.35
6/19/2002,26.09
6/20/2002,26.04
6/21/2002,25.72
6/24/2002,25.95
6/25/2002,25.84
6/26/2002,25.85
6/27/2002,25.98
6/28/2002,26.2
7/1/2002,25.95
7/2/2002,25.44
7/3/2002,25.6
7/4/2002,25.6
7/5/2002,26.2
7/8/2002,25.88
7/9/2002,25.56
7/10/2002,24.47
7/11/2002,24
7/12/2002,23.57
7/15/2002,23.05
7/16/2002,22.7
7/17/2002,22.95
7/18/2002,22.8
7/19/2002,21.4
7/22/2002,20.09
7/23/2002,19.8
7/24/2002,21.11
7/25/2002,21.02
7/26/2002,21.3
7/29/2002,22.53
7/30/2002,22.18
7/31/2002,22.57
8/1/2002,21.24
8/2/2002,21
8/5/2002,20.22
8/6/2002,20.95
8/7/2002,21.25
8/8/2002,22.15
8/9/2002,22.55
8/12/2002,22.5
8/13/2002,22.16
8/14/2002,23.03
8/15/2002,23.68
8/16/2002,23.3
8/19/2002,23.49
8/20/2002,22.9
8/21/2002,22.95
8/22/2002,23.6
8/23/2002,23.22
8/26/2002,23.53
8/27/2002,23.52
8/28/2002,22.96
8/29/2002,22.76
8/30/2002,22.91
9/2/2002,22.91
9/3/2002,22
9/4/2002,21.95
9/5/2002,21.99
9/6/2002,22.35
9/9/2002,22.32
9/10/2002,22.8
9/11/2002,22.68
9/12/2002,22.12
9/13/2002,22.36
9/16/2002,22.52
9/17/2002,21.79
9/18/2002,21.85
9/19/2002,21.23
9/20/2002,21.27
9/23/2002,21.15
9/24/2002,20.54
9/25/2002,21.1
9/26/2002,21.99
9/27/2002,21.58
9/30/2002,21.16
10/1/2002,21.83
10/2/2002,21.59
10/3/2002,21.73
10/4/2002,21.36
10/7/2002,21.09
10/8/2002,20.86
10/9/2002,20.45
10/10/2002,20.93
10/11/2002,21.28
10/14/2002,21.87
10/15/2002,22.53
10/16/2002,22.18
10/17/2002,22.65
10/18/2002,22.63
10/21/2002,22.74
10/22/2002,22.1
10/23/2002,22.46
10/24/2002,22.09
10/25/2002,21.75
10/28/2002,21.71
10/29/2002,21.08
10/30/2002,21.78
10/31/2002,21.55
11/1/2002,22.12
11/4/2002,21.75
11/5/2002,22.2
11/6/2002,22.4
11/7/2002,21.98
11/8/2002,21.85
11/11/2002,21.58
11/12/2002,21.51
11/13/2002,21.03
11/14/2002,21.71
11/15/2002,21.88
11/18/2002,21.9
11/19/2002,21.9
11/20/2002,22.33
11/21/2002,22.5
11/22/2002,22.02
11/25/2002,22.2
11/26/2002,21.78
11/27/2002,22.17
11/28/2002,22.17
11/29/2002,22.44
12/2/2002,22.51
12/3/2002,22.73
12/4/2002,22.53
12/5/2002,22.68
12/6/2002,22.9
12/9/2002,22.5
12/10/2002,22.85
12/11/2002,22.73
12/12/2002,22.93
12/13/2002,22.87
12/16/2002,23.26
12/17/2002,23.02
12/18/2002,22.83
12/19/2002,22.6
12/20/2002,22.94
12/23/2002,23.04
12/24/2002,22.93
12/25/2002,22.93
12/26/2002,22.67
12/27/2002,22.18
12/30/2002,22.29
12/31/2002,22.33
1/1/2003,22.33
1/2/2003,22.8
1/3/2003,22.76
1/6/2003,22.95
1/7/2003,22.2
1/8/2003,21.99
1/9/2003,22.27
1/10/2003,22.09
1/13/2003,22.01
1/14/2003,22.1
1/15/2003,22.17
1/16/2003,22.39
1/17/2003,22.22
1/20/2003,22.22
1/21/2003,21.7
1/22/2003,21.64
1/23/2003,21.7
1/24/2003,21.32
1/27/2003,20.65
1/28/2003,21
1/29/2003,21.68
1/30/2003,21.34
1/31/2003,21.77
2/3/2003,21.94
2/4/2003,22.09
2/5/2003,21.93
2/6/2003,21.84
2/7/2003,21.64
2/10/2003,21.92
2/11/2003,21.78
2/12/2003,21.4
2/13/2003,21.3
2/14/2003,21.47
2/17/2003,21.47
2/18/2003,21.82
2/19/2003,21.8
2/20/2003,21.75
2/21/2003,22.23
2/24/2003,22.42
2/25/2003,22.3
2/26/2003,22.36
2/27/2003,22.23
2/28/2003,22.41
3/3/2003,22.49
3/4/2003,22.38
3/5/2003,22.58
3/6/2003,22.6
3/7/2003,22.6
3/10/2003,22.37
3/11/2003,22.15
3/12/2003,21.8
3/13/2003,21.89
3/14/2003,21.8
3/17/2003,22.08
3/18/2003,22.5
3/19/2003,22.53
3/20/2003,22.75
3/21/2003,22.38
3/24/2003,22.05
3/25/2003,22.25
3/26/2003,22.3
3/27/2003,22.48
3/28/2003,22.68
3/31/2003,22.32
4/1/2003,22.74
4/2/2003,22.69
4/3/2003,22.27
4/4/2003,22.39
4/7/2003,22.22
4/8/2003,21.95
4/9/2003,21.94
4/10/2003,22.24
4/11/2003,22.11
4/14/2003,22.22
4/15/2003,22.16
4/16/2003,21.86
4/17/2003,22.3
4/18/2003,22.3
4/21/2003,22.29
4/22/2003,22.6
4/23/2003,22.6
4/24/2003,22.52
4/25/2003,22.24
4/28/2003,22.34
4/29/2003,22.03
4/30/2003,22.13
5/1/2003,22.24
5/2/2003,22.59
5/5/2003,22.73
5/6/2003,22.7
5/7/2003,22.85
5/8/2003,22.88
5/9/2003,23.03
5/12/2003,23.14
5/13/2003,23.4
5/14/2003,23.5
5/15/2003,23.51
5/16/2003,23.59
5/19/2003,23.35
5/20/2003,23.26
5/21/2003,23.95
5/22/2003,23.9
5/23/2003,24.12
